image,memory,category,bytes,source,source_file,source_sha256
pulse,flash,base_firmware,232103,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,encoder,60705,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,head,19601,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,linker_padding_or_unattributed,78677,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,protocol_buffers,51635,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,pulse_state,31316,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,thread_stacks,76,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,flash,training_tensors,101199,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,base_firmware,27957,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,head,17,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,linker_padding_or_unattributed,5208,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,protocol_buffers,41201,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,pulse_state,28944,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
pulse,static_ram,training_tensors,50033,linker_map,results\fig4b\evidence\release\zephyr.map,4065edb9538eb5bf0c96a397a23b61dce2ef97970626716d87ffb1de2db5cfeb
baseline,flash,base_firmware,224731,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
baseline,flash,linker_padding_or_unattributed,81383,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
baseline,flash,protocol_buffers,39942,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
baseline,flash,pulse_state,13160,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
baseline,static_ram,base_firmware,27957,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
baseline,static_ram,linker_padding_or_unattributed,5192,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
baseline,static_ram,protocol_buffers,21987,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
baseline,static_ram,pulse_state,4120,linker_map,results\fig4b\evidence\baseline\zephyr.map,cb4671d5abee6a0d61c1c029d096f0c49d8bebc0bff0563f52cb13f488309079
