event_path,role,stage,expected_n,valid_n,missing_or_corrupt_n
accepted_connected,initiator,agreement,100,98,2
accepted_connected,initiator,end_to_end,100,100,0
accepted_connected,initiator,gradient_deserialization,100,100,0
accepted_connected,initiator,gradient_transfer,100,100,0
accepted_connected,initiator,head_serialization,100,99,1
accepted_connected,initiator,head_transfer,100,99,1
accepted_connected,initiator,initiator_encoder,100,100,0
accepted_connected,initiator,initiator_head_forward_backward,100,100,0
accepted_connected,initiator,mixing,100,99,1
accepted_connected,initiator,normalization,100,97,3
accepted_connected,initiator,peer_selection,100,99,1
accepted_connected,initiator,utility_update,100,100,0
accepted_connected,responder,end_to_end,100,100,0
accepted_connected,responder,gradient_serialization,100,97,3
accepted_connected,responder,gradient_transfer,100,98,2
accepted_connected,responder,head_deserialization,100,97,3
accepted_connected,responder,head_transfer,100,98,2
accepted_connected,responder,responder_encoder,100,96,4
accepted_connected,responder,responder_head_forward_backward,100,99,1
accepted_discovery,initiator,agreement,100,99,1
accepted_discovery,initiator,ble_connect,100,99,1
accepted_discovery,initiator,ble_cted_discovery,100,1,99
accepted_discovery,initiator,ble_scan,100,100,0
accepted_discovery,initiator,end_to_end,100,100,0
accepted_discovery,initiator,gradient_deserialization,100,100,0
accepted_discovery,initiator,gradient_transfer,100,99,1
accepted_discovery,initiator,head_serializa,100,1,99
accepted_discovery,initiator,head_serialization,100,97,3
accepted_discovery,initiator,head_transfer,100,100,0
accepted_discovery,initiator,initiator_encoder,100,99,1
accepted_discovery,initiator,initiator_head_forward_backward,100,100,0
accepted_discovery,initiator,mixing,100,98,2
accepted_discovery,initiator,normalization,100,100,0
accepted_discovery,initiator,peer_selection,100,99,1
accepted_discovery,initiator,utility_update,100,97,3
accepted_discovery,responder,end_to_end,100,100,0
accepted_discovery,responder,gradient_serialization,100,97,3
accepted_discovery,responder,gradient_transfer,100,99,1
accepted_discovery,responder,head_d1739805,100,1,99
accepted_discovery,responder,head_deserialization,100,99,1
accepted_discovery,responder,head_transfe0,100,1,99
accepted_discovery,responder,head_transfer,100,98,2
accepted_discovery,responder,responder_encoder,100,97,3
accepted_discovery,responder,responder_encs=0,100,1,99
accepted_discovery,responder,responder_head_forward_backward,100,100,0
local,local,end_to_end,100,100,0
local,local,local_step_1_encoder,100,100,0
local,local,local_step_1_head_forward_backward,100,100,0
local,local,local_step_1_update,100,100,0
local,local,local_step_2_encoder,100,100,0
local,local,local_step_2_head_forward_backward,100,99,1
local,local,local_step_2_update,100,100,0
