event_path,role,stage,n,median_ms,q1_ms,q3_ms,iqr_ms,p95_ms
accepted_connected,initiator,agreement,98,25.857000,25.670250,25.924000,0.253750,25.984600
accepted_connected,initiator,end_to_end,100,3167.544500,3159.723250,3189.862750,30.139500,3220.156900
accepted_connected,initiator,gradient_deserialization,100,0.216000,0.215000,0.216000,0.001000,0.301050
accepted_connected,initiator,gradient_transfer,100,1132.466000,1124.966750,1147.465000,22.498250,1178.240350
accepted_connected,initiator,head_serialization,99,2.824000,2.750000,2.963500,0.213500,3.069000
accepted_connected,initiator,head_transfer,99,200.037000,192.775500,207.797500,15.022000,222.715500
accepted_connected,initiator,initiator_encoder,100,1740.029000,1739.778250,1740.243500,0.465250,1740.488000
accepted_connected,initiator,initiator_head_forward_backward,100,12.168000,12.157750,12.270000,0.112250,12.430750
accepted_connected,initiator,mixing,99,28.078000,27.860000,28.091000,0.231000,28.167400
accepted_connected,initiator,normalization,97,0.021000,0.021000,0.021000,0.000000,0.022000
accepted_connected,initiator,peer_selection,99,0.075000,0.074000,0.105500,0.031500,0.153100
accepted_connected,initiator,utility_update,100,0.003000,0.003000,0.003000,0.000000,0.004000
accepted_connected,responder,end_to_end,100,3097.549500,3090.045000,3120.046000,30.001000,3150.457900
accepted_connected,responder,gradient_serialization,97,2.778000,2.623000,2.868000,0.245000,3.080400
accepted_connected,responder,gradient_transfer,98,1151.704000,1145.636000,1164.927750,19.291750,1198.692800
accepted_connected,responder,head_deserialization,97,0.215000,0.215000,0.215000,0.000000,0.294400
accepted_connected,responder,head_transfer,98,188.854000,184.140000,194.987250,10.847250,211.562650
accepted_connected,responder,responder_encoder,96,1740.387500,1740.209000,1740.687250,0.478250,1741.127750
accepted_connected,responder,responder_head_forward_backward,99,12.374000,12.262500,12.393000,0.130500,12.625300
accepted_discovery,initiator,agreement,99,25.898000,25.670000,25.932500,0.262500,26.001300
accepted_discovery,initiator,ble_connect,99,210.267000,207.948000,214.269000,6.321000,258.935200
accepted_discovery,initiator,ble_cted_discovery,1,209.098000,209.098000,209.098000,0.000000,209.098000
accepted_discovery,initiator,ble_scan,100,26.217500,14.197000,70.311500,56.114500,89.386300
accepted_discovery,initiator,end_to_end,100,3428.412500,3395.543500,3456.633750,61.090250,3522.620700
accepted_discovery,initiator,gradient_deserialization,100,0.216000,0.216000,0.216000,0.000000,0.216000
accepted_discovery,initiator,gradient_transfer,99,1132.466000,1124.968000,1151.215500,26.247500,1185.656500
accepted_discovery,initiator,head_serializa,1,2.634000,2.634000,2.634000,0.000000,2.634000
accepted_discovery,initiator,head_serialization,97,2.634000,2.633000,2.735000,0.102000,2.882000
accepted_discovery,initiator,head_transfer,100,199.486000,192.237000,199.742500,7.505500,222.002300
accepted_discovery,initiator,initiator_encoder,99,1740.108000,1739.842000,1740.360500,0.518500,1740.624700
accepted_discovery,initiator,initiator_head_forward_backward,100,12.169500,12.160750,12.345000,0.184250,12.522000
accepted_discovery,initiator,mixing,98,28.081000,28.028750,28.099750,0.071000,28.164300
accepted_discovery,initiator,normalization,100,0.021000,0.021000,0.021000,0.000000,0.022000
accepted_discovery,initiator,peer_selection,99,0.079000,0.079000,0.079000,0.000000,0.080000
accepted_discovery,initiator,utility_update,97,0.003000,0.003000,0.003000,0.000000,0.004000
accepted_discovery,responder,end_to_end,100,3097.432500,3089.931750,3119.931000,29.999250,3150.305900
accepted_discovery,responder,gradient_serialization,97,2.828000,2.623000,2.867000,0.244000,3.075200
accepted_discovery,responder,gradient_transfer,99,1153.491000,1146.686500,1170.694000,24.007500,1203.426200
accepted_discovery,responder,head_d1739805,1,1739.805000,1739.805000,1739.805000,0.000000,1739.805000
accepted_discovery,responder,head_deserialization,99,0.215000,0.215000,0.215000,0.000000,0.222800
accepted_discovery,responder,head_transfe0,1,184.027000,184.027000,184.027000,0.000000,184.027000
accepted_discovery,responder,head_transfer,98,187.370500,184.026000,191.527000,7.501000,209.857250
accepted_discovery,responder,responder_encoder,97,1740.330000,1740.074000,1740.534000,0.460000,1740.943200
accepted_discovery,responder,responder_encs=0,1,1740.036000,1740.036000,1740.036000,0.000000,1740.036000
accepted_discovery,responder,responder_head_forward_backward,100,12.377000,12.342750,12.406750,0.064000,12.632100
local,local,end_to_end,100,3539.592500,3536.981750,3540.005000,3.023250,3540.513100
local,local,local_step_1_encoder,100,1740.436500,1739.162250,1740.750250,1.588000,1741.036200
local,local,local_step_1_head_forward_backward,100,12.363500,12.254750,12.428500,0.173750,12.615050
local,local,local_step_1_update,100,17.001000,16.832500,17.088750,0.256250,17.212150
local,local,local_step_2_encoder,100,1740.393500,1739.275750,1740.714500,1.438750,1740.978250
local,local,local_step_2_head_forward_backward,99,12.364000,12.238500,12.436000,0.197500,12.625100
local,local,local_step_2_update,100,16.910000,16.732750,16.940500,0.207750,17.124200
