epoch,epoch_seconds,f1_average,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1,is_best,epochs_without_improvement
1,35.416445,macro,1.94065536,0.27940000,0.23513570,2.12308409,0.21160000,0.16008768,true,0
2,26.978650,macro,1.55339759,0.40950000,0.40306032,1.96025525,0.31400000,0.28465797,true,0
3,28.687420,macro,1.39785334,0.47920000,0.46802160,1.66344245,0.40040000,0.37512593,true,0
4,26.658160,macro,1.25500634,0.53410000,0.52776382,1.91577115,0.36480000,0.32510508,false,1
5,30.075706,macro,1.17395393,0.56600000,0.56042380,1.77168594,0.40800000,0.39313959,true,0
6,28.748762,macro,1.08642307,0.60090000,0.59573046,1.25668265,0.52720000,0.51726447,true,0
7,29.431671,macro,1.02129917,0.61990000,0.61566007,2.43771862,0.36280000,0.27546476,false,1
8,29.252142,macro,1.00905357,0.63110000,0.62778177,1.41990766,0.49640000,0.48647242,false,2
9,28.403429,macro,0.93301225,0.65640000,0.65215555,1.44088113,0.50400000,0.48939274,false,3
10,27.342179,macro,0.88457657,0.67650000,0.67367981,2.19608681,0.38720000,0.36501302,false,4
11,31.168742,macro,0.87000336,0.68000000,0.67690960,1.15342615,0.60040000,0.59533087,true,0
12,30.962873,macro,0.77896998,0.70750000,0.70564133,1.41517983,0.53960000,0.52996000,false,1
13,29.083064,macro,0.74236120,0.72580000,0.72427663,1.31602195,0.56320000,0.53038382,false,2
14,27.592209,macro,0.70852549,0.73990000,0.73832850,2.18995380,0.46000000,0.42083205,false,3
15,27.857268,macro,0.73093670,0.73330000,0.73033039,1.33774210,0.57360000,0.57515468,false,4
16,28.510731,macro,0.63369612,0.76610000,0.76557050,1.28191549,0.59760000,0.58885486,false,5
17,27.201201,macro,0.59877021,0.77870000,0.77750778,2.05770371,0.45600000,0.40802379,false,6
18,28.566194,macro,0.56516159,0.79180000,0.79062830,1.21927442,0.61120000,0.60447453,true,0
19,28.209808,macro,0.53635074,0.80250000,0.80126704,1.18756996,0.61760000,0.60695725,true,0
20,29.796920,macro,0.49543969,0.82020000,0.81915632,1.50695320,0.57840000,0.56236579,false,1
