epoch,epoch_seconds,f1_average,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1,is_best,epochs_without_improvement
1,16.547955,macro,1.59171728,0.50640000,0.47766754,1.25778445,0.46560000,0.39809279,true,0
2,10.076712,macro,0.70467304,0.73600000,0.72551753,0.91450934,0.66800000,0.63913470,true,0
3,10.239340,macro,0.56788439,0.77930000,0.77266427,0.84013354,0.68720000,0.67055762,true,0
4,9.133877,macro,0.46664502,0.82370000,0.81987914,0.65115793,0.76720000,0.75727512,true,0
5,9.496004,macro,0.44053916,0.83800000,0.83672532,0.61931312,0.79240000,0.79073837,true,0
6,9.533469,macro,0.41448780,0.84950000,0.84815869,0.51309364,0.81920000,0.82404769,true,0
7,9.586806,macro,0.37130506,0.86380000,0.86226142,0.48287776,0.82000000,0.81742578,false,1
8,10.096998,macro,0.34459368,0.87420000,0.87283508,1.04449544,0.65400000,0.62409094,false,2
9,9.583150,macro,0.29157986,0.89090000,0.88993605,0.63015878,0.78280000,0.76636879,false,3
10,10.003783,macro,0.29751607,0.89170000,0.89114937,0.45750736,0.85160000,0.84991963,true,0
11,9.541040,macro,0.29607191,0.88970000,0.88925742,0.65768486,0.79640000,0.78076299,false,1
12,10.264189,macro,0.27950078,0.89770000,0.89720076,0.46248212,0.84120000,0.83489060,false,2
13,9.638924,macro,0.23842432,0.91150000,0.91115238,0.44415191,0.85480000,0.85106882,true,0
14,9.438563,macro,0.20933995,0.92160000,0.92130727,0.35538424,0.87760000,0.87759744,true,0
15,9.500848,macro,0.23473551,0.91390000,0.91331793,0.71458466,0.77080000,0.75181528,false,1
16,10.139724,macro,0.17916632,0.93550000,0.93522918,0.62153622,0.81000000,0.81274475,false,2
17,9.982370,macro,0.14902624,0.94570000,0.94562643,0.64695682,0.82240000,0.81272599,false,3
18,9.822286,macro,0.18051154,0.93190000,0.93176201,0.65946796,0.79920000,0.80508918,false,4
19,10.648364,macro,0.18693938,0.93090000,0.93055721,0.69806189,0.78200000,0.78885117,false,5
20,9.822772,macro,0.11227529,0.96070000,0.96063895,0.96386410,0.75880000,0.73969715,false,6
21,10.184776,macro,0.10161097,0.96500000,0.96500920,0.81609281,0.80760000,0.78875702,false,7
22,9.027913,macro,0.17099252,0.94010000,0.94000500,0.45295417,0.85400000,0.85300917,false,8
23,10.505247,macro,0.10592803,0.96190000,0.96184579,0.57894942,0.84040000,0.83760819,false,9
24,9.097380,macro,0.07934479,0.97280000,0.97277178,1.56538068,0.70720000,0.68247666,false,10
25,10.185253,macro,0.21049809,0.92420000,0.92404237,0.84863218,0.76760000,0.75523893,false,11
26,10.234484,macro,0.08773077,0.97110000,0.97109682,0.63862579,0.82600000,0.82465833,false,12
27,9.680530,macro,0.07976781,0.97210000,0.97210056,2.25600854,0.58200000,0.55267300,false,13
28,9.135165,macro,0.10116463,0.96480000,0.96480081,0.64170700,0.82560000,0.83294375,false,14
29,10.604909,macro,0.09136350,0.96820000,0.96817726,0.62313369,0.84400000,0.83557907,false,15
30,9.768535,macro,0.03484850,0.99040000,0.99039067,0.47733396,0.87920000,0.87652334,false,16
31,9.241393,macro,0.06251844,0.97830000,0.97827610,0.43934665,0.87360000,0.87395787,false,17
32,10.199058,macro,0.03706017,0.98900000,0.98899732,0.66945120,0.85640000,0.85499188,false,18
33,8.971077,macro,0.01985719,0.99550000,0.99549918,1.16899760,0.78160000,0.78466978,false,19
34,9.311163,macro,0.12745118,0.95610000,0.95605909,0.54375595,0.86080000,0.86314481,false,20
