epoch,epoch_seconds,f1_average,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1,is_best,epochs_without_improvement
1,3042.163241,binary,0.46309491,0.78325967,0.52550255,0.50800218,0.76962978,0.63020408,true,0
2,3080.657013,binary,0.38768209,0.83091787,0.66307094,0.51098481,0.76678194,0.60431406,false,1
3,3018.130211,binary,0.36146056,0.84441703,0.69805173,0.79623233,0.62449146,0.63102139,true,2
4,2967.392006,binary,0.36035871,0.84438277,0.69663372,0.49805645,0.76871440,0.71779598,true,0
5,2959.922866,binary,0.32073832,0.86267859,0.73435843,0.51535775,0.77837673,0.62398619,false,1
6,2935.672070,binary,0.32577506,0.86117107,0.72765157,0.65234605,0.74867779,0.69928198,false,2
7,2947.594705,binary,0.28918418,0.87689725,0.76322900,0.43117624,0.81997559,0.74458874,true,0
8,2973.172372,binary,0.27900872,0.88070031,0.77286367,0.44796395,0.82200976,0.75035663,true,0
9,2978.533112,binary,0.26201402,0.88796382,0.78498159,0.61738439,0.76169650,0.72189911,false,1
10,2989.403610,binary,0.28065863,0.88015212,0.77086336,0.44552546,0.81275427,0.75245395,true,0
11,2999.859931,binary,0.24922149,0.89409669,0.79803986,0.46269722,0.79566721,0.72147511,false,1
12,2988.654350,binary,0.28321703,0.87943262,0.77212977,0.44842867,0.82241660,0.71902156,false,2
13,2991.437297,binary,0.23184733,0.89998972,0.81112908,0.81049816,0.76739219,0.57196332,false,3
14,2995.831735,binary,0.22806148,0.90471785,0.82017459,0.62778642,0.77359642,0.63084577,false,4
15,2970.601092,binary,0.21899299,0.90629390,0.82362804,0.53093253,0.80695688,0.75666667,true,0
16,2979.921496,binary,0.30689656,0.86781786,0.74079549,0.73055874,0.74827095,0.52649703,false,1
17,2963.263627,binary,0.24712257,0.89553568,0.80107001,0.47850192,0.82068755,0.76756757,true,0
18,2968.395581,binary,0.21863012,0.90783568,0.82756410,0.42027928,0.83757120,0.78263237,true,0
19,2976.101662,binary,0.22101755,0.90540309,0.82222651,0.45875621,0.81336452,0.69195904,false,1
20,2980.661274,binary,0.22215076,0.90461507,0.82240367,0.51695128,0.81377136,0.77341913,false,2
21,2990.799984,binary,0.20655777,0.91270086,0.83818113,0.44657558,0.83919854,0.77520262,false,3
22,2982.192735,binary,0.19591886,0.91670949,0.84409671,0.59039399,0.81468674,0.72716382,false,4
23,2985.465090,binary,0.19831392,0.91578442,0.84317979,1.06311743,0.77186737,0.65917034,false,5
