epoch,epoch_seconds,f1_average,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1,is_best,epochs_without_improvement
1,42.529148,macro,0.95347048,0.63927811,0.64416530,0.60029469,0.73222061,0.74413100,true,0
2,42.346125,macro,0.41232647,0.82479543,0.83240053,0.58057974,0.74528302,0.76135562,true,0
3,42.985610,macro,0.35042161,0.85461271,0.86188597,0.53113799,0.78955007,0.81214428,true,0
4,42.587323,macro,0.33665065,0.85438852,0.86173620,0.49687021,0.80043541,0.82346806,true,0
5,42.476202,macro,0.31534045,0.86806412,0.87550707,0.54770926,0.78011611,0.79316192,false,1
6,42.281652,macro,0.29724634,0.87781639,0.88454225,0.47135029,0.81204644,0.83539258,true,0
7,42.040939,macro,0.29716013,0.87422935,0.88171446,0.46045692,0.81857765,0.83244916,false,1
8,42.059120,macro,0.28102954,0.88173972,0.88851562,0.47624795,0.81712627,0.83605463,true,2
9,41.690262,macro,0.27702680,0.88386952,0.89087520,0.69125292,0.73730044,0.75833776,false,3
10,41.781821,macro,0.26542782,0.88891380,0.89579884,0.56301777,0.79317852,0.79840429,false,4
11,42.015187,macro,0.25381177,0.89642417,0.90248087,0.54215057,0.79027576,0.79923213,false,5
12,42.261277,macro,0.24589316,0.89743302,0.90390260,0.57399673,0.79462990,0.80565543,false,6
13,41.900943,macro,0.24383127,0.89788140,0.90399908,0.62048574,0.77576197,0.78001085,false,7
14,41.798251,macro,0.24087219,0.90001121,0.90597039,0.54491525,0.80333817,0.82097322,false,8
15,42.319813,macro,0.23412728,0.90214102,0.90820660,0.88377497,0.72206096,0.74350807,false,9
16,42.671697,macro,0.23039619,0.90707320,0.91269984,0.61153073,0.76124819,0.78963282,false,10
17,42.517966,macro,0.22214133,0.90965138,0.91537047,0.64848413,0.78301887,0.79873784,false,11
18,41.912179,macro,0.22247318,0.91066024,0.91606514,0.61393028,0.78882438,0.79867096,false,12
19,42.059261,macro,0.20647984,0.91435938,0.91978490,0.69507969,0.76124819,0.76443287,false,13
20,42.345314,macro,0.20777735,0.91660128,0.92153912,0.57760859,0.81277213,0.83101378,false,14
21,42.152615,macro,0.19460149,0.91772223,0.92282537,0.62486226,0.78519594,0.81264420,false,15
22,42.590741,macro,0.19120111,0.92186975,0.92662440,0.82971327,0.73730044,0.75778018,false,16
23,42.240065,macro,0.19223931,0.92030041,0.92535133,0.74723391,0.79390421,0.81042223,false,17
24,41.332708,macro,0.19263495,0.92276651,0.92763506,0.60514256,0.81059507,0.82211923,false,18
25,41.545740,macro,0.18381092,0.92657774,0.93131208,0.61280609,0.79680697,0.80582569,false,19
26,41.645749,macro,0.16823458,0.93274297,0.93685306,0.62050694,0.81204644,0.83252067,false,20
