epoch,epoch_seconds,f1_average,train_loss,train_accuracy,train_f1,eval_loss,eval_accuracy,eval_f1,is_best,epochs_without_improvement
1,2.867286,macro,1.09250212,0.29901961,0.15345912,1.08361006,0.54285714,0.23456790,true,0
2,2.398884,macro,1.07754993,0.54901961,0.24642148,1.07862985,0.54285714,0.23456790,false,1
3,2.467228,macro,1.06657004,0.54411765,0.23492063,1.07379413,0.54285714,0.23456790,false,2
4,2.536075,macro,1.05695426,0.54411765,0.23492063,1.06856012,0.54285714,0.23456790,false,3
5,2.518353,macro,1.04637170,0.54411765,0.23492063,1.06236482,0.54285714,0.23456790,false,4
6,2.388853,macro,1.03544962,0.54411765,0.23492063,1.05534315,0.54285714,0.23456790,false,5
7,2.399090,macro,1.02368534,0.54411765,0.23492063,1.04740751,0.54285714,0.23456790,false,6
8,2.561218,macro,1.01067388,0.54411765,0.23492063,1.03795564,0.54285714,0.23456790,false,7
9,2.514057,macro,0.99624902,0.54411765,0.23492063,1.02716088,0.54285714,0.23456790,false,8
10,2.422734,macro,0.98081291,0.54411765,0.23492063,1.01553607,0.54285714,0.23456790,false,9
11,2.495036,macro,0.96507591,0.54411765,0.23492063,1.00285685,0.54285714,0.23456790,false,10
12,2.324820,macro,0.94998002,0.54411765,0.23492063,0.99056309,0.54285714,0.23456790,false,11
13,2.485574,macro,0.93645734,0.54411765,0.23492063,0.97940379,0.54285714,0.23456790,false,12
14,2.422156,macro,0.92506427,0.54411765,0.23492063,0.97067285,0.54285714,0.23456790,false,13
15,2.346760,macro,0.91553783,0.54411765,0.23492063,0.96426064,0.54285714,0.23456790,false,14
16,2.479646,macro,0.90632272,0.54411765,0.23492063,0.95851964,0.54285714,0.23456790,false,15
17,2.434988,macro,0.89566010,0.54411765,0.23492063,0.95155901,0.54285714,0.23456790,false,16
18,2.501734,macro,0.88243449,0.54411765,0.23492063,0.94244319,0.54285714,0.23456790,false,17
19,2.376340,macro,0.86696672,0.54411765,0.23492063,0.93126720,0.54285714,0.23456790,false,18
