time,node1,node2
0,trace_3,trace_10
120,trace_3,trace_10
240,trace_3,trace_10
360,trace_3,trace_10
480,trace_1,trace_2
480,trace_1,trace_4
480,trace_1,trace_6
480,trace_1,trace_7
480,trace_1,trace_8
480,trace_1,trace_9
480,trace_1,trace_11
480,trace_2,trace_4
480,trace_2,trace_5
480,trace_2,trace_6
480,trace_2,trace_7
480,trace_2,trace_9
480,trace_2,trace_10
480,trace_2,trace_11
480,trace_2,trace_12
480,trace_3,trace_4
480,trace_3,trace_5
480,trace_3,trace_6
480,trace_3,trace_7
480,trace_3,trace_8
480,trace_3,trace_10
480,trace_3,trace_12
480,trace_4,trace_5
480,trace_4,trace_6
480,trace_4,trace_7
480,trace_4,trace_8
480,trace_4,trace_9
480,trace_4,trace_11
480,trace_4,trace_12
480,trace_5,trace_6
480,trace_5,trace_7
480,trace_5,trace_8
480,trace_5,trace_9
480,trace_5,trace_10
480,trace_5,trace_11
480,trace_5,trace_12
480,trace_6,trace_7
480,trace_6,trace_8
480,trace_6,trace_9
480,trace_6,trace_10
480,trace_6,trace_12
480,trace_7,trace_8
480,trace_7,trace_9
480,trace_7,trace_11
480,trace_7,trace_12
480,trace_8,trace_9
480,trace_8,trace_10
480,trace_8,trace_12
480,trace_9,trace_10
480,trace_9,trace_11
480,trace_9,trace_12
480,trace_10,trace_11
480,trace_11,trace_12
600,trace_1,trace_2
600,trace_1,trace_4
600,trace_1,trace_7
600,trace_1,trace_8
600,trace_1,trace_9
600,trace_1,trace_10
600,trace_1,trace_11
600,trace_1,trace_12
600,trace_2,trace_3
600,trace_2,trace_4
600,trace_2,trace_5
600,trace_2,trace_8
600,trace_2,trace_10
600,trace_2,trace_11
600,trace_3,trace_4
600,trace_3,trace_5
600,trace_3,trace_6
600,trace_3,trace_7
600,trace_3,trace_8
600,trace_3,trace_10
600,trace_3,trace_11
600,trace_4,trace_5
600,trace_4,trace_6
600,trace_4,trace_8
600,trace_4,trace_11
600,trace_4,trace_12
600,trace_5,trace_7
600,trace_5,trace_9
600,trace_5,trace_11
600,trace_6,trace_7
600,trace_6,trace_8
600,trace_6,trace_12
600,trace_7,trace_8
600,trace_7,trace_10
600,trace_7,trace_11
600,trace_8,trace_9
600,trace_8,trace_10
600,trace_9,trace_10
600,trace_10,trace_11
720,trace_1,trace_3
720,trace_1,trace_4
720,trace_1,trace_5
720,trace_1,trace_7
720,trace_1,trace_8
720,trace_1,trace_11
720,trace_2,trace_3
720,trace_2,trace_4
720,trace_2,trace_5
720,trace_2,trace_7
720,trace_2,trace_9
720,trace_2,trace_11
720,trace_3,trace_4
720,trace_3,trace_5
720,trace_3,trace_6
720,trace_3,trace_7
720,trace_3,trace_10
720,trace_4,trace_5
720,trace_4,trace_6
720,trace_4,trace_8
720,trace_4,trace_9
720,trace_4,trace_11
720,trace_4,trace_12
720,trace_5,trace_6
720,trace_5,trace_8
720,trace_5,trace_9
720,trace_5,trace_10
720,trace_5,trace_11
720,trace_6,trace_7
720,trace_6,trace_8
720,trace_6,trace_12
720,trace_7,trace_8
720,trace_7,trace_9
720,trace_7,trace_10
720,trace_7,trace_11
720,trace_8,trace_9
720,trace_8,trace_10
720,trace_8,trace_11
720,trace_8,trace_12
720,trace_9,trace_11
720,trace_9,trace_12
720,trace_10,trace_11
840,trace_1,trace_2
840,trace_1,trace_4
840,trace_1,trace_5
840,trace_1,trace_6
840,trace_1,trace_7
840,trace_1,trace_8
840,trace_1,trace_9
840,trace_1,trace_11
840,trace_2,trace_3
840,trace_2,trace_4
840,trace_2,trace_5
840,trace_2,trace_6
840,trace_2,trace_8
840,trace_2,trace_9
840,trace_2,trace_10
840,trace_2,trace_11
840,trace_3,trace_5
840,trace_3,trace_6
840,trace_3,trace_7
840,trace_3,trace_11
840,trace_3,trace_12
840,trace_4,trace_5
840,trace_4,trace_6
840,trace_4,trace_7
840,trace_4,trace_8
840,trace_4,trace_9
840,trace_4,trace_10
840,trace_4,trace_11
840,trace_5,trace_6
840,trace_5,trace_7
840,trace_5,trace_9
840,trace_5,trace_10
840,trace_5,trace_11
840,trace_6,trace_7
840,trace_6,trace_8
840,trace_6,trace_9
840,trace_6,trace_12
840,trace_7,trace_8
840,trace_7,trace_9
840,trace_7,trace_10
840,trace_7,trace_11
840,trace_7,trace_12
840,trace_8,trace_9
840,trace_8,trace_10
840,trace_8,trace_11
840,trace_9,trace_11
840,trace_10,trace_11
840,trace_10,trace_12
840,trace_11,trace_12
960,trace_1,trace_2
960,trace_1,trace_3
960,trace_1,trace_6
960,trace_1,trace_8
960,trace_1,trace_9
960,trace_1,trace_11
960,trace_1,trace_12
960,trace_2,trace_3
960,trace_2,trace_4
960,trace_2,trace_5
960,trace_2,trace_7
960,trace_2,trace_11
