time,node1,node2
0,trace_1,trace_2
0,trace_1,trace_4
0,trace_2,trace_7
0,trace_3,trace_6
0,trace_4,trace_7
20,trace_0,trace_1
20,trace_0,trace_9
20,trace_4,trace_7
40,trace_1,trace_4
40,trace_2,trace_4
40,trace_3,trace_6
40,trace_3,trace_8
40,trace_4,trace_7
60,trace_0,trace_5
60,trace_0,trace_9
60,trace_1,trace_4
60,trace_2,trace_7
80,trace_0,trace_9
80,trace_1,trace_2
80,trace_2,trace_4
80,trace_3,trace_6
80,trace_5,trace_9
80,trace_6,trace_8
100,trace_0,trace_8
100,trace_0,trace_9
100,trace_1,trace_4
100,trace_3,trace_6
100,trace_4,trace_7
100,trace_5,trace_9
100,trace_6,trace_8
120,trace_0,trace_5
120,trace_4,trace_7
140,trace_0,trace_9
140,trace_3,trace_6
140,trace_3,trace_8
140,trace_6,trace_8
160,trace_0,trace_9
160,trace_1,trace_2
160,trace_3,trace_8
160,trace_6,trace_8
180,trace_0,trace_5
180,trace_1,trace_4
180,trace_4,trace_7
200,trace_2,trace_4
200,trace_3,trace_8
220,trace_0,trace_9
220,trace_1,trace_2
220,trace_1,trace_4
220,trace_1,trace_7
220,trace_2,trace_3
220,trace_2,trace_7
220,trace_3,trace_8
220,trace_4,trace_8
240,trace_0,trace_9
240,trace_1,trace_2
240,trace_1,trace_7
240,trace_2,trace_7
240,trace_6,trace_8
260,trace_0,trace_4
260,trace_0,trace_5
260,trace_3,trace_6
260,trace_3,trace_8
280,trace_1,trace_3
280,trace_2,trace_7
280,trace_3,trace_6
280,trace_3,trace_8
280,trace_4,trace_7
300,trace_0,trace_2
300,trace_0,trace_5
300,trace_1,trace_2
300,trace_1,trace_4
300,trace_2,trace_4
300,trace_2,trace_7
320,trace_0,trace_5
320,trace_0,trace_9
320,trace_1,trace_4
320,trace_1,trace_7
320,trace_2,trace_3
320,trace_3,trace_6
320,trace_4,trace_7
320,trace_6,trace_7
320,trace_6,trace_8
340,trace_0,trace_4
340,trace_1,trace_2
340,trace_2,trace_7
340,trace_3,trace_5
340,trace_3,trace_6
340,trace_6,trace_7
340,trace_6,trace_8
360,trace_0,trace_5
360,trace_1,trace_2
360,trace_1,trace_4
360,trace_3,trace_4
360,trace_3,trace_8
360,trace_4,trace_7
360,trace_5,trace_9
380,trace_0,trace_9
380,trace_3,trace_6
