time,node1,node2
0,trace_2,trace_3
0,trace_4,trace_6
60,trace_0,trace_6
140,trace_1,trace_9
160,trace_2,trace_3
180,trace_1,trace_4
220,trace_1,trace_4
220,trace_4,trace_5
240,trace_1,trace_4
240,trace_5,trace_9
260,trace_0,trace_6
260,trace_2,trace_9
260,trace_5,trace_9
280,trace_1,trace_5
280,trace_3,trace_7
280,trace_6,trace_8
320,trace_2,trace_7
320,trace_4,trace_5
360,trace_0,trace_6
380,trace_0,trace_6
380,trace_1,trace_4
380,trace_1,trace_9
400,trace_2,trace_3
420,trace_1,trace_4
440,trace_1,trace_9
440,trace_6,trace_8
460,trace_6,trace_8
480,trace_4,trace_5
500,trace_2,trace_3
520,trace_4,trace_6
540,trace_3,trace_7
560,trace_6,trace_8
580,trace_1,trace_9
640,trace_2,trace_3
640,trace_4,trace_9
660,trace_3,trace_9
660,trace_4,trace_9
660,trace_5,trace_9
680,trace_0,trace_6
680,trace_1,trace_5
700,trace_0,trace_5
700,trace_1,trace_4
720,trace_0,trace_6
720,trace_1,trace_5
720,trace_5,trace_9
740,trace_1,trace_5
900,trace_2,trace_4
900,trace_2,trace_7
920,trace_4,trace_9
960,trace_6,trace_8
980,trace_1,trace_4
1000,trace_0,trace_6
1020,trace_0,trace_6
1020,trace_6,trace_8
1040,trace_1,trace_5
1040,trace_4,trace_5
1060,trace_0,trace_6
1100,trace_3,trace_7
1120,trace_0,trace_8
1120,trace_2,trace_4
1160,trace_1,trace_4
1160,trace_1,trace_5
1160,trace_3,trace_6
1180,trace_1,trace_4
1200,trace_7,trace_9
1220,trace_5,trace_9
1240,trace_0,trace_8
1280,trace_1,trace_5
1300,trace_0,trace_6
1300,trace_1,trace_4
1300,trace_1,trace_5
1300,trace_2,trace_3
1300,trace_4,trace_9
1300,trace_5,trace_9
1340,trace_4,trace_9
1360,trace_4,trace_9
1380,trace_0,trace_2
1380,trace_3,trace_7
1420,trace_6,trace_9
1440,trace_4,trace_5
1480,trace_1,trace_9
1500,trace_0,trace_8
1500,trace_1,trace_9
1500,trace_3,trace_9
1500,trace_7,trace_9
1520,trace_6,trace_8
1640,trace_1,trace_4
1640,trace_4,trace_5
1640,trace_4,trace_9
1680,trace_0,trace_6
1720,trace_1,trace_9
1720,trace_4,trace_9
1720,trace_5,trace_9
1720,trace_6,trace_8
1740,trace_0,trace_8
1780,trace_3,trace_7
1780,trace_7,trace_9
1800,trace_1,trace_5
1800,trace_4,trace_9
1800,trace_6,trace_8
1840,trace_0,trace_8
1860,trace_4,trace_5
1860,trace_5,trace_9
1860,trace_7,trace_9
1880,trace_0,trace_8
1880,trace_1,trace_3
1920,trace_3,trace_8
1920,trace_4,trace_8
1940,trace_2,trace_7
1940,trace_3,trace_7
1980,trace_1,trace_5
1980,trace_4,trace_9
2020,trace_1,trace_4
2060,trace_0,trace_6
2140,trace_4,trace_9
2160,trace_0,trace_9
2200,trace_0,trace_5
2220,trace_6,trace_8
2240,trace_0,trace_6
2260,trace_4,trace_9
2260,trace_6,trace_8
2280,trace_1,trace_5
2280,trace_2,trace_7
2300,trace_4,trace_9
2320,trace_0,trace_6
2320,trace_3,trace_7
2360,trace_4,trace_8
2380,trace_5,trace_9
2420,trace_0,trace_8
2420,trace_2,trace_3
2420,trace_5,trace_9
2420,trace_6,trace_8
2440,trace_3,trace_7
2440,trace_4,trace_9
2480,trace_2,trace_3
2480,trace_6,trace_8
2500,trace_1,trace_5
2540,trace_1,trace_4
2560,trace_4,trace_5
2600,trace_5,trace_9
2620,trace_1,trace_8
2620,trace_2,trace_3
2700,trace_6,trace_8
2760,trace_3,trace_7
2800,trace_0,trace_5
2800,trace_0,trace_8
2820,trace_4,trace_5
2860,trace_1,trace_4
2860,trace_3,trace_7
2940,trace_4,trace_9
2980,trace_1,trace_9
3040,trace_4,trace_9
3060,trace_4,trace_9
3060,trace_6,trace_8
3100,trace_6,trace_8
3180,trace_2,trace_6
3180,trace_4,trace_9
3220,trace_0,trace_6
3220,trace_4,trace_5
3240,trace_2,trace_3
3280,trace_0,trace_8
3280,trace_2,trace_3
3320,trace_6,trace_8
3360,trace_1,trace_5
3360,trace_2,trace_3
3360,trace_4,trace_9
3400,trace_1,trace_9
3400,trace_6,trace_8
3420,trace_1,trace_5
3440,trace_1,trace_9
3440,trace_2,trace_7
3440,trace_4,trace_9
3460,trace_0,trace_6
3460,trace_1,trace_5
3460,trace_5,trace_9
3500,trace_0,trace_8
3500,trace_2,trace_7
3520,trace_0,trace_6
3540,trace_0,trace_6
3560,trace_1,trace_5
3580,trace_0,trace_6
3580,trace_1,trace_4
3600,trace_5,trace_9
3620,trace_0,trace_6
3660,trace_1,trace_7
3680,trace_2,trace_3
3700,trace_1,trace_9
3720,trace_2,trace_3
3740,trace_4,trace_9
3780,trace_4,trace_9
3800,trace_1,trace_9
3840,trace_0,trace_8
3860,trace_5,trace_8
3920,trace_6,trace_8
3940,trace_0,trace_6
3980,trace_1,trace_5
3980,trace_3,trace_7
4000,trace_0,trace_6
4000,trace_2,trace_3
4020,trace_1,trace_4
4040,trace_2,trace_3
4060,trace_5,trace_9
4100,trace_1,trace_4
4100,trace_5,trace_9
4160,trace_2,trace_3
4160,trace_6,trace_8
4180,trace_1,trace_5
4200,trace_1,trace_5
4200,trace_4,trace_5
4200,trace_6,trace_8
4220,trace_1,trace_9
4220,trace_3,trace_7
4240,trace_4,trace_5
4260,trace_5,trace_9
4280,trace_4,trace_9
4300,trace_6,trace_8
4320,trace_1,trace_5
4340,trace_0,trace_6
4340,trace_1,trace_9
4380,trace_0,trace_6
4400,trace_0,trace_6
4420,trace_0,trace_8
4480,trace_1,trace_9
4520,trace_4,trace_5
4540,trace_0,trace_6
4580,trace_3,trace_7
4600,trace_5,trace_9
4620,trace_1,trace_9
4660,trace_1,trace_9
4660,trace_6,trace_8
4680,trace_2,trace_7
4740,trace_1,trace_5
4760,trace_0,trace_8
4760,trace_2,trace_7
4820,trace_5,trace_9
4900,trace_1,trace_4
4900,trace_6,trace_8
4920,trace_1,trace_5
4940,trace_6,trace_8
4960,trace_1,trace_7
4960,trace_2,trace_3
4980,trace_2,trace_7
4980,trace_5,trace_9
5020,trace_5,trace_9
5040,trace_1,trace_9
5060,trace_4,trace_5
5080,trace_6,trace_8
5100,trace_2,trace_7
5140,trace_2,trace_7
5140,trace_3,trace_7
5160,trace_4,trace_9
5200,trace_0,trace_5
5220,trace_0,trace_8
5240,trace_4,trace_9
5340,trace_4,trace_5
5360,trace_1,trace_4
5380,trace_3,trace_4
5380,trace_4,trace_5
5380,trace_6,trace_8
5400,trace_2,trace_7
5420,trace_0,trace_8
5440,trace_6,trace_8
5460,trace_0,trace_8
5460,trace_3,trace_7
5460,trace_7,trace_9
5480,trace_5,trace_6
5500,trace_2,trace_7
5520,trace_2,trace_7
5580,trace_1,trace_5
5580,trace_4,trace_5
5600,trace_1,trace_7
5720,trace_0,trace_6
5720,trace_2,trace_3
5720,trace_4,trace_9
5780,trace_5,trace_9
5780,trace_6,trace_8
5800,trace_4,trace_9
5840,trace_4,trace_5
5860,trace_6,trace_8
5920,trace_3,trace_7
5940,trace_5,trace_9
5960,trace_3,trace_5
5960,trace_4,trace_5
5980,trace_1,trace_9
5980,trace_2,trace_7
5980,trace_4,trace_8
6020,trace_1,trace_5
6020,trace_2,trace_3
6060,trace_4,trace_9
6120,trace_2,trace_7
6140,trace_2,trace_3
6140,trace_4,trace_5
6160,trace_2,trace_9
6160,trace_5,trace_8
6180,trace_5,trace_9
6200,trace_1,trace_5
6260,trace_5,trace_9
6340,trace_6,trace_8
6360,trace_6,trace_8
6380,trace_2,trace_3
6400,trace_2,trace_7
6460,trace_2,trace_7
6520,trace_2,trace_4
6560,trace_1,trace_5
6580,trace_7,trace_9
6620,trace_4,trace_9
6660,trace_1,trace_9
6660,trace_4,trace_5
6760,trace_2,trace_3
6760,trace_3,trace_7
6800,trace_0,trace_8
6860,trace_2,trace_7
6860,trace_4,trace_9
6880,trace_1,trace_4
6880,trace_4,trace_5
6900,trace_3,trace_4
6940,trace_1,trace_9
6980,trace_0,trace_8
6980,trace_1,trace_9
7000,trace_1,trace_2
7000,trace_1,trace_5
7000,trace_2,trace_9
7020,trace_2,trace_7
7080,trace_1,trace_9
7100,trace_0,trace_8
7200,trace_0,trace_9
7200,trace_1,trace_4
7220,trace_0,trace_6
7220,trace_1,trace_9
7220,trace_2,trace_3
7240,trace_1,trace_4
7240,trace_2,trace_7
7280,trace_1,trace_9
7300,trace_0,trace_6
7340,trace_0,trace_6
7340,trace_1,trace_9
7340,trace_2,trace_3
7340,trace_3,trace_6
7380,trace_4,trace_5
7380,trace_6,trace_8
7400,trace_0,trace_6
7400,trace_2,trace_7
7420,trace_0,trace_6
7420,trace_6,trace_8
7440,trace_2,trace_3
7460,trace_6,trace_8
7480,trace_6,trace_8
7500,trace_0,trace_8
7500,trace_1,trace_9
7540,trace_5,trace_8
7560,trace_3,trace_6
7600,trace_1,trace_9
7640,trace_4,trace_9
7660,trace_4,trace_9
7680,trace_2,trace_7
7680,trace_6,trace_8
7720,trace_2,trace_3
7760,trace_0,trace_8
7780,trace_0,trace_8
7800,trace_1,trace_9
7840,trace_2,trace_3
7840,trace_2,trace_7
7840,trace_4,trace_9
7860,trace_3,trace_6
7920,trace_2,trace_3
7960,trace_6,trace_8
8000,trace_2,trace_3
8080,trace_0,trace_6
8080,trace_1,trace_5
8080,trace_3,trace_5
8100,trace_1,trace_6
8140,trace_3,trace_7
8140,trace_4,trace_9
8200,trace_1,trace_4
8200,trace_2,trace_9
8240,trace_0,trace_8
8280,trace_0,trace_8
8280,trace_2,trace_3
8320,trace_0,trace_8
8360,trace_0,trace_4
8380,trace_3,trace_7
8400,trace_1,trace_4
8400,trace_4,trace_9
8420,trace_2,trace_3
8420,trace_2,trace_7
8460,trace_2,trace_7
8480,trace_1,trace_9
8500,trace_2,trace_7
8520,trace_1,trace_9
8520,trace_3,trace_7
8580,trace_1,trace_9
8600,trace_0,trace_6
8640,trace_4,trace_5
8660,trace_3,trace_7
8680,trace_2,trace_8
8700,trace_0,trace_6
8700,trace_3,trace_7
8720,trace_1,trace_5
8720,trace_2,trace_7
8720,trace_4,trace_9
8800,trace_2,trace_3
8820,trace_0,trace_6
8880,trace_0,trace_8
8880,trace_1,trace_4
8880,trace_2,trace_7
8880,trace_2,trace_8
8920,trace_6,trace_8
8940,trace_2,trace_3
8940,trace_2,trace_7
8940,trace_6,trace_8
8960,trace_0,trace_6
8960,trace_6,trace_8
8980,trace_3,trace_7
9000,trace_2,trace_3
9020,trace_2,trace_7
9080,trace_6,trace_8
9180,trace_1,trace_9
9220,trace_1,trace_5
9240,trace_1,trace_9
9240,trace_2,trace_7
9240,trace_4,trace_5
9280,trace_1,trace_9
9280,trace_4,trace_5
9300,trace_1,trace_5
9300,trace_1,trace_9
9340,trace_1,trace_4
9360,trace_2,trace_7
9360,trace_6,trace_8
9400,trace_4,trace_5
9420,trace_1,trace_6
9420,trace_5,trace_9
9440,trace_2,trace_3
