time,node1,node2
0,trace_0,trace_2
0,trace_3,trace_5
0,trace_6,trace_8
20,trace_0,trace_2
20,trace_3,trace_5
20,trace_6,trace_8
40,trace_0,trace_2
40,trace_3,trace_5
40,trace_6,trace_8
60,trace_0,trace_2
60,trace_1,trace_5
60,trace_3,trace_5
60,trace_6,trace_8
80,trace_1,trace_5
80,trace_2,trace_3
80,trace_3,trace_5
80,trace_6,trace_8
100,trace_0,trace_2
100,trace_1,trace_5
100,trace_2,trace_3
100,trace_3,trace_5
100,trace_6,trace_8
120,trace_0,trace_2
120,trace_1,trace_5
120,trace_2,trace_3
120,trace_3,trace_5
120,trace_6,trace_8
140,trace_0,trace_2
140,trace_1,trace_5
140,trace_3,trace_5
160,trace_0,trace_2
160,trace_1,trace_5
160,trace_2,trace_7
160,trace_3,trace_5
180,trace_0,trace_2
180,trace_2,trace_7
180,trace_3,trace_5
180,trace_8,trace_9
200,trace_2,trace_7
200,trace_3,trace_5
200,trace_8,trace_9
220,trace_2,trace_7
220,trace_3,trace_5
220,trace_8,trace_9
240,trace_2,trace_7
240,trace_3,trace_5
240,trace_8,trace_9
260,trace_2,trace_7
260,trace_3,trace_5
260,trace_8,trace_9
280,trace_2,trace_7
280,trace_7,trace_9
280,trace_8,trace_9
300,trace_2,trace_7
300,trace_7,trace_9
300,trace_8,trace_9
320,trace_0,trace_9
320,trace_2,trace_7
320,trace_7,trace_9
320,trace_8,trace_9
340,trace_0,trace_9
340,trace_2,trace_7
340,trace_7,trace_9
340,trace_8,trace_9
360,trace_0,trace_9
360,trace_1,trace_3
360,trace_2,trace_7
360,trace_7,trace_9
360,trace_8,trace_9
380,trace_0,trace_9
380,trace_1,trace_7
380,trace_2,trace_7
380,trace_4,trace_9
400,trace_0,trace_9
400,trace_1,trace_7
400,trace_2,trace_7
400,trace_3,trace_6
400,trace_4,trace_9
420,trace_0,trace_9
420,trace_1,trace_7
420,trace_2,trace_7
420,trace_3,trace_6
420,trace_4,trace_9
420,trace_5,trace_9
440,trace_0,trace_3
440,trace_0,trace_9
440,trace_1,trace_7
440,trace_3,trace_6
440,trace_5,trace_9
460,trace_0,trace_3
460,trace_0,trace_9
460,trace_1,trace_7
460,trace_3,trace_6
460,trace_5,trace_9
480,trace_0,trace_3
480,trace_0,trace_9
480,trace_1,trace_7
480,trace_3,trace_6
480,trace_5,trace_9
500,trace_0,trace_3
500,trace_0,trace_9
500,trace_1,trace_7
500,trace_3,trace_6
500,trace_5,trace_9
520,trace_0,trace_3
520,trace_1,trace_7
520,trace_3,trace_6
520,trace_5,trace_9
540,trace_0,trace_3
540,trace_1,trace_7
540,trace_3,trace_6
540,trace_3,trace_9
540,trace_5,trace_9
560,trace_0,trace_3
560,trace_1,trace_7
560,trace_3,trace_6
560,trace_3,trace_9
560,trace_5,trace_9
580,trace_0,trace_3
580,trace_1,trace_7
580,trace_3,trace_6
580,trace_5,trace_9
600,trace_0,trace_3
600,trace_1,trace_7
600,trace_3,trace_6
620,trace_0,trace_3
620,trace_1,trace_7
620,trace_4,trace_8
640,trace_1,trace_3
640,trace_1,trace_7
640,trace_2,trace_8
660,trace_1,trace_3
660,trace_1,trace_7
660,trace_2,trace_8
660,trace_7,trace_8
680,trace_1,trace_7
680,trace_2,trace_5
680,trace_2,trace_8
680,trace_3,trace_4
680,trace_7,trace_8
700,trace_1,trace_7
700,trace_2,trace_8
700,trace_3,trace_4
700,trace_7,trace_8
720,trace_1,trace_7
720,trace_2,trace_8
720,trace_3,trace_4
720,trace_7,trace_8
740,trace_1,trace_7
740,trace_2,trace_8
740,trace_3,trace_4
740,trace_7,trace_8
760,trace_1,trace_7
760,trace_2,trace_8
760,trace_3,trace_4
760,trace_7,trace_8
780,trace_1,trace_7
780,trace_2,trace_8
780,trace_3,trace_4
780,trace_3,trace_9
780,trace_7,trace_8
800,trace_1,trace_7
800,trace_2,trace_8
800,trace_3,trace_4
800,trace_7,trace_8
820,trace_1,trace_7
820,trace_2,trace_8
820,trace_3,trace_4
820,trace_7,trace_8
840,trace_1,trace_5
840,trace_1,trace_7
840,trace_2,trace_8
840,trace_7,trace_8
860,trace_1,trace_5
860,trace_1,trace_7
860,trace_2,trace_7
860,trace_2,trace_8
880,trace_1,trace_5
880,trace_1,trace_7
880,trace_2,trace_7
880,trace_2,trace_8
900,trace_1,trace_7
900,trace_2,trace_7
900,trace_2,trace_8
900,trace_3,trace_7
920,trace_1,trace_7
920,trace_2,trace_7
920,trace_3,trace_7
940,trace_1,trace_7
940,trace_2,trace_5
940,trace_2,trace_7
940,trace_2,trace_8
940,trace_3,trace_7
960,trace_1,trace_7
960,trace_2,trace_5
960,trace_2,trace_7
960,trace_3,trace_7
960,trace_4,trace_9
980,trace_1,trace_7
980,trace_2,trace_5
980,trace_3,trace_7
980,trace_4,trace_9
1000,trace_1,trace_7
1000,trace_2,trace_3
1000,trace_2,trace_5
1000,trace_3,trace_7
1000,trace_4,trace_9
1020,trace_1,trace_7
1020,trace_2,trace_3
1020,trace_2,trace_5
1020,trace_3,trace_7
1020,trace_3,trace_9
1020,trace_4,trace_9
1040,trace_1,trace_7
1040,trace_2,trace_3
1040,trace_2,trace_5
1040,trace_3,trace_7
1040,trace_3,trace_9
1040,trace_4,trace_9
1040,trace_5,trace_8
1060,trace_1,trace_7
1060,trace_2,trace_3
1060,trace_2,trace_5
1060,trace_3,trace_7
1060,trace_3,trace_9
1060,trace_4,trace_9
1060,trace_5,trace_8
1080,trace_1,trace_7
1080,trace_2,trace_3
1080,trace_3,trace_7
1080,trace_3,trace_9
1080,trace_4,trace_9
1080,trace_5,trace_8
1100,trace_1,trace_8
1100,trace_2,trace_3
1100,trace_3,trace_7
1100,trace_3,trace_9
1100,trace_4,trace_9
1100,trace_5,trace_8
1120,trace_1,trace_8
1120,trace_3,trace_7
1120,trace_3,trace_9
1120,trace_4,trace_9
1120,trace_5,trace_8
1140,trace_1,trace_8
1140,trace_3,trace_7
1140,trace_3,trace_9
1140,trace_4,trace_9
1140,trace_5,trace_8
1160,trace_1,trace_8
1160,trace_3,trace_7
1160,trace_3,trace_9
1160,trace_4,trace_9
1160,trace_5,trace_8
1180,trace_1,trace_3
1180,trace_1,trace_8
1180,trace_2,trace_6
1180,trace_3,trace_7
1180,trace_3,trace_9
1180,trace_4,trace_9
1180,trace_5,trace_8
1200,trace_1,trace_3
1200,trace_1,trace_8
1200,trace_2,trace_6
1200,trace_3,trace_7
1200,trace_3,trace_9
1200,trace_4,trace_9
1200,trace_5,trace_8
1220,trace_1,trace_3
1220,trace_1,trace_8
1220,trace_2,trace_6
1220,trace_2,trace_9
1220,trace_3,trace_7
1220,trace_3,trace_9
1220,trace_4,trace_9
1220,trace_5,trace_7
1220,trace_5,trace_8
1240,trace_1,trace_3
1240,trace_1,trace_8
1240,trace_2,trace_6
1240,trace_2,trace_9
1240,trace_3,trace_7
1240,trace_3,trace_9
1240,trace_4,trace_9
1240,trace_5,trace_7
1240,trace_5,trace_8
1260,trace_1,trace_3
1260,trace_2,trace_6
1260,trace_2,trace_9
1260,trace_3,trace_7
1260,trace_3,trace_9
1260,trace_4,trace_9
1260,trace_5,trace_7
1260,trace_5,trace_8
1280,trace_1,trace_3
1280,trace_2,trace_6
1280,trace_2,trace_9
1280,trace_3,trace_9
1280,trace_4,trace_9
1280,trace_5,trace_7
1280,trace_5,trace_8
1300,trace_1,trace_2
1300,trace_1,trace_3
1300,trace_2,trace_6
1300,trace_2,trace_9
1300,trace_3,trace_9
1300,trace_4,trace_9
1300,trace_5,trace_7
1300,trace_5,trace_8
1320,trace_1,trace_2
1320,trace_1,trace_3
1320,trace_2,trace_6
1320,trace_2,trace_9
1320,trace_3,trace_9
1320,trace_4,trace_9
1320,trace_5,trace_7
1320,trace_5,trace_8
1340,trace_0,trace_7
1340,trace_1,trace_2
1340,trace_1,trace_3
1340,trace_2,trace_9
1340,trace_3,trace_9
1340,trace_4,trace_9
1340,trace_5,trace_6
1340,trace_5,trace_7
1340,trace_5,trace_8
1340,trace_6,trace_9
1360,trace_0,trace_7
1360,trace_1,trace_2
1360,trace_1,trace_3
1360,trace_2,trace_9
1360,trace_3,trace_9
1360,trace_4,trace_9
1360,trace_5,trace_6
1360,trace_5,trace_7
1360,trace_5,trace_8
1360,trace_6,trace_9
