time,node1,node2
0,trace_3,trace_5
20,trace_3,trace_5
40,trace_3,trace_5
60,trace_3,trace_5
80,trace_3,trace_5
100,trace_0,trace_2
100,trace_3,trace_5
120,trace_0,trace_2
120,trace_3,trace_5
140,trace_0,trace_2
140,trace_3,trace_5
160,trace_0,trace_2
160,trace_3,trace_5
180,trace_0,trace_2
180,trace_3,trace_5
200,trace_3,trace_5
220,trace_3,trace_5
240,trace_3,trace_5
260,trace_3,trace_5
380,trace_1,trace_7
400,trace_1,trace_7
420,trace_1,trace_7
440,trace_1,trace_7
460,trace_1,trace_7
480,trace_1,trace_7
500,trace_1,trace_7
520,trace_1,trace_7
540,trace_1,trace_7
540,trace_3,trace_9
560,trace_1,trace_7
560,trace_3,trace_9
580,trace_1,trace_7
600,trace_1,trace_7
620,trace_1,trace_7
640,trace_1,trace_7
660,trace_1,trace_7
680,trace_1,trace_7
680,trace_3,trace_4
700,trace_1,trace_7
700,trace_3,trace_4
720,trace_1,trace_7
720,trace_3,trace_4
740,trace_1,trace_7
740,trace_3,trace_4
760,trace_1,trace_7
760,trace_3,trace_4
780,trace_1,trace_7
780,trace_3,trace_4
780,trace_3,trace_9
800,trace_1,trace_7
800,trace_3,trace_4
820,trace_1,trace_7
820,trace_3,trace_4
840,trace_1,trace_7
860,trace_1,trace_7
880,trace_1,trace_7
900,trace_1,trace_7
920,trace_1,trace_7
940,trace_1,trace_7
960,trace_1,trace_7
980,trace_1,trace_7
1000,trace_1,trace_7
1020,trace_1,trace_7
1040,trace_1,trace_7
1040,trace_5,trace_8
1060,trace_1,trace_7
1060,trace_5,trace_8
1080,trace_1,trace_7
1080,trace_5,trace_8
1100,trace_1,trace_8
1100,trace_5,trace_8
1120,trace_1,trace_8
1120,trace_5,trace_8
1140,trace_1,trace_8
1140,trace_5,trace_8
1160,trace_1,trace_8
1160,trace_5,trace_8
1180,trace_1,trace_8
1180,trace_5,trace_8
1200,trace_1,trace_8
1200,trace_5,trace_8
1220,trace_1,trace_8
1220,trace_5,trace_8
1240,trace_1,trace_8
1240,trace_5,trace_8
1260,trace_5,trace_8
1280,trace_5,trace_8
1300,trace_5,trace_8
1320,trace_2,trace_6
1320,trace_5,trace_8
1340,trace_5,trace_8
1360,trace_5,trace_8
1380,trace_5,trace_8
1400,trace_5,trace_8
1420,trace_5,trace_8
2160,trace_0,trace_4
2180,trace_0,trace_4
2200,trace_0,trace_4
2220,trace_0,trace_4
2240,trace_0,trace_4
2260,trace_0,trace_4
2280,trace_0,trace_4
2300,trace_0,trace_4
2320,trace_0,trace_4
2340,trace_0,trace_4
2360,trace_0,trace_4
2380,trace_0,trace_4
2400,trace_0,trace_4
2420,trace_0,trace_4
2440,trace_0,trace_4
2580,trace_1,trace_2
2600,trace_1,trace_2
2620,trace_1,trace_2
2640,trace_1,trace_2
2660,trace_1,trace_2
2680,trace_1,trace_2
2700,trace_1,trace_2
2700,trace_4,trace_6
2720,trace_1,trace_2
2740,trace_1,trace_2
2760,trace_1,trace_2
2780,trace_1,trace_2
2800,trace_1,trace_2
2900,trace_3,trace_5
2920,trace_3,trace_5
2940,trace_3,trace_5
2960,trace_3,trace_5
2980,trace_3,trace_5
3000,trace_3,trace_5
3020,trace_3,trace_5
3040,trace_3,trace_5
3060,trace_3,trace_5
3080,trace_3,trace_5
3100,trace_3,trace_5
3120,trace_3,trace_5
3140,trace_3,trace_5
3160,trace_3,trace_5
3180,trace_3,trace_5
3200,trace_3,trace_5
3260,trace_3,trace_4
3280,trace_3,trace_4
3300,trace_3,trace_4
3320,trace_3,trace_4
3340,trace_3,trace_4
3360,trace_3,trace_4
3380,trace_3,trace_4
3620,trace_0,trace_8
3760,trace_2,trace_3
3780,trace_2,trace_3
3800,trace_2,trace_3
3820,trace_2,trace_3
3840,trace_2,trace_3
3860,trace_2,trace_3
3880,trace_2,trace_3
3900,trace_2,trace_3
3920,trace_2,trace_3
3940,trace_2,trace_3
4260,trace_8,trace_9
4280,trace_8,trace_9
4300,trace_8,trace_9
4320,trace_8,trace_9
4340,trace_8,trace_9
4360,trace_8,trace_9
4380,trace_8,trace_9
4400,trace_8,trace_9
4420,trace_4,trace_8
4420,trace_8,trace_9
4440,trace_4,trace_8
4440,trace_8,trace_9
4460,trace_4,trace_8
4480,trace_4,trace_8
4500,trace_4,trace_8
4520,trace_4,trace_8
4540,trace_4,trace_8
4700,trace_4,trace_5
4720,trace_4,trace_5
4740,trace_4,trace_5
4760,trace_4,trace_5
4780,trace_4,trace_5
4820,trace_5,trace_8
