dataset,mobility,algorithm,metric,mean,std,runs
cifar10,community_sparse,local,accuracy,0.8114279493689537,0.0058403297464923835,12
cifar10,community_sparse,local,loss,0.4036198530967037,0.029834037568710125,12
cifar10,community_sparse,local,macro_f1,0.3008549236752048,0.011926037052496634,12
cifar10,community_sparse,oppavg,accuracy,0.8067676693201066,0.008887473148194071,12
cifar10,community_sparse,oppavg,loss,0.47241462591725086,0.03629435178454809,12
cifar10,community_sparse,oppavg,macro_f1,0.31827654764283536,0.009116916670126594,12
cifar10,community_sparse,oppfl,accuracy,0.5950392584909092,0.021222902503637866,11
cifar10,community_sparse,oppfl,loss,1.0085052186340997,0.3083944337283479,11
cifar10,community_sparse,oppfl,macro_f1,0.3170591159776036,0.010722862052858002,11
cifar10,community_sparse,optimist,accuracy,0.6208539240062237,0.019185679102722356,12
cifar10,community_sparse,optimist,loss,1.3009578213095665,0.10557587657242802,12
cifar10,community_sparse,optimist,macro_f1,0.30485652189462503,0.0105511930299655,12
cifar10,community_sparse,pulse,accuracy,0.8257357036074002,0.008167622182914992,12
cifar10,community_sparse,pulse,loss,0.3326118819066323,0.036621271771403056,12
cifar10,community_sparse,pulse,macro_f1,0.3439285670770629,0.014379917714203922,12
cifar10,edge_markov_sparse,local,accuracy,0.8190987311303615,0.01785877652606976,8
cifar10,edge_markov_sparse,local,loss,0.4158988734241575,0.06285275430534353,8
cifar10,edge_markov_sparse,local,macro_f1,0.2909618761708962,0.03166291565481997,8
cifar10,edge_markov_sparse,oppavg,accuracy,0.8028213404119015,0.015951659802674278,8
cifar10,edge_markov_sparse,oppavg,loss,0.540522206419458,0.13602328880065623,8
cifar10,edge_markov_sparse,oppavg,macro_f1,0.31172506438098624,0.028776052948241437,8
cifar10,edge_markov_sparse,oppfl,accuracy,0.5819830442468326,0.009194804008792884,3
cifar10,edge_markov_sparse,oppfl,loss,1.1633118715965087,0.25903365288612146,3
cifar10,edge_markov_sparse,oppfl,macro_f1,0.2888776288346449,0.0154037170666824,3
cifar10,edge_markov_sparse,optimist,accuracy,0.6531816774606705,0.09320806466028406,5
cifar10,edge_markov_sparse,optimist,loss,1.259617444872856,0.45172465124983185,5
cifar10,edge_markov_sparse,optimist,macro_f1,0.2867324251371907,0.06564128182483442,5
cifar10,edge_markov_sparse,pulse,accuracy,0.810407318174839,0.022576488736357658,4
cifar10,edge_markov_sparse,pulse,loss,0.34320455084089185,0.037529190663758365,4
cifar10,edge_markov_sparse,pulse,macro_f1,0.3269040357894794,0.013857510747868097,4
hhar,community_dense,local,accuracy,0.6760298968465239,0.012187009869432533,12
hhar,community_dense,local,loss,0.8775345070494546,0.02035416617255291,12
