Scenario,,Cambridge,Cambridge,Cambridge,"Community
Dense","Community
Dense","Community
Dense","Community
Sparse","Community
Sparse","Community
Sparse","Edge-Markov
Dense","Edge-Markov
Dense","Edge-Markov
Dense","Edge-Markov
Sparse","Edge-Markov
Sparse","Edge-Markov
Sparse"
Metric,,Acc.,F1,Loss,Acc.,F1,Loss,Acc.,F1,Loss,Acc.,F1,Loss,Acc.,F1,Loss
Dataset,Method,,,,,,,,,,,,,,,
HHAR,Local,86.5 ± 0.8,86.2 ± 0.9,0.402 ± 0.057,67.6 ± 1.2,63.9 ± 1.5,0.878 ± 0.020,67.7 ± 1.3,63.9 ± 1.7,0.891 ± 0.029,67.5 ± 1.3,63.8 ± 1.5,0.874 ± 0.014,67.6 ± 1.2,63.9 ± 1.5,0.878 ± 0.020
HHAR,OppAVG,86.4 ± 1.2,86.1 ± 1.2,0.411 ± 0.048,61.3 ± 0.7,55.7 ± 0.9,0.965 ± 0.043,61.4 ± 1.0,55.7 ± 1.3,0.973 ± 0.041,61.3 ± 0.7,55.5 ± 1.0,0.956 ± 0.024,61.3 ± 0.7,55.4 ± 1.1,0.967 ± 0.042
HHAR,OppFL,55.2 ± 1.0,51.6 ± 1.3,1.051 ± 0.177,65.0 ± 0.7,63.7 ± 0.8,0.912 ± 0.077,53.9 ± 0.9,50.7 ± 1.3,1.236 ± 0.055,65.2 ± 0.7,63.8 ± 0.7,0.937 ± 0.057,54.3 ± 1.0,51.0 ± 1.2,1.205 ± 0.111
HHAR,OPTIMIST,58.8 ± 6.4,56.6 ± 7.2,0.910 ± 0.229,70.1 ± 0.7,69.0 ± 0.9,0.860 ± 0.116,64.7 ± 1.0,63.0 ± 1.1,0.953 ± 0.098,70.9 ± 0.5,69.9 ± 0.4,0.832 ± 0.084,65.1 ± 1.4,63.3 ± 1.6,1.003 ± 0.085
HHAR,PULSE,87.1 ± 0.8,86.8 ± 0.9,0.388 ± 0.034,82.4 ± 0.3,81.8 ± 0.3,0.551 ± 0.043,77.0 ± 0.9,75.7 ± 1.1,0.709 ± 0.048,82.0 ± 0.4,81.4 ± 0.5,0.576 ± 0.043,76.2 ± 0.9,74.8 ± 1.2,0.691 ± 0.046
SisFall,Local,92.1 ± 0.7,81.9 ± 0.8,0.087 ± 0.030,91.1 ± 0.5,80.7 ± 0.5,0.193 ± 0.031,91.1 ± 0.5,80.7 ± 0.5,0.193 ± 0.028,91.1 ± 0.5,80.7 ± 0.5,0.193 ± 0.031,91.1 ± 0.5,80.7 ± 0.5,0.193 ± 0.031
SisFall,OppAVG,92.1 ± 0.6,81.9 ± 0.7,0.091 ± 0.030,90.9 ± 0.4,80.6 ± 0.5,0.193 ± 0.031,90.9 ± 0.5,80.6 ± 0.5,0.194 ± 0.028,90.9 ± 0.4,80.6 ± 0.5,0.193 ± 0.031,90.9 ± 0.4,80.6 ± 0.4,0.194 ± 0.031
SisFall,OppFL,84.7 ± 0.6,74.4 ± 0.5,0.199 ± 0.110,86.4 ± 0.6,76.2 ± 0.5,0.297 ± 0.065,84.3 ± 0.3,74.0 ± 0.4,0.353 ± 0.106,86.2 ± 1.1,75.9 ± 1.1,0.292 ± 0.069,84.3 ± 0.4,74.0 ± 0.5,0.281 ± 0.153
SisFall,OPTIMIST,83.7 ± 0.9,73.9 ± 0.8,0.307 ± 0.063,84.5 ± 1.1,75.1 ± 0.6,0.405 ± 0.047,83.8 ± 0.9,74.3 ± 0.9,0.396 ± 0.056,85.3 ± 0.9,75.5 ± 0.8,0.385 ± 0.066,85.3 ± 1.0,74.9 ± 0.7,0.359 ± 0.098
SisFall,PULSE,92.0 ± 0.4,81.7 ± 0.5,0.077 ± 0.011,91.0 ± 0.5,80.6 ± 0.5,0.177 ± 0.023,90.8 ± 0.4,80.5 ± 0.4,0.209 ± 0.046,91.0 ± 0.4,80.6 ± 0.5,0.182 ± 0.028,91.0 ± 0.6,80.6 ± 0.6,0.196 ± 0.041
WESAD,Local,97.5 ± 0.9,92.1 ± 3.4,0.004 ± 0.002,94.5 ± 1.2,86.6 ± 3.7,0.101 ± 0.017,94.3 ± 1.1,86.2 ± 3.5,0.110 ± 0.027,94.5 ± 1.2,86.6 ± 3.7,0.101 ± 0.017,94.5 ± 1.2,86.6 ± 3.7,0.101 ± 0.017
WESAD,OppAVG,97.3 ± 0.7,91.7 ± 2.9,0.003 ± 0.002,93.2 ± 0.8,84.8 ± 1.7,0.087 ± 0.010,93.3 ± 0.9,84.6 ± 1.8,0.097 ± 0.025,93.0 ± 1.0,84.5 ± 1.6,0.087 ± 0.010,93.6 ± 1.3,85.5 ± 3.0,0.091 ± 0.011
WESAD,OppFL,83.9 ± 4.4,69.3 ± 2.0,0.294 ± 0.169,86.4 ± 3.5,74.6 ± 4.7,0.207 ± 0.036,82.7 ± 3.2,65.6 ± 5.2,0.455 ± 0.095,87.1 ± 3.3,75.5 ± 5.4,0.254 ± 0.043,82.7 ± 2.5,65.6 ± 5.4,0.453 ± 0.126
WESAD,OPTIMIST,85.7 ± 3.4,76.6 ± 4.1,0.164 ± 0.158,87.5 ± 2.9,77.2 ± 4.3,0.199 ± 0.033,86.1 ± 3.1,75.6 ± 3.4,0.338 ± 0.054,87.7 ± 3.2,76.9 ± 3.7,0.185 ± 0.029,86.0 ± 3.4,74.6 ± 3.9,0.289 ± 0.088
WESAD,PULSE,96.8 ± 1.2,91.1 ± 3.9,0.007 ± 0.003,94.8 ± 2.0,88.3 ± 3.7,0.038 ± 0.032,94.6 ± 1.0,87.2 ± 3.5,0.062 ± 0.029,95.1 ± 1.2,88.5 ± 3.8,0.041 ± 0.020,94.9 ± 1.5,87.7 ± 5.9,0.052 ± 0.014
