seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.12376933544874191,0.06743271433945487
7,0,b,test,0.21832358837127686,0.08933864851151313
7,0,c,test,0.21789321303367615,0.13783978267355482
7,0,d,test,0.14505957067012787,0.07322672617046626
7,0,e,test,0.19620667397975922,0.07586537775261931
7,0,f,test,0.19284148514270782,0.07944344731934942
7,0,g,test,0.15214477479457855,0.0896970262718692
7,0,h,test,0.14456140995025635,0.08590979275472622
7,0,i,test,0.15134099125862122,0.0926768154023423
7,900,a,test,0.1596343219280243,0.08654521821635279
7,900,b,test,0.20922677218914032,0.07220768614165368
7,900,c,test,0.2215007245540619,0.0957139158976299
7,900,d,test,0.1772950291633606,0.09316569075957025
7,900,e,test,0.2714192271232605,0.1623410722968699
7,900,f,test,0.20452885329723358,0.10276219235215678
7,900,g,test,0.26474529504776,0.17604468898692804
7,900,h,test,0.29894736409187317,0.15797009150673488
7,900,i,test,0.262452095746994,0.15037194800154066
7,1800,a,test,0.29254570603370667,0.16791737371638416
7,1800,b,test,0.2248213142156601,0.08900032055685304
7,1800,c,test,0.32828283309936523,0.15943084693084694
7,1800,d,test,0.2536790370941162,0.14479838582855506
7,1800,e,test,0.3780248463153839,0.24683419861632527
7,1800,f,test,0.26150473952293396,0.16483411240534904
7,1800,g,test,0.35991957783699036,0.20948614239879856
7,1800,h,test,0.3073684275150299,0.19427948153699515
7,1800,i,test,0.2234993577003479,0.11685165609584214
7,2700,a,test,0.3431786298751831,0.23056128749544827
7,2700,b,test,0.3138401508331299,0.1491411883902497
7,2700,c,test,0.3391053378582001,0.1780046424615067
7,2700,d,test,0.3041345477104187,0.19617844971910506
7,2700,e,test,0.4107259511947632,0.26995232330907465
7,2700,f,test,0.2856099307537079,0.19744366899577556
7,2700,g,test,0.3418230414390564,0.17247538344084223
7,2700,h,test,0.3199999928474426,0.1823653181139996
7,2700,i,test,0.21136653423309326,0.10227640735749997
7,3600,a,test,0.38255977630615234,0.30309477107948674
7,3600,b,test,0.3385315239429474,0.17264921175922296
7,3600,c,test,0.3405483365058899,0.17187924885822156
7,3600,d,test,0.41065171360969543,0.26899189673789214
7,3600,e,test,0.32374101877212524,0.19209787153353033
7,3600,f,test,0.3462381362915039,0.28808467364880536
7,3600,g,test,0.3545576333999634,0.18320545749094597
7,3600,h,test,0.3256140351295471,0.17492475391798767
7,3600,i,test,0.2598978281021118,0.1562397303624113
7,4500,a,test,0.38537272810935974,0.28091386684440756
7,4500,b,test,0.3710201382637024,0.21207485618860733
7,4500,c,test,0.3326118290424347,0.18074100539986915
7,4500,d,test,0.4134548008441925,0.26646253366202427
7,4500,e,test,0.3826030194759369,0.24614025066062217
7,4500,f,test,0.40175309777259827,0.36869777058604924
7,4500,g,test,0.35053619742393494,0.17215005877362047
7,4500,h,test,0.3291228115558624,0.16414476672961803
7,4500,i,test,0.2905491590499878,0.17990862183983033
7,5400,a,test,0.4127988815307617,0.29816709681417114
7,5400,b,test,0.41325536370277405,0.25475755191520605
7,5400,c,test,0.33621934056282043,0.21233583060063077
7,5400,d,test,0.38402241468429565,0.2315508049619391
7,5400,e,test,0.4316546618938446,0.28287303175578854
7,5400,f,test,0.42293643951416016,0.3848030427978369
7,5400,g,test,0.3518766760826111,0.17237508745223762
7,5400,h,test,0.33052632212638855,0.16886655581553553
7,5400,i,test,0.3256705105304718,0.2250238161133763
7,6300,a,test,0.39943739771842957,0.3267264701312149
7,6300,b,test,0.41065627336502075,0.2632186197582245
7,6300,c,test,0.3730158805847168,0.2756397645790281
7,6300,d,test,0.3658023774623871,0.21931501076162552
7,6300,e,test,0.4741661250591278,0.33343096851185616
7,6300,f,test,0.4397370219230652,0.3663077877172249
7,6300,g,test,0.34785524010658264,0.1693936187067926
7,6300,h,test,0.35649123787879944,0.21079105066959994
7,6300,i,test,0.31226053833961487,0.20365432668967717
7,7200,a,test,0.37763711810112,0.24963503968947134
7,7200,b,test,0.42430150508880615,0.2711939988696464
7,7200,c,test,0.3867243826389313,0.29744480779968047
7,7200,d,test,0.3693062365055084,0.23827897508822068
7,7200,e,test,0.4663178622722626,0.2991648827325988
7,7200,f,test,0.35719501972198486,0.30287699573607246
7,7200,g,test,0.3518766760826111,0.17337285433517002
7,7200,h,test,0.3614034950733185,0.21925127124013713
7,7200,i,test,0.3550446927547455,0.24858502609311314
7,8100,a,test,0.39381152391433716,0.29668326472605666
7,8100,b,test,0.42430150508880615,0.27904582799217575
7,8100,c,test,0.37590187788009644,0.26067601658970824
7,8100,d,test,0.3854239583015442,0.2715505209279652
7,8100,e,test,0.46893393993377686,0.328593064313822
7,8100,f,test,0.3681519329547882,0.30250239465723794
7,8100,g,test,0.3491957187652588,0.17254484645788992
7,8100,h,test,0.36000001430511475,0.21608323782532732
7,8100,i,test,0.35887610912323,0.23770669446842937
7,9000,a,test,0.400140643119812,0.30235881063609554
7,9000,b,test,0.4411955773830414,0.28505663106526263
7,9000,c,test,0.36868685483932495,0.24474575478380092
7,9000,d,test,0.37561318278312683,0.24738382017091964
7,9000,e,test,0.4617396891117096,0.31558209851999264
7,9000,f,test,0.4499634802341461,0.35212138376000285
7,9000,g,test,0.3485254645347595,0.17851021425970656
7,9000,h,test,0.3628070056438446,0.22788919145588868
7,9000,i,test,0.39080458879470825,0.2628400777582113
7,9900,a,test,0.39943739771842957,0.30776677626288595
7,9900,b,test,0.4522417187690735,0.28985705150564006
7,9900,c,test,0.3665223717689514,0.25028329674908384
7,9900,d,test,0.3742116391658783,0.2267846687280762
7,9900,e,test,0.4545454680919647,0.3023227729737264
7,9900,f,test,0.44485026597976685,0.3389503910322853
7,9900,g,test,0.3485254645347595,0.1746354485887531
7,9900,h,test,0.3761403560638428,0.2508426904856613
7,9900,i,test,0.4431672990322113,0.3402585691781743
7,10800,a,test,0.4205344617366791,0.2953193342546515
7,10800,b,test,0.43209877610206604,0.2739899898122107
7,10800,c,test,0.350649356842041,0.21571260505810796
7,10800,d,test,0.37561318278312683,0.2404923303899685
7,10800,e,test,0.46500980854034424,0.3021761302295936
7,10800,f,test,0.44558072090148926,0.36294412574354484
