seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.12376933544874191,0.06743271433945487
7,0,b,test,0.21832358837127686,0.08933864851151313
7,0,c,test,0.21789321303367615,0.13783978267355482
7,0,d,test,0.14505957067012787,0.07322672617046626
7,0,e,test,0.19620667397975922,0.07586537775261931
7,0,f,test,0.19284148514270782,0.07944344731934942
7,0,g,test,0.15214477479457855,0.0896970262718692
7,0,h,test,0.14456140995025635,0.08590979275472622
7,0,i,test,0.15134099125862122,0.0926768154023423
7,900,a,test,0.18213783204555511,0.09941845560694164
7,900,b,test,0.2495126724243164,0.12489178457863993
7,900,c,test,0.27272728085517883,0.17020950498095988
7,900,d,test,0.15907497704029083,0.09318988987054959
7,900,e,test,0.26357096433639526,0.1617091965593389
7,900,f,test,0.21183346211910248,0.11571498271946266
7,900,g,test,0.2278820425271988,0.15038057857501383
7,900,h,test,0.31228071451187134,0.18857307097981837
7,900,i,test,0.21392081677913666,0.1342212876405289
7,1800,a,test,0.2890295386314392,0.16616693702595423
7,1800,b,test,0.35412606596946716,0.22545203779694864
7,1800,c,test,0.32106781005859375,0.1984953626127852
7,1800,d,test,0.30273300409317017,0.19152350715939157
7,1800,e,test,0.341399610042572,0.21501527428786052
7,1800,f,test,0.31190648674964905,0.20312002914823554
7,1800,g,test,0.3391420841217041,0.21145166391075035
7,1800,h,test,0.33614036440849304,0.21540515560490878
7,1800,i,test,0.2879948914051056,0.1799717903809429
7,2700,a,test,0.31293952465057373,0.18571750615752056
7,2700,b,test,0.3827160596847534,0.24991029480917068
7,2700,c,test,0.3470418453216553,0.21683540950635202
7,2700,d,test,0.3812193274497986,0.2497342852406352
7,2700,e,test,0.3930673599243164,0.2496764221819541
7,2700,f,test,0.34039443731307983,0.22256913996179548
7,2700,g,test,0.3243967890739441,0.17486502181081623
7,2700,h,test,0.36350876092910767,0.22392807512054058
7,2700,i,test,0.2956577241420746,0.18343942611284017
7,3600,a,test,0.324894517660141,0.1948769499528513
7,3600,b,test,0.4093567132949829,0.26578645628505715
7,3600,c,test,0.3636363744735718,0.22466260244290115
7,3600,d,test,0.37911704182624817,0.2493207539113473
7,3600,e,test,0.4211903214454651,0.26641683289773327
7,3600,f,test,0.3666910231113434,0.2405363002532607
7,3600,g,test,0.36260053515434265,0.2233728784331557
7,3600,h,test,0.3775438666343689,0.24718819681544826
7,3600,i,test,0.35057470202445984,0.22457856676965116
7,4500,a,test,0.3544303774833679,0.22601145019781557
7,4500,b,test,0.41650423407554626,0.27313946475879963
7,4500,c,test,0.3636363744735718,0.23103295914138985
7,4500,d,test,0.3938332200050354,0.25724323591693704
7,4500,e,test,0.4421190321445465,0.2811681845132668
7,4500,f,test,0.3455076813697815,0.225424185125399
7,4500,g,test,0.3538874089717865,0.19512278323238066
7,4500,h,test,0.40631580352783203,0.26901179888784776
7,4500,i,test,0.35185185074806213,0.22771743078577647
7,5400,a,test,0.38396623730659485,0.2394948363489234
7,5400,b,test,0.4126055836677551,0.27509778357235987
7,5400,c,test,0.3650793731212616,0.2300360166058992
7,5400,d,test,0.39663630723953247,0.2559407423417159
7,5400,e,test,0.4146501123905182,0.25266687612937555
7,5400,f,test,0.3666910231113434,0.24320424052806733
7,5400,g,test,0.35991957783699036,0.204849199702665
7,5400,h,test,0.3887719213962555,0.26084765839222684
7,5400,i,test,0.40740740299224854,0.26620228524328043
7,6300,a,test,0.38396623730659485,0.23430600807148746
7,6300,b,test,0.4178037643432617,0.27787790414547275
7,6300,c,test,0.3737373650074005,0.25503072421426265
7,6300,d,test,0.39032936096191406,0.22353691672306553
7,6300,e,test,0.401569664478302,0.23986954372543481
7,6300,f,test,0.4061358571052551,0.269910258407911
7,6300,g,test,0.3713136613368988,0.22647477331767063
7,6300,h,test,0.40421053767204285,0.2822795650532333
7,6300,i,test,0.4201788008213043,0.27941499088788885
7,7200,a,test,0.3804500699043274,0.22062025845418606
7,7200,b,test,0.4009096920490265,0.2703298992305834
7,7200,c,test,0.36147186160087585,0.22411900793935027
7,7200,d,test,0.40995094180107117,0.28104157797644386
7,7200,e,test,0.4401569664478302,0.2784224077074247
7,7200,f,test,0.41709277033805847,0.30735358805228535
7,7200,g,test,0.3619302809238434,0.205725101408852
7,7200,h,test,0.4091227948665619,0.27956070688963985
7,7200,i,test,0.4195402264595032,0.27620110161953415
7,8100,a,test,0.39662447571754456,0.24716990646194184
7,8100,b,test,0.38336580991744995,0.2587521893009898
7,8100,c,test,0.36219337582588196,0.22570943484101247
7,8100,d,test,0.42747020721435547,0.2820445454007673
7,8100,e,test,0.40026161074638367,0.2420741524187087
7,8100,f,test,0.4097881615161896,0.2774787114408282
7,8100,g,test,0.35790884494781494,0.1935970434501768
7,8100,h,test,0.40561404824256897,0.2758045015679735
7,8100,i,test,0.42592594027519226,0.2914038739218883
7,9000,a,test,0.4043600559234619,0.2562901696258208
7,9000,b,test,0.39961013197898865,0.2711874623267028
7,9000,c,test,0.38528138399124146,0.2565369128632908
7,9000,d,test,0.4246671199798584,0.2782977351706775
7,9000,e,test,0.4041857421398163,0.24459347339600832
7,9000,f,test,0.40029218792915344,0.27002070403735284
7,9000,g,test,0.36528149247169495,0.21167352465660208
7,9000,h,test,0.3908771872520447,0.2640284037320963
7,9000,i,test,0.4329501986503601,0.29195470758645875
7,9900,a,test,0.40928271412849426,0.2603534994828252
7,9900,b,test,0.41845354437828064,0.2817941163725428
7,9900,c,test,0.3795093894004822,0.2488728683148194
7,9900,d,test,0.38612473011016846,0.21103891350926926
7,9900,e,test,0.40287768840789795,0.24291708315093116
7,9900,f,test,0.4127100110054016,0.2788473521715656
7,9900,g,test,0.3565683662891388,0.19456535180679632
7,9900,h,test,0.41684210300445557,0.28273365777031617
7,9900,i,test,0.38697317242622375,0.23094115255355166
7,10800,a,test,0.42264416813850403,0.2750248863532491
7,10800,b,test,0.4366471767425537,0.29018380949911904
7,10800,c,test,0.3795093894004822,0.250448426786263
7,10800,d,test,0.38402241468429565,0.20942212018875916
7,10800,e,test,0.4296925961971283,0.26865650168655264
7,10800,f,test,0.413440465927124,0.2743431489775164
