seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,a,1.8597581386566162,2,2,
7,0,b,1.821827471256256,2,2,
7,0,c,1.7688507437705994,2,2,
7,0,d,1.7856345176696777,2,2,
7,0,e,1.796581506729126,2,2,
7,0,f,1.8339264392852783,2,2,
7,0,g,1.7721988558769226,2,2,
7,0,h,1.8500813245773315,2,2,
7,0,i,1.8098152875900269,2,2,
7,300,a,1.7955484986305237,2,4,
7,300,b,1.763668417930603,2,4,
7,300,c,1.7781866192817688,2,4,
7,300,d,1.817520022392273,2,4,
7,300,e,1.7751379013061523,2,4,
7,300,f,1.7815245389938354,2,4,
7,300,g,1.8170142769813538,2,4,
7,300,h,1.773486316204071,2,4,
7,300,i,1.7711607217788696,2,4,
7,600,a,1.8219777345657349,2,6,
7,600,b,1.7699955105781555,2,6,
7,600,c,1.8036121129989624,2,6,
7,600,d,1.805610477924347,2,6,
7,600,e,1.7259230613708496,2,6,
7,600,f,1.7615541219711304,2,6,
7,600,g,1.793674886226654,2,6,
7,600,h,1.7647975087165833,2,6,
7,600,i,1.8241486549377441,2,6,
7,900,a,1.7989469766616821,2,8,
7,900,b,1.7607232928276062,2,8,
7,900,c,1.7952919006347656,2,8,
7,900,d,1.7909901142120361,2,8,
7,900,e,1.7536643743515015,2,8,
7,900,f,1.7473971247673035,2,8,
7,900,g,1.7750080823898315,2,8,
7,900,h,1.7478355169296265,2,8,
7,900,i,1.7841582894325256,2,8,
7,1200,a,1.7886019349098206,2,10,
7,1200,b,1.7807093858718872,2,10,
7,1200,c,1.76027512550354,2,10,
7,1200,d,1.7461236715316772,2,10,
7,1200,e,1.7674622535705566,2,10,
7,1200,f,1.777255356311798,2,10,
7,1200,g,1.78630530834198,2,10,
7,1200,h,1.7213925123214722,2,10,
7,1200,i,1.745793342590332,2,10,
7,1500,a,1.7369362115859985,2,12,
7,1500,b,1.765867829322815,2,12,
7,1500,c,1.812467098236084,2,12,
7,1500,d,1.8192294239997864,2,12,
7,1500,e,1.784186840057373,2,12,
7,1500,f,1.8294636011123657,2,12,
7,1500,g,1.7645468711853027,2,12,
7,1500,h,1.7366567254066467,2,12,
7,1500,i,1.7484636306762695,2,12,
7,1800,a,1.7527234554290771,2,14,
7,1800,b,1.7422744035720825,2,14,
7,1800,c,1.6731895208358765,2,14,
7,1800,d,1.7846704125404358,2,14,
7,1800,e,1.737245798110962,2,14,
7,1800,f,1.7859922647476196,2,14,
7,1800,g,1.7656280398368835,2,14,
7,1800,h,1.791503369808197,2,14,
7,1800,i,1.7513495087623596,2,14,
7,2100,a,1.7358824610710144,2,16,
7,2100,b,1.81728595495224,2,16,
7,2100,c,1.809746265411377,2,16,
7,2100,d,1.7283454537391663,2,16,
7,2100,e,1.767348051071167,2,16,
7,2100,f,1.7550395727157593,2,16,
7,2100,g,1.7613653540611267,2,16,
7,2100,h,1.7485185861587524,2,16,
7,2100,i,1.7497825622558594,2,16,
7,2400,a,1.766165018081665,2,18,
7,2400,b,1.800680160522461,2,18,
7,2400,c,1.7714143991470337,2,18,
7,2400,d,1.6954541206359863,2,18,
7,2400,e,1.7684924602508545,2,18,
7,2400,f,1.80573570728302,2,18,
7,2400,g,1.7623712420463562,2,18,
7,2400,h,1.7655327916145325,2,18,
7,2400,i,1.7409929037094116,2,18,
7,2700,a,1.7638449668884277,2,20,
7,2700,b,1.7696531414985657,2,20,
7,2700,c,1.7561019659042358,2,20,
7,2700,d,1.7581797242164612,2,20,
7,2700,e,1.7091441750526428,2,20,
7,2700,f,1.7325376868247986,2,20,
7,2700,g,1.7671757936477661,2,20,
7,2700,h,1.7703124284744263,2,20,
7,2700,i,1.7482946515083313,2,20,
7,3000,a,1.8089494109153748,2,22,
7,3000,b,1.7791592478752136,2,22,
7,3000,c,1.7319475412368774,2,22,
7,3000,d,1.7747611999511719,2,22,
7,3000,e,1.7112969756126404,2,22,
7,3000,f,1.772854745388031,2,22,
7,3000,g,1.7797958254814148,2,22,
7,3000,h,1.7977617979049683,2,22,
7,3000,i,1.7800113558769226,2,22,
7,3300,a,1.7886202335357666,2,24,
7,3300,b,1.7770220637321472,2,24,
7,3300,c,1.7536649703979492,2,24,
7,3300,d,1.7588039636611938,2,24,
7,3300,e,1.7401301860809326,2,24,
7,3300,f,1.7120426893234253,2,24,
7,3300,g,1.7548909783363342,2,24,
7,3300,h,1.7194634675979614,2,24,
7,3300,i,1.7556499242782593,2,24,
7,3600,a,1.7457898259162903,2,26,
7,3600,b,1.7513525485992432,2,26,
7,3600,c,1.760934591293335,2,26,
7,3600,d,1.7291823029518127,2,26,
7,3600,e,1.7371544241905212,2,26,
7,3600,f,1.7504901885986328,2,26,
7,3600,g,1.7449591159820557,2,26,
7,3600,h,1.7835572361946106,2,26,
7,3600,i,1.771652638912201,2,26,
7,3900,a,1.7196117639541626,2,28,
7,3900,b,1.7889865636825562,2,28,
7,3900,c,1.8074042201042175,2,28,
7,3900,d,1.7005775570869446,2,28,
7,3900,e,1.741699755191803,2,28,
7,3900,f,1.7331343293190002,2,28,
7,3900,g,1.68253493309021,2,28,
7,3900,h,1.7416539788246155,2,28,
7,3900,i,1.7591854333877563,2,28,
7,4200,a,1.689997911453247,2,30,
7,4200,b,1.7638994455337524,2,30,
7,4200,c,1.7810046672821045,2,30,
7,4200,d,1.7381314635276794,2,30,
7,4200,e,1.7007437348365784,2,30,
7,4200,f,1.7628847360610962,2,30,
7,4200,g,1.7583221197128296,2,30,
7,4200,h,1.7283554077148438,2,30,
7,4200,i,1.715925693511963,2,30,
7,4500,a,1.7039790153503418,2,32,
7,4500,b,1.7397302389144897,2,32,
7,4500,c,1.7417142987251282,2,32,
7,4500,d,1.734798789024353,2,32,
7,4500,e,1.7404251098632812,2,32,
7,4500,f,1.7518515586853027,2,32,
7,4500,g,1.7121076583862305,2,32,
7,4500,h,1.7156434655189514,2,32,
7,4500,i,1.753507912158966,2,32,
7,4800,a,1.7415090799331665,2,34,
7,4800,b,1.7501448392868042,2,34,
7,4800,c,1.7096661925315857,2,34,
7,4800,d,1.7314584851264954,2,34,
7,4800,e,1.727723479270935,2,34,
7,4800,f,1.6967546343803406,2,34,
7,4800,g,1.7638788223266602,2,34,
7,4800,h,1.7707452774047852,2,34,
7,4800,i,1.67751944065094,2,34,
7,5100,a,1.7318292260169983,2,36,
7,5100,b,1.7284477949142456,2,36,
7,5100,c,1.7890613675117493,2,36,
7,5100,d,1.693843126296997,2,36,
7,5100,e,1.7310258746147156,2,36,
7,5100,f,1.677800476551056,2,36,
7,5100,g,1.7439565658569336,2,36,
7,5100,h,1.7114441394805908,2,36,
