seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.12236286699771881,0.06546472516054265
7,0,b,test,0.23131904006004333,0.1084364473240431
7,0,c,test,0.1515151560306549,0.08735319517221708
7,0,d,test,0.13735108077526093,0.07047950605358443
7,0,e,test,0.19162851572036743,0.07923730313310336
7,0,f,test,0.19649378955364227,0.08634834458751312
7,0,g,test,0.1508042961359024,0.07490302946772816
7,0,h,test,0.12842105329036713,0.05762356903949428
7,0,i,test,0.14367815852165222,0.05991243820180703
7,900,a,test,0.3846694827079773,0.22529093843428769
7,900,b,test,0.4126055836677551,0.2946217865048763
7,900,c,test,0.38311687111854553,0.2615528642469395
7,900,d,test,0.3658023774623871,0.22347049036626518
7,900,e,test,0.39241334795951843,0.23987283536633652
7,900,f,test,0.37034332752227783,0.26833061175569967
7,900,g,test,0.35053619742393494,0.17637841386512187
7,900,h,test,0.40210527181625366,0.2629345455861333
7,900,i,test,0.42848020792007446,0.28758681221381255
7,1800,a,test,0.4191280007362366,0.27740625223346416
7,1800,b,test,0.37816762924194336,0.25467239576273143
7,1800,c,test,0.40187591314315796,0.28850711855358907
7,1800,d,test,0.36860546469688416,0.18545255277172967
7,1800,e,test,0.40091562271118164,0.23984082008521024
7,1800,f,test,0.338933527469635,0.25865441070316625
7,1800,g,test,0.3585790991783142,0.1966537439348499
7,1800,h,test,0.37263157963752747,0.24309731343910487
7,1800,i,test,0.4393358826637268,0.3054750757509168
7,2700,a,test,0.44092828035354614,0.3230233639551299
7,2700,b,test,0.420402854681015,0.29755605701131077
7,2700,c,test,0.40187591314315796,0.28180277406243365
7,2700,d,test,0.3693062365055084,0.1851041342128148
7,2700,e,test,0.46697187423706055,0.35068390490853313
7,2700,f,test,0.32067203521728516,0.21955924613767963
7,2700,g,test,0.3941018879413605,0.26520354636606597
7,2700,h,test,0.4912280738353729,0.39466143202117526
7,2700,i,test,0.4393358826637268,0.3296180868275201
7,3600,a,test,0.502812922000885,0.41753236153674717
7,3600,b,test,0.43729695677757263,0.29278094714339903
7,3600,c,test,0.38528138399124146,0.30500562736664033
7,3600,d,test,0.3938332200050354,0.2651419517730044
7,3600,e,test,0.4166121780872345,0.2880026491796083
7,3600,f,test,0.35062089562416077,0.24478169822982357
7,3600,g,test,0.41420912742614746,0.31187001358526734
7,3600,h,test,0.4308771789073944,0.37172273730096356
7,3600,i,test,0.4719029366970062,0.36121924080680645
