seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,480,h,1.8101779341697692,10,10,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,480,g,1.7905495592526026,14,14,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,480,d,1.7826391384005547,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,c,1.7742556163242884,14,14,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,480,a,1.768522247672081,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,e,1.7716664969921112,12,12,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,480,i,1.7583304728780473,14,14,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,480,f,1.7718783446720667,14,14,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,480,b,1.7911141991615296,10,10,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,h,1.7726507902145385,10,20,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,g,1.7360458612442016,10,24,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,d,1.7270093049321855,14,30,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,600,a,1.742577040195465,10,26,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,e,1.7096631427605946,12,24,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,600,f,1.767619291941325,6,20,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,600,b,1.7591262062390645,12,22,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,600,i,1.7528893947601318,10,24,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,c,1.7658412456512451,8,22,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,720,h,1.7421724200248718,10,30,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,b,1.7450094123681386,12,34,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,d,1.6862520660672868,14,44,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,720,i,1.7284417649110158,12,36,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,a,1.6631177544593811,10,36,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,e,1.682598054409027,10,34,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,g,1.7118729114532472,10,34,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,c,1.7476917624473571,10,32,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,f,1.739964336156845,4,24,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,840,h,1.7073295911153157,12,42,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,g,1.6602335969607036,12,46,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,d,1.6468118627866108,12,56,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,i,1.6625460812023707,14,50,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,840,c,1.754432567528316,14,46,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,840,a,1.6853970459529333,14,50,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,840,e,1.6570802245821272,14,48,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,840,b,1.7478725910186768,12,46,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,f,1.7257718741893768,8,32,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,960,h,1.7196443319320678,10,52,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,960,g,1.682136595249176,14,60,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,960,b,1.7417427182197571,10,56,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,960,c,1.7258218271391732,14,60,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,960,e,1.6469941586256027,8,56,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,960,f,1.7245081166426341,12,44,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,960,d,1.5926984995603561,8,64,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,960,i,1.6838081181049347,8,58,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,960,a,1.6347861289978027,4,54,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1080,h,1.6630683898925782,10,62,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,1080,g,1.614032079776128,12,72,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1080,b,1.708649504184723,10,66,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,1080,i,1.6497220198313396,12,70,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1080,e,1.642155388991038,12,68,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1080,f,1.6866972872189112,14,58,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,1080,d,1.621932566165924,8,72,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,1080,a,1.6376007497310638,12,66,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1080,c,1.693728768825531,10,70,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,1200,h,1.6336450576782227,10,72,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,1200,b,1.6797088185946147,12,78,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1200,d,1.577444851398468,8,80,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,1200,a,1.5920243859291077,10,76,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,1200,e,1.6096645951271058,10,78,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,1200,f,1.6659672737121582,10,68,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,1200,g,1.6508087515830994,8,80,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,1200,i,1.6203577121098836,12,82,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1200,c,1.6924622058868408,12,82,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1320,h,1.6024723947048187,12,84,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1320,b,1.7024999558925629,12,90,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,1320,d,1.583618438243866,10,90,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
