seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.12236286699771881,0.06546472516054265
7,0,b,test,0.23131904006004333,0.1084364473240431
7,0,c,test,0.1515151560306549,0.08735319517221708
7,0,d,test,0.13735108077526093,0.07047950605358443
7,0,e,test,0.19162851572036743,0.07923730313310336
7,0,f,test,0.19649378955364227,0.08634834458751312
7,0,g,test,0.1508042961359024,0.07490302946772816
7,0,h,test,0.12842105329036713,0.05762356903949428
7,0,i,test,0.14367815852165222,0.05991243820180703
7,900,a,test,0.1624472588300705,0.08769069061563707
7,900,b,test,0.20142950117588043,0.10811714831306522
7,900,c,test,0.1515151560306549,0.08735319517221708
7,900,d,test,0.13735108077526093,0.07047950605358443
7,900,e,test,0.19162851572036743,0.07923730313310336
7,900,f,test,0.19649378955364227,0.08634834458751312
7,900,g,test,0.1508042961359024,0.07490302946772816
7,900,h,test,0.12842105329036713,0.05762356903949428
7,900,i,test,0.14367815852165222,0.05991243820180703
7,1800,a,test,0.3115330636501312,0.24603470810881398
7,1800,b,test,0.2527615427970886,0.17240586239183833
7,1800,c,test,0.22727273404598236,0.12657915835654746
7,1800,d,test,0.13735108077526093,0.07047950605358443
7,1800,e,test,0.19162851572036743,0.07923730313310336
7,1800,f,test,0.19649378955364227,0.08634834458751312
7,1800,g,test,0.1508042961359024,0.07490302946772816
7,1800,h,test,0.12842105329036713,0.05762356903949428
7,1800,i,test,0.14367815852165222,0.05991243820180703
7,2700,a,test,0.347398042678833,0.2916022009239842
7,2700,b,test,0.25860947370529175,0.16671942071646684
7,2700,c,test,0.2784992754459381,0.19202418138471092
7,2700,d,test,0.13735108077526093,0.07047950605358443
7,2700,e,test,0.21844342350959778,0.10121814177532129
7,2700,f,test,0.19649378955364227,0.08634834458751312
7,2700,g,test,0.1508042961359024,0.07490302946772816
7,2700,h,test,0.12842105329036713,0.05762356903949428
7,2700,i,test,0.14367815852165222,0.05991243820180703
7,3600,a,test,0.3544303774833679,0.30113277937304006
7,3600,b,test,0.27745288610458374,0.214509778528724
7,3600,c,test,0.28066378831863403,0.2032913257660196
7,3600,d,test,0.13735108077526093,0.07047950605358443
7,3600,e,test,0.21844342350959778,0.10121814177532129
7,3600,f,test,0.19649378955364227,0.08634834458751312
7,3600,g,test,0.1508042961359024,0.07490302946772816
7,3600,h,test,0.12842105329036713,0.05762356903949428
7,3600,i,test,0.14367815852165222,0.05991243820180703
