seed,time,requester_id,peer_id,details
7,480,h,e,"{""agreement"": 0.25187745690345764, ""completed"": true}"
7,480,g,h,"{""agreement"": 0.5170833468437195, ""completed"": true}"
7,480,d,c,"{""agreement"": 0.48767417669296265, ""completed"": true}"
7,480,c,a,"{""agreement"": -0.04416080191731453, ""completed"": true}"
7,480,a,i,"{""agreement"": 0.20823934674263, ""completed"": true}"
7,480,e,d,"{""agreement"": -0.07223115116357803, ""completed"": true}"
7,480,i,b,"{""agreement"": 0.35849282145500183, ""completed"": true}"
7,480,f,g,"{""agreement"": 0.7291964888572693, ""completed"": true}"
7,480,b,c,"{""agreement"": -0.031173793599009514, ""completed"": true}"
7,600,h,d,"{""agreement"": -0.12070974707603455, ""completed"": true}"
7,600,g,h,"{""agreement"": 0.5734533667564392, ""completed"": true}"
7,600,d,c,"{""agreement"": 0.2137034684419632, ""completed"": true}"
7,600,a,c,"{""agreement"": 0.07037997990846634, ""completed"": true}"
7,600,e,h,"{""agreement"": -0.38030439615249634, ""completed"": true}"
7,600,f,h,"{""agreement"": 0.13232475519180298, ""completed"": true}"
7,600,b,g,"{""agreement"": -0.32565176486968994, ""completed"": true}"
7,600,i,a,"{""agreement"": 0.0619422122836113, ""completed"": true}"
7,600,c,d,"{""agreement"": 0.4855380654335022, ""completed"": true}"
7,720,h,i,"{""agreement"": 0.11408217251300812, ""completed"": true}"
7,720,b,i,"{""agreement"": 0.5009525418281555, ""completed"": true}"
7,720,d,b,"{""agreement"": -0.17039045691490173, ""completed"": true}"
7,720,i,d,"{""agreement"": 0.4667827785015106, ""completed"": true}"
7,720,a,g,"{""agreement"": 0.44988906383514404, ""completed"": true}"
7,720,e,a,"{""agreement"": -0.09722182899713516, ""completed"": true}"
7,720,g,b,"{""agreement"": 0.3389478027820587, ""completed"": true}"
7,720,c,d,"{""agreement"": -0.020178791135549545, ""completed"": true}"
7,720,f,c,"{""agreement"": -8.03718558017863e-06, ""completed"": true}"
7,840,h,c,"{""agreement"": 0.35387489199638367, ""completed"": true}"
7,840,g,h,"{""agreement"": 0.36084192991256714, ""completed"": true}"
7,840,d,h,"{""agreement"": 0.21948392689228058, ""completed"": true}"
7,840,i,d,"{""agreement"": 0.3126668930053711, ""completed"": true}"
7,840,c,g,"{""agreement"": 0.17073607444763184, ""completed"": true}"
7,840,a,b,"{""agreement"": 0.39751413464546204, ""completed"": true}"
7,840,e,b,"{""agreement"": -0.08197386562824249, ""completed"": true}"
7,840,b,i,"{""agreement"": 0.5507127642631531, ""completed"": true}"
7,840,f,b,"{""agreement"": 0.5006843209266663, ""completed"": true}"
7,960,h,g,"{""agreement"": 0.43023619055747986, ""completed"": true}"
7,960,g,h,"{""agreement"": 0.4035365581512451, ""completed"": true}"
7,960,b,d,"{""agreement"": -0.20327356457710266, ""completed"": true}"
7,960,c,f,"{""agreement"": 0.3145769536495209, ""completed"": true}"
7,960,e,c,"{""agreement"": -0.26928746700286865, ""completed"": true}"
7,960,f,g,"{""agreement"": -0.23845262825489044, ""completed"": true}"
7,960,d,g,"{""agreement"": -0.16317278146743774, ""completed"": true}"
7,960,i,f,"{""agreement"": 0.10395719856023788, ""completed"": true}"
7,960,a,g,"{""agreement"": 0.2615789771080017, ""completed"": true}"
7,1080,h,f,"{""agreement"": 0.3793915808200836, ""completed"": true}"
7,1080,g,h,"{""agreement"": 0.09574483335018158, ""completed"": true}"
7,1080,b,e,"{""agreement"": 0.29451754689216614, ""completed"": true}"
7,1080,i,h,"{""agreement"": 0.3927566111087799, ""completed"": true}"
7,1080,e,f,"{""agreement"": 0.1579434722661972, ""completed"": true}"
7,1080,f,a,"{""agreement"": 0.6138147711753845, ""completed"": true}"
7,1080,d,i,"{""agreement"": 0.6662002801895142, ""completed"": true}"
7,1080,a,f,"{""agreement"": 0.1519477665424347, ""completed"": true}"
7,1080,c,i,"{""agreement"": -0.3748833239078522, ""completed"": true}"
7,1200,h,b,"{""agreement"": 0.3599400222301483, ""completed"": true}"
7,1200,b,i,"{""agreement"": 0.38234248757362366, ""completed"": true}"
7,1200,d,i,"{""agreement"": 0.11674203723669052, ""completed"": true}"
7,1200,a,h,"{""agreement"": 0.1728607565164566, ""completed"": true}"
7,1200,e,i,"{""agreement"": 0.46042707562446594, ""completed"": true}"
7,1200,f,i,"{""agreement"": 0.4573921263217926, ""completed"": true}"
7,1200,g,f,"{""agreement"": 0.44416162371635437, ""completed"": true}"
7,1200,i,e,"{""agreement"": 0.4062049388885498, ""completed"": true}"
7,1200,c,b,"{""agreement"": 0.09678583592176437, ""completed"": true}"
7,1320,h,a,"{""agreement"": -0.0004251900245435536, ""completed"": true}"
