seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.12376933544874191,0.06743271433945487
7,0,b,test,0.21832358837127686,0.08933864851151313
7,0,c,test,0.21789321303367615,0.13783978267355482
7,0,d,test,0.14505957067012787,0.07322672617046626
7,0,e,test,0.19620667397975922,0.07586537775261931
7,0,f,test,0.19284148514270782,0.07944344731934942
7,0,g,test,0.15214477479457855,0.0896970262718692
7,0,h,test,0.14456140995025635,0.08590979275472622
7,0,i,test,0.15134099125862122,0.0926768154023423
7,900,a,test,0.26582279801368713,0.15233761304522872
7,900,b,test,0.20467835664749146,0.06242743103029016
7,900,c,test,0.2604617476463318,0.1255825651902004
7,900,d,test,0.2978276014328003,0.1939225709471717
7,900,e,test,0.33420535922050476,0.21144662052046717
7,900,f,test,0.25346967577934265,0.1545763676399842
7,900,g,test,0.3384718596935272,0.21085464420499198
7,900,h,test,0.30105262994766235,0.1863380705406146
7,900,i,test,0.22158364951610565,0.10763704380725657
7,1800,a,test,0.33825597167015076,0.2281509597886425
7,1800,b,test,0.3326835632324219,0.19633394724763353
7,1800,c,test,0.32972583174705505,0.16974592317719125
7,1800,d,test,0.3854239583015442,0.21893177942992925
7,1800,e,test,0.3394375443458557,0.21368067140268432
7,1800,f,test,0.33455076813697815,0.2758233781278492
7,1800,g,test,0.34316354990005493,0.16706243414454558
7,1800,h,test,0.3277193009853363,0.16928780421234993
7,1800,i,test,0.2943805754184723,0.15963771174831035
7,2700,a,test,0.3677918314933777,0.257269482229547
7,2700,b,test,0.40805718302726746,0.2736727041724305
7,2700,c,test,0.3737373650074005,0.2616819214912032
7,2700,d,test,0.36440083384513855,0.18260603128552025
7,2700,e,test,0.3891432285308838,0.2572990135487018
7,2700,f,test,0.3915266692638397,0.35753673750455545
7,2700,g,test,0.3518766760826111,0.17273737498456598
7,2700,h,test,0.35649123787879944,0.21415117460747193
7,2700,i,test,0.39846742153167725,0.26429468107541554
7,3600,a,test,0.42686358094215393,0.34332653122708945
7,3600,b,test,0.39701104164123535,0.2573684850813881
7,3600,c,test,0.36075034737586975,0.23954888302859192
7,3600,d,test,0.36440083384513855,0.17992198454369057
7,3600,e,test,0.3394375443458557,0.19520435838461037
7,3600,f,test,0.40029218792915344,0.3392118371675468
7,3600,g,test,0.3485254645347595,0.17232883851214906
7,3600,h,test,0.367017537355423,0.22760503199062013
7,3600,i,test,0.40357598662376404,0.25650516897565073
7,4500,a,test,0.4458509087562561,0.3620483710582119
7,4500,b,test,0.29369720816612244,0.17461486326627895
7,4500,c,test,0.3708513677120209,0.2432706410170351
7,4500,d,test,0.37491241097450256,0.18661439631560484
7,4500,e,test,0.38783517479896545,0.24507246146921666
7,4500,f,test,0.44411978125572205,0.37317229494493104
7,4500,g,test,0.34785524010658264,0.17583695463896323
7,4500,h,test,0.37473684549331665,0.2517855486587647
7,4500,i,test,0.4406130313873291,0.2987540519977269
7,5400,a,test,0.4191280007362366,0.2748221518515738
7,5400,b,test,0.3086419701576233,0.1906999170680337
7,5400,c,test,0.33838382363319397,0.17822410327724028
7,5400,d,test,0.3672039210796356,0.205355743225477
7,5400,e,test,0.48201438784599304,0.3420927272863859
7,5400,f,test,0.4207450747489929,0.33008762229200916
7,5400,g,test,0.34785524010658264,0.17672722708556424
7,5400,h,test,0.4343859553337097,0.3380898130355942
7,5400,i,test,0.4252873659133911,0.2866946353094912
7,6300,a,test,0.4233473837375641,0.28233278031030773
7,6300,b,test,0.34762832522392273,0.2265922283307185
7,6300,c,test,0.3636363744735718,0.23462455877205343
7,6300,d,test,0.37701472640037537,0.19248443317171726
7,6300,e,test,0.4780902564525604,0.33285101286309826
7,6300,f,test,0.44631117582321167,0.4062019789910572
7,6300,g,test,0.34986594319343567,0.18672134149920203
7,6300,h,test,0.40982455015182495,0.2979047528157731
7,6300,i,test,0.4163473844528198,0.274133213133854
7,7200,a,test,0.45358648896217346,0.37107120134949323
7,7200,b,test,0.3976608216762543,0.26409365033371573
7,7200,c,test,0.36724385619163513,0.23110470485016046
7,7200,d,test,0.37491241097450256,0.18577031287382628
7,7200,e,test,0.46304774284362793,0.3063897361905568
7,7200,f,test,0.45069393515586853,0.38045491958774913
7,7200,g,test,0.3491957187652588,0.17792273068361752
7,7200,h,test,0.38175439834594727,0.26831912307217753
7,7200,i,test,0.42975735664367676,0.2879349072181518
7,8100,a,test,0.4627285599708557,0.3502470560309825
7,8100,b,test,0.44314488768577576,0.28579313876231954
7,8100,c,test,0.3881673812866211,0.26084033976954957
7,8100,d,test,0.3784162700176239,0.19209555668639866
7,8100,e,test,0.45585349202156067,0.28948587151858807
7,8100,f,test,0.4346238076686859,0.36149407586367505
7,8100,g,test,0.35053619742393494,0.18897249368798566
7,8100,h,test,0.38947367668151855,0.2761350113381628
7,8100,i,test,0.43742018938064575,0.29531721049401854
7,9000,a,test,0.4528832733631134,0.33279542064632667
7,9000,b,test,0.45679011940956116,0.29408619047728773
7,9000,c,test,0.43145743012428284,0.3505621977215912
7,9000,d,test,0.37771549820899963,0.23797007787403854
7,9000,e,test,0.4807063341140747,0.3197905045751914
7,9000,f,test,0.4769904911518097,0.4151169746331456
7,9000,g,test,0.3545576333999634,0.1933483590033487
7,9000,h,test,0.4399999976158142,0.33552207751177804
7,9000,i,test,0.4572158455848694,0.32014141663231743
7,9900,a,test,0.45639944076538086,0.34369445695393064
7,9900,b,test,0.4470435380935669,0.30873661208475534
7,9900,c,test,0.4047619104385376,0.3014343692857107
7,9900,d,test,0.4176594316959381,0.2767166734772826
7,9900,e,test,0.46435579657554626,0.31318416382544295
7,9900,f,test,0.3981007933616638,0.271821533664894
7,9900,g,test,0.35723862051963806,0.19264664930299605
7,9900,h,test,0.45754384994506836,0.3634307060425673
7,9900,i,test,0.44891443848609924,0.311624893525427
7,10800,a,test,0.4943741261959076,0.3996276743163078
7,10800,b,test,0.46263808012008667,0.3338365797127971
7,10800,c,test,0.450937956571579,0.3644970157709162
7,10800,d,test,0.4050455391407013,0.264848772502679
7,10800,e,test,0.4852845072746277,0.34530043266778726
7,10800,f,test,0.46092039346694946,0.3874570405965314
