seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.13572433590888977,0.08149697344099388
7,0,b,test,0.21832358837127686,0.08933864851151313
7,0,c,test,0.1673881709575653,0.10371672783257381
7,0,d,test,0.140154168009758,0.07044930517004028
7,0,e,test,0.19489862024784088,0.09599445602335628
7,0,f,test,0.1906501054763794,0.08097072965835707
7,0,g,test,0.1930294930934906,0.11261203324302956
7,0,h,test,0.14456140995025635,0.08590979275472622
7,0,i,test,0.14431673288345337,0.0768856139673143
7,900,a,test,0.18284106254577637,0.10177811700849813
7,900,b,test,0.25341129302978516,0.12730131144848011
7,900,c,test,0.2525252401828766,0.16157493077221505
7,900,d,test,0.19341275095939636,0.11409638592519818
7,900,e,test,0.2648790180683136,0.16924965574867126
7,900,f,test,0.21110299229621887,0.11109961527027874
7,900,g,test,0.25603216886520386,0.15963859985279663
7,900,h,test,0.2449122816324234,0.15134375868165992
7,900,i,test,0.2120051085948944,0.13397423325120766
7,1800,a,test,0.3016877770423889,0.18167595793495073
7,1800,b,test,0.3281351625919342,0.2034003199399749
7,1800,c,test,0.3261183202266693,0.19768851967280135
7,1800,d,test,0.3041345477104187,0.1930154263697744
7,1800,e,test,0.30869850516319275,0.1913660085832477
7,1800,f,test,0.31117603182792664,0.2003027185299191
7,1800,g,test,0.3491957187652588,0.21696203122925586
7,1800,h,test,0.34736841917037964,0.2199196643604211
7,1800,i,test,0.27075350284576416,0.16426942986500181
7,2700,a,test,0.3122362792491913,0.1860105967674426
7,2700,b,test,0.38401558995246887,0.24992123223635007
7,2700,c,test,0.3405483365058899,0.20719348564584913
7,2700,d,test,0.36299929022789,0.23833916738435587
7,2700,e,test,0.39437541365623474,0.24932330118058124
7,2700,f,test,0.34915995597839355,0.22869862645876807
7,2700,g,test,0.3518766760826111,0.21786137265352046
7,2700,h,test,0.3642105162143707,0.22263856149030983
7,2700,i,test,0.3039591312408447,0.18959253813995072
7,3600,a,test,0.37412095069885254,0.22785055777360122
7,3600,b,test,0.3989603519439697,0.26181468252239665
7,3600,c,test,0.36147186160087585,0.22192634900819652
7,3600,d,test,0.398037850856781,0.26038961502040353
7,3600,e,test,0.43100064992904663,0.27185003006254643
7,3600,f,test,0.37107378244400024,0.24327812043010036
7,3600,g,test,0.3706434369087219,0.22761227944869603
7,3600,h,test,0.3761403560638428,0.2543355843582061
7,3600,i,test,0.3295019268989563,0.2100896279989536
7,4500,a,test,0.3628692030906677,0.23287032864005072
7,4500,b,test,0.41000649333000183,0.27018607359275776
7,4500,c,test,0.3658008575439453,0.23203041387769754
7,4500,d,test,0.4022424519062042,0.26206410702207333
7,4500,e,test,0.4381949007511139,0.27642622464741917
7,4500,f,test,0.36523008346557617,0.2429703316213907
7,4500,g,test,0.36260053515434265,0.21066150466187974
7,4500,h,test,0.38807016611099243,0.2597241420854362
7,4500,i,test,0.4042145609855652,0.26537009418024227
7,5400,a,test,0.38959211111068726,0.23564356584177615
7,5400,b,test,0.40285900235176086,0.27006810709390255
7,5400,c,test,0.3730158805847168,0.2482048904451445
7,5400,d,test,0.3889278173446655,0.2381830293130719
7,5400,e,test,0.3976455330848694,0.23247284607422317
7,5400,f,test,0.36303871870040894,0.24269364275938607
7,5400,g,test,0.3558981120586395,0.1952602849923263
7,5400,h,test,0.38947367668151855,0.26415216891984605
7,5400,i,test,0.40357598662376404,0.25702007482507155
7,6300,a,test,0.3902953565120697,0.23611688701200761
7,6300,b,test,0.3989603519439697,0.27020011940622896
7,6300,c,test,0.36219337582588196,0.22726847703377795
7,6300,d,test,0.39453399181365967,0.23584458881133516
7,6300,e,test,0.4100719392299652,0.25044385680612274
7,6300,f,test,0.3813002109527588,0.25507624851831057
7,6300,g,test,0.3592493236064911,0.20504158677125128
7,6300,h,test,0.3810526430606842,0.255404347906603
7,6300,i,test,0.4227330684661865,0.27965541447106695
7,7200,a,test,0.3888888955116272,0.22980119584184355
7,7200,b,test,0.37231969833374023,0.25042004767864223
7,7200,c,test,0.36868685483932495,0.23494547876425143
7,7200,d,test,0.404344767332077,0.26592404911647566
7,7200,e,test,0.41137999296188354,0.2504506996396356
7,7200,f,test,0.410518616437912,0.2887998723549042
7,7200,g,test,0.35991957783699036,0.20597206763411036
7,7200,h,test,0.4028070271015167,0.2813933194825977
7,7200,i,test,0.4201788008213043,0.2767256591073544
7,8100,a,test,0.3987341821193695,0.2485488419294566
7,8100,b,test,0.4171539843082428,0.27830664096648294
7,8100,c,test,0.3650793731212616,0.2304042572012608
7,8100,d,test,0.40574631094932556,0.25247629592989745
7,8100,e,test,0.38783517479896545,0.2233366334437068
7,8100,f,test,0.4097881615161896,0.2780720638725092
7,8100,g,test,0.3558981120586395,0.19320670361188222
7,8100,h,test,0.4140350818634033,0.29030670965995387
7,8100,i,test,0.43869730830192566,0.29718660787297685
7,9000,a,test,0.40365681052207947,0.2615494133131199
7,9000,b,test,0.4145548939704895,0.2791246267429153
7,9000,c,test,0.3665223717689514,0.22987384576719894
7,9000,d,test,0.3889278173446655,0.21969697268007873
7,9000,e,test,0.39241334795951843,0.23128954634990892
7,9000,f,test,0.37107378244400024,0.24763016738971477
