seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,f,1.7649900317192078,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,d,1.812699317932129,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,g,1.7608337998390198,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,i,1.7885286808013916,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,0,a,1.8005447387695312,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,c,1.7750921249389648,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,e,1.763726830482483,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,h,1.7773228585720062,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,20,f,1.7721986174583435,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,g,1.7526252269744873,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,i,1.796579658985138,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,a,1.859638273715973,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,h,1.8212777972221375,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,f,1.7837634980678558,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,d,1.7840140163898468,4,6,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,i,1.7635231018066406,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,a,1.7778698205947876,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,c,1.769558608531952,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,e,1.77888822555542,4,6,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,h,1.7843246757984161,4,12,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,f,1.7775194346904755,4,12,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,d,1.7775699496269226,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,g,1.7773281633853912,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,e,1.7282281816005707,4,10,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,b,1.7997314035892487,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,i,1.7468817234039307,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,a,1.7530285120010376,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,c,1.744800090789795,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,h,1.7667534947395325,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,f,1.7587798833847046,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,d,1.7794523239135742,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,g,1.7590618133544922,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,c,1.7585083842277527,4,10,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,b,1.8207786679267883,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,i,1.7845640182495117,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,e,1.7868554592132568,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,f,1.7279993891716003,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,d,1.7566204071044922,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,c,1.7800231575965881,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,e,1.702379822731018,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,h,1.7417854070663452,4,18,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,120,f,1.7753919959068298,4,22,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,120,a,1.7429484128952026,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,d,1.7771382331848145,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,g,1.7998921871185303,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,c,1.7749584913253784,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,h,1.7873888909816742,4,22,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,f,1.7153342068195343,4,26,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,c,1.7777865827083588,4,18,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,140,d,1.813032865524292,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,g,1.8319509625434875,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,e,1.7180482745170593,4,18,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
