seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,f,1.7267889380455017,2,2,"{""active_neurons"": 7, ""peer_id"": ""d"", ""received_subnet_id"": 3, ""training_mode"": ""contact""}"
7,0,d,1.8074324131011963,2,2,"{""active_neurons"": 7, ""peer_id"": ""f"", ""received_subnet_id"": 5, ""training_mode"": ""contact""}"
7,0,i,1.75383460521698,2,2,"{""active_neurons"": 8, ""peer_id"": ""a"", ""received_subnet_id"": 0, ""training_mode"": ""contact""}"
7,0,a,1.750751554965973,2,2,"{""active_neurons"": 7, ""peer_id"": ""i"", ""received_subnet_id"": 8, ""training_mode"": ""contact""}"
7,0,c,1.8511759638786316,2,2,"{""active_neurons"": 7, ""peer_id"": ""e"", ""received_subnet_id"": 4, ""training_mode"": ""contact""}"
7,0,e,1.7691081166267395,2,2,"{""active_neurons"": 7, ""peer_id"": ""c"", ""received_subnet_id"": 2, ""training_mode"": ""contact""}"
7,20,h,1.7358710169792175,2,2,"{""active_neurons"": 7, ""peer_id"": ""f"", ""received_subnet_id"": 3, ""training_mode"": ""contact""}"
7,20,f,1.7548773884773254,2,4,"{""active_neurons"": 7, ""peer_id"": ""h"", ""received_subnet_id"": 7, ""training_mode"": ""contact""}"
7,20,i,1.7056958675384521,2,4,"{""active_neurons"": 7, ""peer_id"": ""a"", ""received_subnet_id"": 8, ""training_mode"": ""contact""}"
7,20,a,1.7198145985603333,2,4,"{""active_neurons"": 8, ""peer_id"": ""i"", ""received_subnet_id"": 0, ""training_mode"": ""contact""}"
7,40,f,1.6289798021316528,2,6,"{""active_neurons"": 7, ""peer_id"": ""d"", ""received_subnet_id"": 5, ""training_mode"": ""contact""}"
7,40,d,1.7423652410507202,2,4,"{""active_neurons"": 7, ""peer_id"": ""f"", ""received_subnet_id"": 7, ""training_mode"": ""contact""}"
7,40,a,1.7274235486984253,2,6,"{""active_neurons"": 7, ""peer_id"": ""e"", ""received_subnet_id"": 2, ""training_mode"": ""contact""}"
7,40,e,1.5887885689735413,2,4,"{""active_neurons"": 8, ""peer_id"": ""a"", ""received_subnet_id"": 0, ""training_mode"": ""contact""}"
7,60,h,1.7362728118896484,2,4,"{""active_neurons"": 7, ""peer_id"": ""d"", ""received_subnet_id"": 7, ""training_mode"": ""contact""}"
7,60,d,1.694558560848236,2,6,"{""active_neurons"": 7, ""peer_id"": ""h"", ""received_subnet_id"": 3, ""training_mode"": ""contact""}"
7,60,e,1.6407339572906494,2,6,"{""active_neurons"": 7, ""peer_id"": ""c"", ""received_subnet_id"": 4, ""training_mode"": ""contact""}"
7,60,b,1.7093591094017029,2,2,"{""active_neurons"": 7, ""peer_id"": ""a"", ""received_subnet_id"": 2, ""training_mode"": ""contact""}"
7,60,a,1.894082486629486,2,8,"{""active_neurons"": 7, ""peer_id"": ""b"", ""received_subnet_id"": 1, ""training_mode"": ""contact""}"
