seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,a,1.8597581386566162,2,2,
7,0,b,1.821827471256256,2,2,
7,0,c,1.7688507437705994,2,2,
7,0,d,1.7856345176696777,2,2,
7,0,e,1.796581506729126,2,2,
7,0,f,1.8339264392852783,2,2,
7,0,g,1.7721988558769226,2,2,
7,0,h,1.8500813245773315,2,2,
7,0,i,1.8098152875900269,2,2,
7,300,a,1.7975724935531616,2,14,
7,300,b,1.8413758277893066,2,14,
7,300,c,1.7511181235313416,2,13,
7,300,d,1.7877609729766846,2,16,
7,300,e,1.7410390377044678,2,14,
7,300,f,1.7369784712791443,2,15,
7,300,g,1.7724794149398804,2,13,
7,300,h,1.7292876243591309,2,10,
7,300,i,1.7531636953353882,2,8,
7,600,a,1.7134975790977478,2,29,
7,600,b,1.766810417175293,2,26,
7,600,c,1.8286615014076233,2,22,
7,600,d,1.7418804168701172,2,33,
7,600,e,1.6949621438980103,2,24,
7,600,f,1.7457730174064636,2,30,
7,600,g,1.7118556499481201,2,28,
7,600,h,1.7728834748268127,2,21,
7,600,i,1.7887547016143799,2,18,
7,900,a,1.6999543905258179,2,40,
7,900,b,1.7185338735580444,2,40,
7,900,c,1.734752118587494,2,34,
7,900,d,1.7044534087181091,2,43,
7,900,e,1.742300033569336,2,33,
7,900,f,1.6843684911727905,2,41,
7,900,g,1.758499026298523,2,39,
7,900,h,1.7431610226631165,2,29,
7,900,i,1.7296136617660522,2,26,
7,1200,a,1.597406268119812,2,55,
7,1200,b,1.7317893505096436,2,52,
7,1200,c,1.7225807905197144,2,46,
7,1200,d,1.6315579414367676,2,57,
7,1200,e,1.649029016494751,2,44,
7,1200,f,1.7070794701576233,2,54,
7,1200,g,1.6741071939468384,2,51,
7,1200,h,1.7338509559631348,2,36,
7,1200,i,1.6728157997131348,2,32,
7,1500,a,1.6266634464263916,2,70,
7,1500,b,1.728125512599945,2,66,
7,1500,c,1.6863119006156921,2,60,
7,1500,d,1.5948870778083801,2,73,
7,1500,e,1.6242437362670898,2,55,
7,1500,f,1.6714523434638977,2,68,
7,1500,g,1.6351168155670166,2,64,
7,1500,h,1.6429315209388733,2,43,
7,1500,i,1.750607192516327,2,39,
7,1800,a,1.534043788909912,2,83,
7,1800,b,1.710585355758667,2,78,
7,1800,c,1.6935219168663025,2,72,
7,1800,d,1.5595564246177673,2,87,
7,1800,e,1.6204295754432678,2,66,
7,1800,f,1.597643256187439,2,83,
7,1800,g,1.6470873355865479,2,78,
7,1800,h,1.7415079474449158,2,48,
7,1800,i,1.6115936040878296,2,44,
7,2100,a,1.5515971779823303,2,97,
7,2100,b,1.7406917810440063,2,89,
7,2100,c,1.7484302520751953,2,84,
7,2100,d,1.5771517753601074,2,103,
7,2100,e,1.546396553516388,2,76,
7,2100,f,1.5698996782302856,2,97,
7,2100,g,1.5637511014938354,2,93,
7,2100,h,1.7176379561424255,2,59,
7,2100,i,1.7328951954841614,2,54,
7,2400,a,1.4437540769577026,2,111,
7,2400,b,1.600311040878296,2,101,
7,2400,c,1.6954135298728943,2,94,
7,2400,d,1.4146854281425476,2,118,
7,2400,e,1.6062496304512024,2,89,
7,2400,f,1.5931782126426697,2,112,
7,2400,g,1.585014283657074,2,107,
7,2400,h,1.665722370147705,2,67,
7,2400,i,1.6742177605628967,2,61,
7,2700,a,1.4603168368339539,2,123,
7,2700,b,1.689182996749878,2,112,
7,2700,c,1.657826542854309,2,105,
7,2700,d,1.4412463903427124,2,130,
7,2700,e,1.5561606884002686,2,98,
7,2700,f,1.5656177997589111,2,125,
7,2700,g,1.4753108620643616,2,123,
7,2700,h,1.6308878660202026,2,75,
7,2700,i,1.6168140769004822,2,70,
7,3000,a,1.4439823031425476,2,133,
7,3000,b,1.6529961824417114,2,123,
7,3000,c,1.6554799675941467,2,116,
7,3000,d,1.3996196389198303,2,145,
7,3000,e,1.5771220326423645,2,108,
7,3000,f,1.5099393129348755,2,139,
7,3000,g,1.5040815472602844,2,138,
7,3000,h,1.6399855613708496,2,84,
7,3000,i,1.52860689163208,2,79,
7,3300,a,1.4886935949325562,2,147,
7,3300,b,1.6442953944206238,2,134,
7,3300,c,1.6461618542671204,2,126,
7,3300,d,1.361183524131775,2,156,
7,3300,e,1.4690219163894653,2,117,
7,3300,f,1.44645094871521,2,150,
7,3300,g,1.5021077394485474,2,152,
7,3300,h,1.5860770344734192,2,93,
7,3300,i,1.5547333359718323,2,87,
7,3600,a,1.358766496181488,2,159,
7,3600,b,1.6280675530433655,2,146,
7,3600,c,1.6397684216499329,2,136,
7,3600,d,1.3447728157043457,2,172,
7,3600,e,1.4697667360305786,2,124,
7,3600,f,1.4453651309013367,2,164,
7,3600,g,1.535829782485962,2,165,
7,3600,h,1.6177581548690796,2,101,
7,3600,i,1.4838413000106812,2,96,
7,3900,a,1.277340292930603,2,171,
7,3900,b,1.608518362045288,2,158,
7,3900,c,1.5695812702178955,2,146,
7,3900,d,1.3666442036628723,2,187,
7,3900,e,1.3587234616279602,2,135,
7,3900,f,1.352399468421936,2,177,
7,3900,g,1.3918415307998657,2,178,
7,3900,h,1.3769205212593079,2,111,
7,3900,i,1.5435234308242798,2,106,
7,4200,a,1.1714645624160767,2,185,
7,4200,b,1.5821352005004883,2,169,
7,4200,c,1.5269562602043152,2,158,
7,4200,d,1.262247085571289,2,201,
7,4200,e,1.5711044669151306,2,148,
7,4200,f,1.5166800618171692,2,190,
7,4200,g,1.346339225769043,2,192,
7,4200,h,1.5355525016784668,2,120,
7,4200,i,1.517033040523529,2,114,
7,4500,a,1.3183515667915344,2,195,
7,4500,b,1.548953115940094,2,182,
7,4500,c,1.5069190859794617,2,173,
7,4500,d,1.1961693167686462,2,210,
7,4500,e,1.3051104545593262,2,162,
7,4500,f,1.4383004903793335,2,203,
7,4500,g,1.3498013615608215,2,205,
7,4500,h,1.461261808872223,2,128,
7,4500,i,1.5607038736343384,2,123,
7,4800,a,1.3018091320991516,2,208,
7,4800,b,1.5733810663223267,2,191,
7,4800,c,1.4888885021209717,2,184,
7,4800,d,1.1936777234077454,2,224,
7,4800,e,1.5353373289108276,2,172,
7,4800,f,1.4075322151184082,2,217,
7,4800,g,1.471402883529663,2,222,
7,4800,h,1.495867371559143,2,135,
7,4800,i,1.4546133279800415,2,131,
7,5100,a,1.2496357560157776,2,220,
7,5100,b,1.505564272403717,2,200,
7,5100,c,1.4796956777572632,2,197,
7,5100,d,1.3179941773414612,2,239,
7,5100,e,1.5563455820083618,2,187,
7,5100,f,1.4351134896278381,2,230,
7,5100,g,1.4095819592475891,2,236,
7,5100,h,1.4289484024047852,2,145,
