seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,a,1.8597581386566162,2,2,
7,0,b,1.821827471256256,2,2,
7,0,c,1.7688507437705994,2,2,
7,0,d,1.7856345176696777,2,2,
7,0,e,1.796581506729126,2,2,
7,0,f,1.8339264392852783,2,2,
7,0,g,1.7721988558769226,2,2,
7,0,h,1.8500813245773315,2,2,
7,0,i,1.8098152875900269,2,2,
7,300,a,1.7968407273292542,2,4,
7,300,b,1.7658255696296692,2,4,
7,300,c,1.7802925109863281,2,4,
7,300,d,1.817117989063263,2,4,
7,300,e,1.7763749957084656,2,4,
7,300,f,1.7816623449325562,2,4,
7,300,g,1.8143742084503174,2,4,
7,300,h,1.7751848697662354,2,4,
7,300,i,1.7721224427223206,2,4,
7,600,a,1.8221095204353333,2,6,
7,600,b,1.7697477340698242,2,6,
7,600,c,1.802804172039032,2,6,
7,600,d,1.8065046072006226,2,6,
7,600,e,1.7275584936141968,2,6,
7,600,f,1.76223886013031,2,6,
7,600,g,1.794861078262329,2,6,
7,600,h,1.7666435837745667,2,6,
7,600,i,1.823538899421692,2,6,
7,900,a,1.7987529635429382,2,8,
7,900,b,1.7601893544197083,2,8,
7,900,c,1.7947036027908325,2,8,
7,900,d,1.7912758588790894,2,8,
7,900,e,1.7552469968795776,2,8,
7,900,f,1.7474989891052246,2,8,
7,900,g,1.7746140956878662,2,8,
7,900,h,1.7489279508590698,2,8,
7,900,i,1.7838666439056396,2,8,
7,1200,a,1.7887513637542725,2,10,
7,1200,b,1.7804836630821228,2,10,
7,1200,c,1.7596524953842163,2,10,
7,1200,d,1.7455979585647583,2,10,
7,1200,e,1.7699726819992065,2,10,
7,1200,f,1.7777706980705261,2,10,
7,1200,g,1.7863616943359375,2,10,
7,1200,h,1.7185343503952026,2,10,
7,1200,i,1.744961440563202,2,10,
7,1500,a,1.7374913096427917,2,12,
7,1500,b,1.7662070393562317,2,12,
7,1500,c,1.813211977481842,2,12,
7,1500,d,1.8192732334136963,2,12,
7,1500,e,1.7857557535171509,2,12,
7,1500,f,1.828681468963623,2,12,
7,1500,g,1.7648395895957947,2,12,
7,1500,h,1.7361583709716797,2,12,
7,1500,i,1.747293770313263,2,12,
7,1800,a,1.7533142566680908,2,14,
7,1800,b,1.7419730424880981,2,14,
7,1800,c,1.6718289256095886,2,14,
7,1800,d,1.7836819291114807,2,14,
7,1800,e,1.737540364265442,2,14,
7,1800,f,1.7850228548049927,2,14,
7,1800,g,1.7660953402519226,2,14,
7,1800,h,1.7922556400299072,2,14,
7,1800,i,1.75239098072052,2,14,
7,2100,a,1.736407995223999,2,16,
7,2100,b,1.8162678480148315,2,16,
7,2100,c,1.8121429085731506,2,16,
7,2100,d,1.7285624742507935,2,16,
7,2100,e,1.7681704759597778,2,16,
7,2100,f,1.7552027702331543,2,16,
7,2100,g,1.7619433403015137,2,16,
7,2100,h,1.748310625553131,2,16,
7,2100,i,1.7499324679374695,2,16,
7,2400,a,1.7661262154579163,2,18,
7,2400,b,1.8004376888275146,2,18,
7,2400,c,1.771852731704712,2,18,
7,2400,d,1.6957266330718994,2,18,
7,2400,e,1.7695180773735046,2,18,
7,2400,f,1.8071695566177368,2,18,
7,2400,g,1.76346755027771,2,18,
7,2400,h,1.7663308382034302,2,18,
7,2400,i,1.7415230870246887,2,18,
7,2700,a,1.7633377313613892,2,20,
7,2700,b,1.7696483135223389,2,20,
7,2700,c,1.75739187002182,2,20,
7,2700,d,1.7588789463043213,2,20,
7,2700,e,1.7102177143096924,2,20,
7,2700,f,1.7324804663658142,2,20,
7,2700,g,1.7683093547821045,2,20,
7,2700,h,1.7717450857162476,2,20,
7,2700,i,1.7504960298538208,2,20,
7,3000,a,1.8090705275535583,2,22,
7,3000,b,1.7791442275047302,2,22,
7,3000,c,1.731525480747223,2,22,
7,3000,d,1.777305245399475,2,22,
7,3000,e,1.7126136422157288,2,22,
7,3000,f,1.7745927572250366,2,22,
7,3000,g,1.7793754935264587,2,22,
7,3000,h,1.7988557815551758,2,22,
7,3000,i,1.7818041443824768,2,22,
7,3300,a,1.7895275950431824,2,24,
7,3300,b,1.779130220413208,2,24,
7,3300,c,1.7546021342277527,2,24,
7,3300,d,1.7575696110725403,2,24,
7,3300,e,1.7394598722457886,2,24,
7,3300,f,1.7133179903030396,2,24,
7,3300,g,1.7553790807724,2,24,
7,3300,h,1.723086655139923,2,24,
7,3300,i,1.7562018632888794,2,24,
7,3600,a,1.7451038360595703,2,26,
7,3600,b,1.7523626685142517,2,26,
7,3600,c,1.7613745331764221,2,26,
7,3600,d,1.7289826273918152,2,26,
7,3600,e,1.7397409677505493,2,26,
7,3600,f,1.7509437203407288,2,26,
7,3600,g,1.745075762271881,2,26,
7,3600,h,1.786263883113861,2,26,
7,3600,i,1.7739720344543457,2,26,
7,3900,a,1.722011685371399,2,28,
7,3900,b,1.78884619474411,2,28,
7,3900,c,1.8070465922355652,2,28,
7,3900,d,1.701259970664978,2,28,
7,3900,e,1.7405508160591125,2,28,
7,3900,f,1.7337007522583008,2,28,
7,3900,g,1.683518886566162,2,28,
7,3900,h,1.7439814805984497,2,28,
7,3900,i,1.7603493928909302,2,28,
7,4200,a,1.6914057731628418,2,30,
7,4200,b,1.7647308707237244,2,30,
7,4200,c,1.7799144387245178,2,30,
7,4200,d,1.738567054271698,2,30,
7,4200,e,1.7050576210021973,2,30,
7,4200,f,1.7646012902259827,2,30,
7,4200,g,1.7594398260116577,2,30,
7,4200,h,1.729785978794098,2,30,
7,4200,i,1.7186572551727295,2,30,
7,4500,a,1.7064425945281982,2,32,
7,4500,b,1.738450527191162,2,32,
7,4500,c,1.7411350011825562,2,32,
7,4500,d,1.7347086668014526,2,32,
7,4500,e,1.7412652969360352,2,32,
7,4500,f,1.7508472204208374,2,32,
7,4500,g,1.7139825820922852,2,32,
7,4500,h,1.7187888622283936,2,32,
7,4500,i,1.754384994506836,2,32,
7,4800,a,1.7417920231819153,2,34,
7,4800,b,1.7503634095191956,2,34,
7,4800,c,1.713062047958374,2,34,
7,4800,d,1.730716347694397,2,34,
7,4800,e,1.7269220352172852,2,34,
7,4800,f,1.697791337966919,2,34,
7,4800,g,1.7647206783294678,2,34,
7,4800,h,1.7724252939224243,2,34,
7,4800,i,1.6804077625274658,2,34,
7,5100,a,1.7321051359176636,2,36,
7,5100,b,1.7273364663124084,2,36,
7,5100,c,1.7873461842536926,2,36,
7,5100,d,1.6935490369796753,2,36,
7,5100,e,1.7315109968185425,2,36,
7,5100,f,1.6802141666412354,2,36,
7,5100,g,1.7455992102622986,2,36,
7,5100,h,1.7134374976158142,2,36,
