seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.11603375524282455,0.06052974573088563
7,0,b,test,0.21572449803352356,0.09877624366886241
7,0,c,test,0.1515151560306549,0.08735319517221708
7,0,d,test,0.13735108077526093,0.07047950605358443
7,0,e,test,0.19162851572036743,0.07923730313310336
7,0,f,test,0.19649378955364227,0.08634834458751312
7,0,g,test,0.1508042961359024,0.07490302946772816
7,0,h,test,0.12842105329036713,0.05762356903949428
7,0,i,test,0.14367815852165222,0.05991243820180703
7,900,a,test,0.3734177350997925,0.31215019731352617
7,900,b,test,0.3326835632324219,0.2850565304644986
7,900,c,test,0.25108224153518677,0.2373369921951558
7,900,d,test,0.3637000620365143,0.345710380277879
7,900,e,test,0.44996729493141174,0.40612271327457705
7,900,f,test,0.3739956319332123,0.3500307377537882
7,900,g,test,0.28351205587387085,0.24540556447478082
7,900,h,test,0.3684210479259491,0.3318628278304725
7,900,i,test,0.39974457025527954,0.36805319894231475
7,1800,a,test,0.4345991611480713,0.39392171102550083
7,1800,b,test,0.39961013197898865,0.3576303598708324
7,1800,c,test,0.3470418453216553,0.30986815386308214
7,1800,d,test,0.42957252264022827,0.4232987837912303
7,1800,e,test,0.45192936062812805,0.4157264345203824
7,1800,f,test,0.44485026597976685,0.4395913617969534
7,1800,g,test,0.41756030917167664,0.368021107980063
7,1800,h,test,0.4147368371486664,0.3690458657237998
7,1800,i,test,0.4003831446170807,0.3973327491384612
7,2700,a,test,0.46624472737312317,0.416948303384445
7,2700,b,test,0.4145548939704895,0.37113101860966413
7,2700,c,test,0.36219337582588196,0.3337199862774778
7,2700,d,test,0.48072880506515503,0.44522198515735506
7,2700,e,test,0.46697187423706055,0.4183761981652893
7,2700,f,test,0.48794740438461304,0.45734137738049396
7,2700,g,test,0.45442360639572144,0.40975921077284577
7,2700,h,test,0.40842103958129883,0.37661970193212996
7,2700,i,test,0.4610472619533539,0.41402261549080105
7,3600,a,test,0.4915611743927002,0.44484241645731304
7,3600,b,test,0.42949968576431274,0.39220560972838325
7,3600,c,test,0.40692639350891113,0.38291207092099117
7,3600,d,test,0.488437294960022,0.4446313876212911
7,3600,e,test,0.4591236114501953,0.3916402618378049
7,3600,f,test,0.5105916857719421,0.48918970444476656
7,3600,g,test,0.4845844507217407,0.4288597516797891
7,3600,h,test,0.42456141114234924,0.38521285285636525
7,3600,i,test,0.48275861144065857,0.4383262665334964
7,4500,a,test,0.5014064908027649,0.4551146014976027
7,4500,b,test,0.44574397802352905,0.4135073094263806
7,4500,c,test,0.4278499186038971,0.39734372852382843
7,4500,d,test,0.5017518997192383,0.46649123306472123
7,4500,e,test,0.47351211309432983,0.41148585769192664
7,4500,f,test,0.5346968770027161,0.5144592326846466
7,4500,g,test,0.4973190426826477,0.44351476294060216
7,4500,h,test,0.44491228461265564,0.4227822805518328
7,4500,i,test,0.5083013772964478,0.44904526056742416
7,5400,a,test,0.5161743760108948,0.4924556502496496
7,5400,b,test,0.4476933181285858,0.42716874016786016
7,5400,c,test,0.4264069199562073,0.39809601239228565
7,5400,d,test,0.5003503561019897,0.4665655195379828
7,5400,e,test,0.4931327700614929,0.4333357025116844
7,5400,f,test,0.532505452632904,0.5061085265601627
7,5400,g,test,0.525469183921814,0.5119428255457105
7,5400,h,test,0.4680701792240143,0.4415684999920592
7,5400,i,test,0.5108556747436523,0.44733194827974104
7,6300,a,test,0.5232067704200745,0.5136550322449273
7,6300,b,test,0.48148149251937866,0.4676011500138661
7,6300,c,test,0.43290042877197266,0.398449577070446
7,6300,d,test,0.5199719667434692,0.49937364661673495
7,6300,e,test,0.47351211309432983,0.42055860401822914
7,6300,f,test,0.5639152526855469,0.5611499143076553
7,6300,g,test,0.5449061393737793,0.5301998998548464
7,6300,h,test,0.4898245632648468,0.4722580983644777
7,6300,i,test,0.515325665473938,0.4752200177711987
7,7200,a,test,0.5295358896255493,0.5172871243994972
7,7200,b,test,0.46978557109832764,0.45609447952790133
7,7200,c,test,0.4271284341812134,0.4250393578793796
7,7200,d,test,0.5339874029159546,0.5133370960230156
7,7200,e,test,0.4807063341140747,0.4385846734238788
7,7200,f,test,0.5493060350418091,0.5510804975475764
7,7200,g,test,0.5542895197868347,0.5417621469005897
7,7200,h,test,0.5108771920204163,0.4859498456557574
7,7200,i,test,0.5280970335006714,0.5072895700087309
7,8100,a,test,0.5196905732154846,0.485168059248347
7,8100,b,test,0.4801819324493408,0.46173377816980216
7,8100,c,test,0.44155845046043396,0.4340442714190136
7,8100,d,test,0.5613174438476562,0.5443264542998564
7,8100,e,test,0.4977109134197235,0.44641076303433147
7,8100,f,test,0.5507670044898987,0.5543791115300515
7,8100,g,test,0.5201072096824646,0.5015334661584232
7,8100,h,test,0.5185964703559875,0.492303406846736
7,8100,i,test,0.5415070056915283,0.5269414583361222
7,9000,a,test,0.5625879168510437,0.5436261923220418
7,9000,b,test,0.4775828421115875,0.45310260553090287
7,9000,c,test,0.45598846673965454,0.4440493562626708
7,9000,d,test,0.5613174438476562,0.5408541452608607
7,9000,e,test,0.5284499526023865,0.48145386799813905
7,9000,f,test,0.5493060350418091,0.543523895107702
7,9000,g,test,0.5522788166999817,0.5433246814914131
7,9000,h,test,0.5438596606254578,0.5267223540156409
7,9000,i,test,0.5376756191253662,0.49556163039785117
7,9900,a,test,0.5625879168510437,0.5377367342256596
7,9900,b,test,0.502274215221405,0.48256140834655775
7,9900,c,test,0.4754689633846283,0.46413455649060964
7,9900,d,test,0.5704274773597717,0.5535457582180259
7,9900,e,test,0.5166775584220886,0.45972319849953
7,9900,f,test,0.5675675868988037,0.5620629219122889
7,9900,g,test,0.5609919428825378,0.5555072690543107
7,9900,h,test,0.5543859601020813,0.5405808920713008
7,9900,i,test,0.5619412660598755,0.5298633463564171
7,10800,a,test,0.5654008388519287,0.549379330202197
7,10800,b,test,0.4899285137653351,0.46875695199879935
7,10800,c,test,0.527417004108429,0.5184832200116404
7,10800,d,test,0.5851436853408813,0.5647531302062666
7,10800,e,test,0.5539568066596985,0.5027990928510423
7,10800,f,test,0.5704894065856934,0.5726161560314021
7,10800,g,test,0.5831099152565002,0.5797906316051306
7,10800,h,test,0.5831578969955444,0.5728343307014127
7,10800,i,test,0.5868454575538635,0.5733486296667608
7,11700,a,test,0.5682137608528137,0.545169997220886
7,11700,b,test,0.535412609577179,0.5024108045804939
7,11700,c,test,0.5014430284500122,0.492427342480998
7,11700,d,test,0.5760336518287659,0.5560590860600018
7,11700,e,test,0.5107913613319397,0.4663817843712071
7,11700,f,test,0.5763331055641174,0.5724274930939657
7,11700,g,test,0.5871313810348511,0.582247575276059
7,11700,h,test,0.5719298124313354,0.5626409027107688
7,11700,i,test,0.5670498013496399,0.5439934897241578
7,12600,a,test,0.5864979028701782,0.5658248241950531
7,12600,b,test,0.5120207667350769,0.48273952122272074
7,12600,c,test,0.5151515007019043,0.5067745745229121
7,12600,d,test,0.5984582901000977,0.579747880888987
7,12600,e,test,0.5788096785545349,0.5108640363775864
7,12600,f,test,0.5989773273468018,0.5947304974757242
7,12600,g,test,0.5898123383522034,0.5860560109759301
7,12600,h,test,0.5957894921302795,0.5957143015491193
7,12600,i,test,0.5887611508369446,0.5626021099637338
7,13500,a,test,0.5872011184692383,0.5651802511759315
7,13500,b,test,0.5328134894371033,0.4996690119370666
7,13500,c,test,0.4819624722003937,0.46990399768734753
7,13500,d,test,0.594253659248352,0.57388404132482
7,13500,e,test,0.5873119831085205,0.5242271320892807
7,13500,f,test,0.5931336879730225,0.590472872648789
7,13500,g,test,0.5998659729957581,0.5962694196444243
7,13500,h,test,0.6294736862182617,0.6151272060434213
7,13500,i,test,0.5625798106193542,0.5176144465531421
7,14400,a,test,0.5921237468719482,0.5627155884136039
7,14400,b,test,0.5133203268051147,0.4848637941264569
7,14400,c,test,0.5086579918861389,0.49795457212212035
7,14400,d,test,0.6110721826553345,0.5933665662589462
7,14400,e,test,0.5768476128578186,0.5356561288637801
7,14400,f,test,0.5814462900161743,0.5832871930686863
7,14400,g,test,0.5991957187652588,0.5899296583319347
7,14400,h,test,0.6259649395942688,0.613529881954282
7,14400,i,test,0.6034482717514038,0.581903480461255
7,15300,a,test,0.5766525864601135,0.5414424685090217
7,15300,b,test,0.5360623598098755,0.5040904537654941
7,15300,c,test,0.5404040217399597,0.5261841407322948
7,15300,d,test,0.6047652363777161,0.5824176619438942
7,15300,e,test,0.5519947409629822,0.515706635709381
7,15300,f,test,0.5836377143859863,0.5828975727255051
7,15300,g,test,0.5945039987564087,0.5952771564346403
7,15300,h,test,0.6336842179298401,0.6240691497460517
7,15300,i,test,0.5945082902908325,0.5796056790403524
7,16200,a,test,0.5773558616638184,0.53990753655991
7,16200,b,test,0.5250162482261658,0.484170856664014
7,16200,c,test,0.5440115332603455,0.5288591366329745
