seed,time,requester_id,peer_id,details
7,0,h,c,"{""agreement"": 0.20485031604766846, ""completed"": true}"
7,0,f,h,"{""agreement"": -0.29919204115867615, ""completed"": true}"
7,0,c,d,"{""agreement"": -0.04439632594585419, ""completed"": true}"
7,0,g,b,"{""agreement"": 0.2270835041999817, ""completed"": true}"
7,0,b,g,"{""agreement"": -0.25585395097732544, ""completed"": true}"
7,0,a,b,"{""agreement"": 0.432989239692688, ""completed"": true}"
7,0,d,c,"{""agreement"": -0.07053578644990921, ""completed"": true}"
7,0,e,c,"{""agreement"": 0.4734877049922943, ""completed"": true}"
7,20,f,i,"{""agreement"": 0.5860610604286194, ""completed"": true}"
7,20,i,f,"{""agreement"": 0.14427126944065094, ""completed"": true}"
7,40,g,a,"{""agreement"": 0.5129842758178711, ""completed"": true}"
7,40,d,g,"{""agreement"": 0.8276973366737366, ""completed"": true}"
7,40,a,g,"{""agreement"": 0.4870469272136688, ""completed"": true}"
7,40,b,d,"{""agreement"": 0.4196523129940033, ""completed"": true}"
7,40,i,d,"{""agreement"": 0.22019395232200623, ""completed"": true}"
7,60,h,c,"{""agreement"": -0.21520231664180756, ""completed"": true}"
7,60,c,h,"{""agreement"": -0.6929129362106323, ""completed"": true}"
7,60,g,b,"{""agreement"": 0.3664705455303192, ""completed"": true}"
7,60,b,a,"{""agreement"": 0.22438569366931915, ""completed"": true}"
7,60,a,b,"{""agreement"": -0.006032006349414587, ""completed"": true}"
7,80,f,d,"{""agreement"": 0.002847277792170644, ""completed"": true}"
7,80,d,f,"{""agreement"": 0.4614933729171753, ""completed"": true}"
7,80,g,b,"{""agreement"": 0.295560747385025, ""completed"": true}"
7,80,b,g,"{""agreement"": -0.13165436685085297, ""completed"": true}"
7,100,g,a,"{""agreement"": 0.3621058762073517, ""completed"": true}"
7,100,a,g,"{""agreement"": 0.2342757135629654, ""completed"": true}"
7,100,c,e,"{""agreement"": 0.4398573935031891, ""completed"": true}"
7,100,e,c,"{""agreement"": -0.31766414642333984, ""completed"": true}"
7,140,h,e,"{""agreement"": 0.5584636926651001, ""completed"": true}"
7,140,c,h,"{""agreement"": -0.005862133577466011, ""completed"": true}"
7,140,e,h,"{""agreement"": 0.31604787707328796, ""completed"": true}"
7,140,f,i,"{""agreement"": 0.05300121754407883, ""completed"": true}"
7,140,i,d,"{""agreement"": 0.7912234663963318, ""completed"": true}"
7,140,b,a,"{""agreement"": 0.6192709803581238, ""completed"": true}"
7,140,a,b,"{""agreement"": 0.3486270606517792, ""completed"": true}"
7,140,d,i,"{""agreement"": 0.36761605739593506, ""completed"": true}"
7,160,h,c,"{""agreement"": -0.07999672740697861, ""completed"": true}"
7,160,c,h,"{""agreement"": 0.5505871176719666, ""completed"": true}"
7,160,g,b,"{""agreement"": -0.3504873514175415, ""completed"": true}"
7,160,b,g,"{""agreement"": 0.38339337706565857, ""completed"": true}"
7,180,f,c,"{""agreement"": -0.01603996567428112, ""completed"": true}"
7,180,d,f,"{""agreement"": 0.2247767448425293, ""completed"": true}"
7,180,c,f,"{""agreement"": 0.5696548819541931, ""completed"": true}"
7,180,i,d,"{""agreement"": -0.02058633789420128, ""completed"": true}"
7,200,h,e,"{""agreement"": -0.09580636024475098, ""completed"": true}"
7,200,e,h,"{""agreement"": 0.11741813272237778, ""completed"": true}"
7,220,h,e,"{""agreement"": 0.4598565399646759, ""completed"": true}"
7,220,e,h,"{""agreement"": 0.17353948950767517, ""completed"": true}"
7,220,f,d,"{""agreement"": 0.11401248723268509, ""completed"": true}"
7,220,d,f,"{""agreement"": -0.10367156565189362, ""completed"": true}"
7,220,g,a,"{""agreement"": 0.5746422410011292, ""completed"": true}"
7,220,b,a,"{""agreement"": -0.05017275735735893, ""completed"": true}"
7,220,a,g,"{""agreement"": 0.004740346223115921, ""completed"": true}"
7,220,i,d,"{""agreement"": -0.005126528441905975, ""completed"": true}"
7,240,h,e,"{""agreement"": -0.0053998129442334175, ""completed"": true}"
7,240,e,f,"{""agreement"": 0.2327495813369751, ""completed"": true}"
7,240,f,e,"{""agreement"": 0.6933411359786987, ""completed"": true}"
7,240,d,f,"{""agreement"": 0.40001875162124634, ""completed"": true}"
7,240,i,f,"{""agreement"": 0.55624920129776, ""completed"": true}"
7,240,g,b,"{""agreement"": 0.4623139500617981, ""completed"": true}"
7,240,b,g,"{""agreement"": 0.6776060461997986, ""completed"": true}"
7,260,h,c,"{""agreement"": -0.39233988523483276, ""completed"": true}"
7,260,c,h,"{""agreement"": 0.41735488176345825, ""completed"": true}"
7,260,f,i,"{""agreement"": 0.49058860540390015, ""completed"": true}"
7,260,d,i,"{""agreement"": 0.27084729075431824, ""completed"": true}"
7,260,i,f,"{""agreement"": -0.2487914115190506, ""completed"": true}"
7,280,f,i,"{""agreement"": 0.620456337928772, ""completed"": true}"
7,280,i,f,"{""agreement"": -0.0701868087053299, ""completed"": true}"
7,280,g,a,"{""agreement"": 0.33487212657928467, ""completed"": true}"
7,280,b,g,"{""agreement"": 0.41835689544677734, ""completed"": true}"
7,280,a,b,"{""agreement"": 0.41710731387138367, ""completed"": true}"
7,280,c,e,"{""agreement"": -0.0024002082645893097, ""completed"": true}"
7,280,e,c,"{""agreement"": -0.07733358442783356, ""completed"": true}"
7,300,f,i,"{""agreement"": 0.5335574150085449, ""completed"": true}"
7,300,i,d,"{""agreement"": 0.2884168028831482, ""completed"": true}"
7,300,b,a,"{""agreement"": 0.7290790677070618, ""completed"": true}"
7,300,a,b,"{""agreement"": 0.3521246612071991, ""completed"": true}"
7,300,d,i,"{""agreement"": 0.6159452795982361, ""completed"": true}"
7,320,h,e,"{""agreement"": -0.24169179797172546, ""completed"": true}"
7,320,e,h,"{""agreement"": -0.05285978689789772, ""completed"": true}"
7,320,g,a,"{""agreement"": -0.1568414270877838, ""completed"": true}"
7,320,b,a,"{""agreement"": -0.3896939158439636, ""completed"": true}"
7,320,a,b,"{""agreement"": 0.17005756497383118, ""completed"": true}"
7,320,d,i,"{""agreement"": -0.15648594498634338, ""completed"": true}"
7,320,i,d,"{""agreement"": 0.6036160588264465, ""completed"": true}"
7,320,c,e,"{""agreement"": 0.4489195644855499, ""completed"": true}"
7,340,f,d,"{""agreement"": -0.0002248097734991461, ""completed"": true}"
7,340,d,i,"{""agreement"": -0.30445772409439087, ""completed"": true}"
7,340,g,b,"{""agreement"": 0.06108063459396362, ""completed"": true}"
7,340,b,g,"{""agreement"": 0.33157864212989807, ""completed"": true}"
7,340,i,d,"{""agreement"": 0.20248600840568542, ""completed"": true}"
7,360,h,c,"{""agreement"": -0.10710245370864868, ""completed"": true}"
7,360,c,h,"{""agreement"": 0.15543174743652344, ""completed"": true}"
7,360,f,i,"{""agreement"": 0.7475452423095703, ""completed"": true}"
7,360,d,f,"{""agreement"": -0.1405431628227234, ""completed"": true}"
7,360,i,f,"{""agreement"": 0.4447301924228668, ""completed"": true}"
7,360,b,a,"{""agreement"": 0.5392380952835083, ""completed"": true}"
7,360,a,b,"{""agreement"": -0.11055612564086914, ""completed"": true}"
7,380,h,i,"{""agreement"": -0.026125384494662285, ""completed"": true}"
7,380,i,h,"{""agreement"": 0.1359366923570633, ""completed"": true}"
7,380,c,h,"{""agreement"": 0.11596903949975967, ""completed"": true}"
7,380,e,h,"{""agreement"": 0.40097492933273315, ""completed"": true}"
7,380,f,d,"{""agreement"": -0.26338037848472595, ""completed"": true}"
