seed,time,requester_id,peer_id,details
7,0,c,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6323093771934509}"
7,0,e,c,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5258456468582153}"
7,20,h,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7596131563186646}"
7,20,g,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6586540937423706}"
7,40,h,d,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7636358737945557}"
7,40,d,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5133136510848999}"
7,40,c,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6323093771934509}"
7,40,e,c,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5258456468582153}"
7,100,f,d,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5557331442832947}"
7,100,d,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5095674395561218}"
7,140,h,c,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7640767693519592}"
7,140,c,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6206088066101074}"
7,140,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,140,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,160,f,d,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5557331442832947}"
7,160,d,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5095674395561218}"
7,180,b,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.762022078037262}"
7,180,i,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6362584829330444}"
7,180,c,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6323093771934509}"
7,180,e,c,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5258456468582153}"
7,220,h,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7838400602340698}"
7,220,f,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6010690927505493}"
7,260,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,260,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,280,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,280,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,340,f,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5753408670425415}"
7,340,i,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6584702730178833}"
7,340,g,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.638357400894165}"
7,340,e,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.4897378087043762}"
7,360,b,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.762022078037262}"
7,360,i,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6362584829330444}"
7,420,f,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5600218772888184}"
7,420,e,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5148355960845947}"
7,480,b,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.762022078037262}"
7,480,i,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6362584829330444}"
7,500,g,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.638357400894165}"
7,500,e,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.4897378087043762}"
7,540,h,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7838400602340698}"
7,540,f,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6010690927505493}"
7,560,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,560,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,580,f,d,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5557331442832947}"
7,580,d,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5095674395561218}"
7,580,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,580,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,600,i,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6558194756507874}"
7,600,a,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6624501347541809}"
7,660,i,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6558194756507874}"
7,660,a,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6624501347541809}"
7,680,g,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.638357400894165}"
7,680,e,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.4897378087043762}"
7,800,h,d,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7636358737945557}"
7,800,d,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5133136510848999}"
7,800,g,c,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6516302227973938}"
7,800,c,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6126574277877808}"
7,820,f,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5919132828712463}"
7,820,a,f,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.672459065914154}"
7,860,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,860,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,880,c,e,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6323093771934509}"
7,880,e,c,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.5258456468582153}"
7,960,g,c,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6516302227973938}"
7,960,c,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6126574277877808}"
7,960,b,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.762022078037262}"
7,960,i,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6558194756507874}"
7,960,i,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6362584829330444}"
7,960,a,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6624501347541809}"
7,1060,b,d,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7660045623779297}"
7,1060,d,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.49654364585876465}"
7,1060,d,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.531404972076416}"
7,1060,a,d,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6346619129180908}"
7,1080,i,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6558194756507874}"
7,1080,a,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6624501347541809}"
