seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.12236286699771881,0.06546472516054265
7,0,b,test,0.23131904006004333,0.1084364473240431
7,0,c,test,0.1341991275548935,0.06638854835660135
7,0,d,test,0.13735108077526093,0.07047950605358443
7,0,e,test,0.19816873967647552,0.10655903530747773
7,0,f,test,0.19649378955364227,0.08634834458751312
7,0,g,test,0.1508042961359024,0.07490302946772816
7,0,h,test,0.12842105329036713,0.05762356903949428
7,0,i,test,0.14367815852165222,0.05991243820180703
7,900,a,test,0.3649789094924927,0.20864822680651482
7,900,b,test,0.38856399059295654,0.2465360192294563
7,900,c,test,0.23665224015712738,0.13802435286450312
7,900,d,test,0.2585844397544861,0.1716721721264595
7,900,e,test,0.3649443984031677,0.1969399236454257
7,900,f,test,0.3374726176261902,0.22090264465631035
7,900,g,test,0.31099194288253784,0.20142395886607575
7,900,h,test,0.28982457518577576,0.16963194741457044
7,900,i,test,0.26053640246391296,0.15941122493575935
7,1800,a,test,0.4170182943344116,0.31735796052050674
7,1800,b,test,0.2683560848236084,0.16026427081326727
7,1800,c,test,0.36075034737586975,0.24460453778643584
7,1800,d,test,0.30763840675354004,0.21148365692447094
7,1800,e,test,0.3479398190975189,0.1707177011354859
7,1800,f,test,0.35573410987854004,0.23925102384392413
7,1800,g,test,0.3371313810348511,0.1646408747638478
7,1800,h,test,0.33543860912323,0.1961990901950743
7,1800,i,test,0.4106002449989319,0.2793881623094929
7,2700,a,test,0.4233473837375641,0.27564630696202624
7,2700,b,test,0.4061078727245331,0.2809007119785391
7,2700,c,test,0.32756131887435913,0.18799365631957946
7,2700,d,test,0.3658023774623871,0.23750754953576655
7,2700,e,test,0.38194897770881653,0.22143945755382968
7,2700,f,test,0.3396639823913574,0.22330008805149482
7,2700,g,test,0.3491957187652588,0.1710447897160138
7,2700,h,test,0.33543860912323,0.19876151588381805
7,2700,i,test,0.38952746987342834,0.25437369871922344
7,3600,a,test,0.46202531456947327,0.3561031711330136
7,3600,b,test,0.41845354437828064,0.29055788145527794
7,3600,c,test,0.34343433380126953,0.19635989250545607
7,3600,d,test,0.37070778012275696,0.23623995419026303
7,3600,e,test,0.41595813632011414,0.2696696791923429
7,3600,f,test,0.3447771966457367,0.23900613553756314
7,3600,g,test,0.3485254645347595,0.1728133224519762
7,3600,h,test,0.4182456135749817,0.2943086816770169
7,3600,i,test,0.401660293340683,0.2645128733004673
