seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,c,1.816028118133545,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,e,1.7984426021575928,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,h,1.8332436084747314,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,g,1.8011835217475891,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,h,1.8422086238861084,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,d,1.7542585730552673,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,c,1.8194931745529175,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,e,1.8041986227035522,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,f,1.7788432836532593,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,d,1.8106187582015991,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,h,1.7645680904388428,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,c,1.804593563079834,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,b,1.7199251055717468,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,a,1.7735687494277954,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,f,1.7774526476860046,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,d,1.7630890607833862,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,b,1.7686694264411926,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,i,1.7530890703201294,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,c,1.8223354816436768,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,e,1.8037033081054688,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,h,1.7464033365249634,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,f,1.7689247131347656,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,b,1.8109151124954224,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,a,1.7284126281738281,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,b,1.773362934589386,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,a,1.7741706371307373,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,f,1.8156311511993408,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,i,1.7898470759391785,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,g,1.8413496613502502,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,e,1.8155310153961182,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,b,1.7702945470809937,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,i,1.7944442629814148,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,420,f,1.7443922758102417,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,420,e,1.78732430934906,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,480,b,1.76876699924469,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,480,i,1.7565271258354187,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,500,g,1.7966043949127197,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,500,e,1.829757809638977,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,540,h,1.7794641256332397,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,540,f,1.7290563583374023,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,b,1.7808959484100342,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,560,a,1.804981768131256,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,f,1.7689732909202576,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,d,1.7764947414398193,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,b,1.7199646830558777,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,a,1.8011754751205444,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,600,i,1.7478727102279663,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,600,a,1.770495355129242,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,660,i,1.724856972694397,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,660,a,1.7090413570404053,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,g,1.7733352184295654,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,680,e,1.7173097133636475,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,h,1.7364319562911987,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,d,1.7239375710487366,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,g,1.8024815320968628,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,c,1.797866940498352,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,820,f,1.7604858875274658,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,820,a,1.81322580575943,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,b,1.7456664443016052,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,860,a,1.761971652507782,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,880,c,1.8064247965812683,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,880,e,1.7689200639724731,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,960,g,1.8146095275878906,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,960,c,1.772987723350525,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,960,b,1.771319329738617,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,960,i,1.7770767509937286,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,960,a,1.7454922199249268,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1060,b,1.7652252912521362,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1060,d,1.79248508810997,4,14,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1060,a,1.7300775647163391,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1080,i,1.8550332188606262,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1080,a,1.7614412903785706,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1120,f,1.7373288869857788,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1120,d,1.7259114384651184,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1120,b,1.758967936038971,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1120,i,1.77113676071167,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1200,i,1.748328983783722,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1200,a,1.7334911227226257,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1220,f,1.786828875541687,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1220,d,1.7642474174499512,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1220,i,1.7566392421722412,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1220,c,1.7705731391906738,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,f,1.7333380579948425,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,d,1.7191780805587769,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,b,1.7559799551963806,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,a,1.7260742783546448,4,30,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1240,c,1.7835816740989685,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1320,g,1.7527661323547363,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1320,e,1.7615132927894592,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1320,i,1.7247526049613953,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1320,a,1.6781511306762695,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1360,g,1.7343342900276184,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1360,d,1.706950604915619,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1360,i,1.6848400235176086,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1360,a,1.7152145504951477,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1380,g,1.7179642915725708,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1380,c,1.7825269103050232,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1400,i,1.699718713760376,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1400,a,1.6829125881195068,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1400,c,1.764464259147644,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1400,e,1.7606219053268433,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1420,i,1.7180576920509338,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1420,a,1.6170448660850525,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1460,h,1.813994824886322,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1460,f,1.7100812792778015,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1620,f,1.7168949842453003,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1620,d,1.7368680834770203,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1640,f,1.6927769780158997,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1640,d,1.7059276700019836,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1640,i,1.6671055555343628,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1640,a,1.6875104904174805,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1660,h,1.7740491032600403,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1660,f,1.7085675597190857,4,32,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1660,d,1.6920883059501648,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1660,g,1.7521130442619324,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1660,c,1.7438613772392273,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,h,1.753804624080658,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,f,1.692880392074585,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,g,1.75151926279068,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,c,1.770414113998413,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,b,1.7069973349571228,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,a,1.6933286786079407,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1700,h,1.7051135301589966,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1700,d,1.7093600630760193,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1720,f,1.7398868799209595,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1720,e,1.752681016921997,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1760,b,1.7335461378097534,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1760,a,1.7047309279441833,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1780,d,1.7129666209220886,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1780,e,1.73211270570755,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1800,g,1.7637798190116882,4,26,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1800,c,1.7476146817207336,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1800,a,1.6697307229042053,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1820,b,1.7447752356529236,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1820,e,1.752567708492279,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1820,i,1.660645842552185,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
