seed,time,requester_id,peer_id,details
7,0,c,e,"{""agreement"": 0.3316980302333832, ""completed"": true}"
7,0,e,c,"{""agreement"": 0.4090381860733032, ""completed"": true}"
7,20,h,g,"{""agreement"": 0.20548126101493835, ""completed"": true}"
7,20,g,h,"{""agreement"": -0.47052696347236633, ""completed"": true}"
7,40,h,d,"{""agreement"": 0.09828654676675797, ""completed"": true}"
7,40,d,h,"{""agreement"": 0.6721438765525818, ""completed"": true}"
7,40,c,e,"{""agreement"": -0.2339690923690796, ""completed"": true}"
7,40,e,c,"{""agreement"": 0.1458103209733963, ""completed"": true}"
7,100,f,d,"{""agreement"": 0.24807007610797882, ""completed"": true}"
7,100,d,f,"{""agreement"": 0.023163802921772003, ""completed"": true}"
7,140,h,c,"{""agreement"": -0.06742031872272491, ""completed"": true}"
7,140,c,h,"{""agreement"": 0.5852707028388977, ""completed"": true}"
7,140,b,a,"{""agreement"": 0.13531343638896942, ""completed"": true}"
7,140,a,b,"{""agreement"": 0.4329788088798523, ""completed"": true}"
7,160,f,d,"{""agreement"": -0.13319414854049683, ""completed"": true}"
7,160,d,f,"{""agreement"": 0.028707779943943024, ""completed"": true}"
7,180,b,i,"{""agreement"": 0.05385207012295723, ""completed"": true}"
7,180,i,b,"{""agreement"": 0.024435294792056084, ""completed"": true}"
7,180,c,e,"{""agreement"": -0.03412500396370888, ""completed"": true}"
7,180,e,c,"{""agreement"": 0.15590140223503113, ""completed"": true}"
7,220,h,f,"{""agreement"": 0.35282284021377563, ""completed"": true}"
7,220,f,h,"{""agreement"": 0.35473594069480896, ""completed"": true}"
7,260,b,a,"{""agreement"": 0.002473703818395734, ""completed"": true}"
7,260,a,b,"{""agreement"": 0.18350626528263092, ""completed"": true}"
7,280,b,a,"{""agreement"": -0.02458888478577137, ""completed"": true}"
7,280,a,b,"{""agreement"": 0.6530781984329224, ""completed"": true}"
7,340,f,i,"{""agreement"": -0.1446228176355362, ""completed"": true}"
7,340,i,f,"{""agreement"": 0.45145103335380554, ""completed"": true}"
7,340,g,e,"{""agreement"": 0.34658339619636536, ""completed"": true}"
