seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.12376933544874191,0.06743271433945487
7,0,b,test,0.21832358837127686,0.08933864851151313
7,0,c,test,0.22005772590637207,0.13433917024240993
7,0,d,test,0.14505957067012787,0.07322672617046626
7,0,e,test,0.2177894115447998,0.1010250270949094
7,0,f,test,0.19284148514270782,0.07944344731934942
7,0,g,test,0.15214477479457855,0.0896970262718692
7,0,h,test,0.14456140995025635,0.08590979275472622
7,0,i,test,0.15134099125862122,0.0926768154023423
7,900,a,test,0.35513362288475037,0.2873796374501985
7,900,b,test,0.27225470542907715,0.1290893015030946
7,900,c,test,0.31457430124282837,0.19852774589874725
7,900,d,test,0.2578836679458618,0.15036226593211974
7,900,e,test,0.20994113385677338,0.08163558092646453
7,900,f,test,0.295105904340744,0.1913048636097687
7,900,g,test,0.3344503939151764,0.190046347723922
7,900,h,test,0.3073684275150299,0.17876286763270513
7,900,i,test,0.21775223314762115,0.1001483718055481
7,1800,a,test,0.37763711810112,0.22682041334385208
7,1800,b,test,0.35087719559669495,0.1840456584839184
7,1800,c,test,0.3499278426170349,0.2110086250427287
7,1800,d,test,0.3805185556411743,0.23220485353609044
7,1800,e,test,0.31523871421813965,0.20426288329665773
7,1800,f,test,0.336011677980423,0.26330739983803203
7,1800,g,test,0.3418230414390564,0.17248547926551952
7,1800,h,test,0.32491227984428406,0.16611921640917196
7,1800,i,test,0.34802043437957764,0.2370447745675145
7,2700,a,test,0.38396623730659485,0.23048795875964068
7,2700,b,test,0.401559442281723,0.24839803279486297
7,2700,c,test,0.3484848439693451,0.18514921380416896
7,2700,d,test,0.3784162700176239,0.2484804405032769
7,2700,e,test,0.44342708587646484,0.287546416500949
7,2700,f,test,0.38495251536369324,0.29747747006480524
7,2700,g,test,0.35053619742393494,0.17353788447642335
7,2700,h,test,0.32140350341796875,0.19267750865420363
7,2700,i,test,0.38441890478134155,0.28955923206192336
7,3600,a,test,0.37271448969841003,0.25506573493056933
7,3600,b,test,0.30799219012260437,0.19016241923716357
7,3600,c,test,0.3477633595466614,0.1865975453203762
7,3600,d,test,0.37351086735725403,0.19508301691781563
7,3600,e,test,0.4362328350543976,0.2927709453192398
7,3600,f,test,0.37764790654182434,0.3027380786618146
7,3600,g,test,0.3545576333999634,0.20464699532131114
7,3600,h,test,0.36210525035858154,0.22343995324614604
7,3600,i,test,0.43869730830192566,0.2946741731656603
7,4500,a,test,0.38959211111068726,0.30471189116843406
7,4500,b,test,0.357374906539917,0.22878900462197502
7,4500,c,test,0.33694082498550415,0.176126568466994
7,4500,d,test,0.39243167638778687,0.24848840397157898
7,4500,e,test,0.39633747935295105,0.2544711122499989
7,4500,f,test,0.4477720856666565,0.4062737152935956
7,4500,g,test,0.3565683662891388,0.20101458801848596
7,4500,h,test,0.3557894825935364,0.21633633861622115
7,4500,i,test,0.4393358826637268,0.2969141903905348
7,5400,a,test,0.39803093671798706,0.3022264552697534
7,5400,b,test,0.39376217126846313,0.2523803189246446
7,5400,c,test,0.3398268520832062,0.17666378059598245
7,5400,d,test,0.39103013277053833,0.2683316274394478
7,5400,e,test,0.4617396891117096,0.3085957064910397
7,5400,f,test,0.46749451756477356,0.4276111169113402
7,5400,g,test,0.3512064218521118,0.17770998573571095
7,5400,h,test,0.43929824233055115,0.34584431190967635
7,5400,i,test,0.43422731757164,0.2940757242901492
7,6300,a,test,0.42686358094215393,0.28812396450586925
7,6300,b,test,0.41065627336502075,0.28237433915543836
7,6300,c,test,0.35930734872817993,0.21445726269504242
7,6300,d,test,0.37351086735725403,0.21688162205153202
7,6300,e,test,0.4316546618938446,0.2930564145232116
7,6300,f,test,0.4653031527996063,0.4107250231857173
7,6300,g,test,0.34785524010658264,0.17664780499156083
7,6300,h,test,0.4554385840892792,0.3754315272514052
7,6300,i,test,0.44508302211761475,0.30364175048490505
7,7200,a,test,0.4486638605594635,0.3463977896431065
7,7200,b,test,0.45614033937454224,0.29477276491278553
7,7200,c,test,0.38383838534355164,0.26143614010398686
7,7200,d,test,0.40784862637519836,0.2809538189243724
7,7200,e,test,0.4591236114501953,0.29802130339738503
7,7200,f,test,0.4550766944885254,0.41166746936936244
7,7200,g,test,0.34986594319343567,0.1744361356585615
7,7200,h,test,0.4196491241455078,0.3080912115546018
7,7200,i,test,0.44508302211761475,0.29460747014482963
7,8100,a,test,0.4542897343635559,0.34985212368542434
7,8100,b,test,0.45419102907180786,0.2930694314596045
7,8100,c,test,0.42424243688583374,0.3338407016280847
7,8100,d,test,0.41275402903556824,0.2792160652372186
7,8100,e,test,0.5258339047431946,0.4008439299452604
7,8100,f,test,0.4360847473144531,0.3667902970771195
7,8100,g,test,0.3491957187652588,0.18523792664552582
7,8100,h,test,0.421754390001297,0.31200314199739027
7,8100,i,test,0.45146870613098145,0.30496728933252254
7,9000,a,test,0.4374120831489563,0.35168251635426584
7,9000,b,test,0.45354124903678894,0.28898529142986856
7,9000,c,test,0.4343434274196625,0.34395586679227397
7,9000,d,test,0.38402241468429565,0.2283615999534967
7,9000,e,test,0.4316546618938446,0.30874436741519296
7,9000,f,test,0.4470416307449341,0.3918416540582663
7,9000,g,test,0.37198391556739807,0.23522374349908579
7,9000,h,test,0.47017544507980347,0.36269556367422134
7,9000,i,test,0.45657727122306824,0.30942923588560034
7,9900,a,test,0.4641350209712982,0.4219217601116043
7,9900,b,test,0.44834306836128235,0.2864404399012533
7,9900,c,test,0.44011545181274414,0.35993082774659757
7,9900,d,test,0.3938332200050354,0.25500744130761466
7,9900,e,test,0.49705690145492554,0.35709982800251255
7,9900,f,test,0.41563186049461365,0.34286280679381603
7,9900,g,test,0.3713136613368988,0.2394262253432237
7,9900,h,test,0.4442105293273926,0.33373011675122893
7,9900,i,test,0.4623243808746338,0.3182431329271816
7,10800,a,test,0.4803094267845154,0.4660082469677564
7,10800,b,test,0.46133852005004883,0.3245397991685603
7,10800,c,test,0.39898988604545593,0.28529692024523834
7,10800,d,test,0.39523476362228394,0.23500000330646129
7,10800,e,test,0.5166775584220886,0.4074172536699434
7,10800,f,test,0.4470416307449341,0.38230502067931066
