seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,a,1.8597581386566162,2,2,
7,0,b,1.821827471256256,2,2,
7,0,c,1.7688507437705994,2,2,
7,0,d,1.7856345176696777,2,2,
7,0,e,1.796581506729126,2,2,
7,0,f,1.8339264392852783,2,2,
7,0,g,1.7721988558769226,2,2,
7,0,h,1.8500813245773315,2,2,
7,0,i,1.8098152875900269,2,2,
7,300,a,1.7907578349113464,2,7,
7,300,b,1.7740207314491272,2,8,
7,300,c,1.8163894414901733,2,8,
7,300,d,1.757401943206787,2,7,
7,300,e,1.768139123916626,2,7,
7,300,f,1.786473274230957,2,7,
7,300,g,1.7958131432533264,2,5,
7,300,h,1.7375520467758179,2,8,
7,300,i,1.823602557182312,2,5,
7,600,a,1.7388601303100586,2,11,
7,600,b,1.8067920804023743,2,14,
7,600,c,1.692446231842041,2,10,
7,600,d,1.7890000939369202,2,10,
7,600,e,1.7821133732795715,2,12,
7,600,f,1.750938057899475,2,13,
7,600,g,1.7675687074661255,2,9,
7,600,h,1.7549775838851929,2,11,
7,600,i,1.7582871913909912,2,10,
7,900,a,1.7524447441101074,2,17,
7,900,b,1.771458387374878,2,17,
7,900,c,1.7692976593971252,2,14,
7,900,d,1.705031394958496,2,13,
7,900,e,1.7290195226669312,2,16,
7,900,f,1.7294397354125977,2,16,
7,900,g,1.7744457125663757,2,13,
7,900,h,1.7777662873268127,2,14,
7,900,i,1.7687153816223145,2,14,
7,1200,a,1.7587503790855408,2,22,
7,1200,b,1.7477465867996216,2,22,
7,1200,c,1.760822355747223,2,17,
7,1200,d,1.7607215642929077,2,17,
7,1200,e,1.7619668245315552,2,18,
7,1200,f,1.7491141557693481,2,19,
7,1200,g,1.7889798283576965,2,16,
7,1200,h,1.8076568841934204,2,16,
7,1200,i,1.7325007319450378,2,19,
7,1500,a,1.6730109453201294,2,30,
7,1500,b,1.7404823303222656,2,25,
7,1500,c,1.7346441149711609,2,23,
7,1500,d,1.7700013518333435,2,22,
7,1500,e,1.7420939803123474,2,22,
7,1500,f,1.7123004794120789,2,24,
7,1500,g,1.785926342010498,2,21,
7,1500,h,1.7954382300376892,2,19,
7,1500,i,1.7497594952583313,2,27,
7,1800,a,1.6980546712875366,2,35,
7,1800,b,1.736253261566162,2,29,
7,1800,c,1.8082857131958008,2,27,
7,1800,d,1.7761568427085876,2,29,
7,1800,e,1.708348035812378,2,26,
7,1800,f,1.7225356101989746,2,31,
7,1800,g,1.7728644013404846,2,25,
7,1800,h,1.7812660932540894,2,24,
7,1800,i,1.666383981704712,2,30,
7,2100,a,1.698190689086914,2,42,
7,2100,b,1.7592564225196838,2,35,
7,2100,c,1.733763337135315,2,34,
7,2100,d,1.697487711906433,2,33,
7,2100,e,1.7384459972381592,2,30,
7,2100,f,1.6875800490379333,2,35,
7,2100,g,1.7462005019187927,2,29,
7,2100,h,1.681858241558075,2,27,
7,2100,i,1.667754888534546,2,36,
7,2400,a,1.6106845140457153,2,49,
7,2400,b,1.7525115013122559,2,39,
7,2400,c,1.731586515903473,2,36,
7,2400,d,1.6808084845542908,2,39,
7,2400,e,1.6610646843910217,2,32,
7,2400,f,1.7024995684623718,2,44,
7,2400,g,1.6865248680114746,2,33,
7,2400,h,1.7069284915924072,2,34,
7,2400,i,1.6072505712509155,2,40,
7,2700,a,1.6558836698532104,2,55,
7,2700,b,1.7671884894371033,2,45,
7,2700,c,1.7023454904556274,2,39,
7,2700,d,1.680625081062317,2,45,
7,2700,e,1.7141780853271484,2,36,
7,2700,f,1.705085813999176,2,51,
7,2700,g,1.7240949869155884,2,38,
7,2700,h,1.6781467199325562,2,40,
7,2700,i,1.657459318637848,2,47,
7,3000,a,1.717631757259369,2,58,
7,3000,b,1.7433959245681763,2,48,
7,3000,c,1.7813555002212524,2,43,
7,3000,d,1.6365330219268799,2,51,
7,3000,e,1.676918089389801,2,41,
7,3000,f,1.7049334049224854,2,54,
7,3000,g,1.7293480038642883,2,43,
7,3000,h,1.7189195156097412,2,44,
7,3000,i,1.5816962122917175,2,51,
7,3300,a,1.6502167582511902,2,63,
7,3300,b,1.7503702044487,2,51,
7,3300,c,1.7662173509597778,2,49,
7,3300,d,1.6092398762702942,2,56,
7,3300,e,1.710340142250061,2,45,
7,3300,f,1.703611671924591,2,59,
7,3300,g,1.7290406823158264,2,47,
7,3300,h,1.697342336177826,2,49,
7,3300,i,1.6218949556350708,2,54,
7,3600,a,1.5948953032493591,2,67,
7,3600,b,1.6934043765068054,2,55,
7,3600,c,1.7432342767715454,2,52,
7,3600,d,1.5983759760856628,2,61,
7,3600,e,1.621563732624054,2,49,
7,3600,f,1.6487977504730225,2,62,
7,3600,g,1.6526891589164734,2,52,
7,3600,h,1.6621988415718079,2,53,
7,3600,i,1.6234608888626099,2,56,
7,3900,a,1.5629874467849731,2,70,
7,3900,b,1.730638027191162,2,57,
7,3900,c,1.740395724773407,2,60,
7,3900,d,1.617121696472168,2,64,
7,3900,e,1.6172005534172058,2,56,
7,3900,f,1.6246631145477295,2,66,
7,3900,g,1.6310476660728455,2,57,
7,3900,h,1.7123109102249146,2,56,
7,3900,i,1.717020034790039,2,59,
7,4200,a,1.569230079650879,2,72,
7,4200,b,1.7671692371368408,2,61,
7,4200,c,1.68099045753479,2,65,
7,4200,d,1.617579996585846,2,68,
7,4200,e,1.6628564596176147,2,61,
7,4200,f,1.6408419609069824,2,73,
7,4200,g,1.644774317741394,2,62,
7,4200,h,1.6594513654708862,2,62,
7,4200,i,1.5893789529800415,2,63,
7,4500,a,1.5556005239486694,2,79,
7,4500,b,1.6980400085449219,2,65,
7,4500,c,1.693786859512329,2,70,
7,4500,d,1.5689556002616882,2,75,
7,4500,e,1.620422124862671,2,65,
7,4500,f,1.600028395652771,2,79,
7,4500,g,1.6930660009384155,2,65,
7,4500,h,1.61234712600708,2,66,
7,4500,i,1.6443296670913696,2,67,
7,4800,a,1.5693341493606567,2,81,
7,4800,b,1.703885555267334,2,70,
7,4800,c,1.7136361598968506,2,74,
7,4800,d,1.525469958782196,2,81,
7,4800,e,1.5909157395362854,2,71,
7,4800,f,1.6442382335662842,2,83,
7,4800,g,1.645487666130066,2,70,
7,4800,h,1.586332619190216,2,72,
7,4800,i,1.5818076729774475,2,72,
7,5100,a,1.5318450927734375,2,86,
7,5100,b,1.6752395629882812,2,73,
7,5100,c,1.6575957536697388,2,77,
7,5100,d,1.5732580423355103,2,84,
7,5100,e,1.6706200242042542,2,77,
7,5100,f,1.5853930711746216,2,86,
7,5100,g,1.6598315238952637,2,74,
7,5100,h,1.4885274171829224,2,78,
7,5100,i,1.6329187750816345,2,76,
