seed,time,requester_id,peer_id,details
7,0,h,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7699596881866455}"
7,0,i,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6535601019859314}"
7,0,g,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6760591864585876}"
7,0,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,0,b,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7707801461219788}"
7,0,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,20,h,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7699596881866455}"
7,20,i,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6535601019859314}"
7,20,g,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6760591864585876}"
7,20,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,20,b,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7707801461219788}"
7,20,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,40,h,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7699596881866455}"
7,40,i,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6535601019859314}"
7,40,g,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6760591864585876}"
7,40,b,a,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.792464554309845}"
7,40,b,g,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7707801461219788}"
7,40,a,b,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6836529970169067}"
7,60,h,i,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.7699596881866455}"
7,60,i,h,"{""completed"": true, ""sgd_steps"": 2, ""similarity"": 0.6535601019859314}"
