seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,h,1.7173861265182495,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,i,1.7737994194030762,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,g,1.7632769346237183,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,b,1.7870538830757141,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,0,a,1.7994379997253418,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,h,1.7719776034355164,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,i,1.805775761604309,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,g,1.7846683859825134,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,b,1.8140490353107452,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,20,a,1.8647791743278503,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,h,1.8007384538650513,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,i,1.8073665499687195,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,g,1.7904359102249146,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,b,1.803363710641861,4,12,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,a,1.7702093124389648,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,h,1.7256022691726685,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,i,1.7911125421524048,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,g,1.747778594493866,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,b,1.7783482670783997,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,a,1.7565209865570068,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,g,1.7647336721420288,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,b,1.774194359779358,4,20,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,a,1.762854516506195,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,g,1.8187307119369507,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,b,1.7685815393924713,4,24,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,100,a,1.7572870254516602,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,g,1.8531076908111572,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,b,1.7364252209663391,4,28,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,120,a,1.7813612222671509,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,g,1.7376800775527954,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,c,1.772758662700653,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,h,1.7487165331840515,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,f,1.797769546508789,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,g,1.7416256070137024,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,c,1.7596515417099,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,h,1.753514051437378,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,f,1.8038027882575989,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,g,1.7359221577644348,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,c,1.7976046204566956,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,h,1.7753826677799225,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,220,f,1.7966274619102478,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,e,1.8107569217681885,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,g,1.7347356081008911,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,c,1.8324204087257385,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
