seed,time,requester_id,peer_id,details
7,0,h,i,"{""agreement"": 0.5426677465438843, ""completed"": true}"
7,0,i,h,"{""agreement"": 0.18377932906150818, ""completed"": true}"
7,0,g,b,"{""agreement"": 0.2270835041999817, ""completed"": true}"
7,0,b,a,"{""agreement"": -0.0008848819998092949, ""completed"": true}"
7,0,a,b,"{""agreement"": 0.026776719838380814, ""completed"": true}"
7,20,h,i,"{""agreement"": 0.4024268090724945, ""completed"": true}"
7,20,i,h,"{""agreement"": 0.05416937917470932, ""completed"": true}"
7,20,g,b,"{""agreement"": 0.15772505104541779, ""completed"": true}"
7,20,b,g,"{""agreement"": 0.07193688303232193, ""completed"": true}"
7,20,a,b,"{""agreement"": 0.717272937297821, ""completed"": true}"
7,40,h,i,"{""agreement"": 0.4928337037563324, ""completed"": true}"
7,40,i,h,"{""agreement"": 0.2290029078722, ""completed"": true}"
7,40,g,b,"{""agreement"": -0.18469665944576263, ""completed"": true}"
7,40,b,g,"{""agreement"": 0.11055710911750793, ""completed"": true}"
7,40,a,b,"{""agreement"": -0.2320176362991333, ""completed"": true}"
7,60,h,i,"{""agreement"": 0.09722476452589035, ""completed"": true}"
7,60,i,h,"{""agreement"": 0.7367153167724609, ""completed"": true}"
7,60,g,b,"{""agreement"": 0.012307927012443542, ""completed"": true}"
7,60,b,a,"{""agreement"": 0.17790432274341583, ""completed"": true}"
7,60,a,b,"{""agreement"": 0.07679840922355652, ""completed"": true}"
7,80,g,b,"{""agreement"": 0.13089218735694885, ""completed"": true}"
7,80,b,a,"{""agreement"": 0.3743651211261749, ""completed"": true}"
7,80,a,b,"{""agreement"": 0.29824456572532654, ""completed"": true}"
7,100,g,b,"{""agreement"": 0.5829734206199646, ""completed"": true}"
7,100,b,a,"{""agreement"": 0.4524706304073334, ""completed"": true}"
7,100,a,b,"{""agreement"": 0.4650649428367615, ""completed"": true}"
7,120,g,b,"{""agreement"": -0.06494718044996262, ""completed"": true}"
7,120,b,a,"{""agreement"": 0.3583810329437256, ""completed"": true}"
7,120,a,b,"{""agreement"": 0.4315781593322754, ""completed"": true}"
7,160,g,c,"{""agreement"": -0.078343465924263, ""completed"": true}"
7,160,c,g,"{""agreement"": 0.58998042345047, ""completed"": true}"
7,180,h,f,"{""agreement"": 0.2515365183353424, ""completed"": true}"
7,180,f,h,"{""agreement"": 0.26026877760887146, ""completed"": true}"
7,180,g,c,"{""agreement"": 0.3681306540966034, ""completed"": true}"
7,180,c,g,"{""agreement"": 0.46910879015922546, ""completed"": true}"
7,200,h,f,"{""agreement"": 0.03564519062638283, ""completed"": true}"
7,200,f,h,"{""agreement"": -0.021620428189635277, ""completed"": true}"
7,200,g,c,"{""agreement"": 0.5376547574996948, ""completed"": true}"
7,200,c,g,"{""agreement"": -0.26909732818603516, ""completed"": true}"
7,220,h,e,"{""agreement"": 0.7713611125946045, ""completed"": true}"
7,220,f,h,"{""agreement"": 0.40397825837135315, ""completed"": true}"
7,220,e,h,"{""agreement"": -0.13442154228687286, ""completed"": true}"
7,220,g,c,"{""agreement"": 0.34143421053886414, ""completed"": true}"
7,220,c,g,"{""agreement"": 0.6545071601867676, ""completed"": true}"
7,240,h,e,"{""agreement"": -0.13356579840183258, ""completed"": true}"
7,240,f,h,"{""agreement"": -0.055544499307870865, ""completed"": true}"
7,240,e,h,"{""agreement"": 0.12258420884609222, ""completed"": true}"
7,240,g,c,"{""agreement"": -0.045147012919187546, ""completed"": true}"
7,240,c,g,"{""agreement"": 0.41367384791374207, ""completed"": true}"
7,260,h,e,"{""agreement"": -0.2011099010705948, ""completed"": true}"
7,260,f,h,"{""agreement"": 0.27276402711868286, ""completed"": true}"
7,260,e,h,"{""agreement"": 0.37701207399368286, ""completed"": true}"
7,260,g,c,"{""agreement"": 0.13762103021144867, ""completed"": true}"
7,260,c,g,"{""agreement"": -0.08651134371757507, ""completed"": true}"
7,280,h,f,"{""agreement"": 0.32693395018577576, ""completed"": true}"
7,280,f,h,"{""agreement"": -0.17813891172409058, ""completed"": true}"
7,280,e,h,"{""agreement"": 0.16933289170265198, ""completed"": true}"
7,280,g,c,"{""agreement"": 0.36278462409973145, ""completed"": true}"
7,280,c,g,"{""agreement"": -0.004311146214604378, ""completed"": true}"
7,300,h,e,"{""agreement"": 0.34199219942092896, ""completed"": true}"
7,300,e,h,"{""agreement"": -0.4484724998474121, ""completed"": true}"
7,300,g,c,"{""agreement"": 0.14751851558685303, ""completed"": true}"
7,300,c,g,"{""agreement"": -0.22846707701683044, ""completed"": true}"
7,320,g,c,"{""agreement"": 0.6334570646286011, ""completed"": true}"
7,320,c,g,"{""agreement"": 0.28092271089553833, ""completed"": true}"
7,340,g,c,"{""agreement"": 0.20822256803512573, ""completed"": true}"
7,340,c,g,"{""agreement"": 0.7082095146179199, ""completed"": true}"
7,360,g,c,"{""agreement"": 0.0732482373714447, ""completed"": true}"
7,360,c,g,"{""agreement"": 0.3144058287143707, ""completed"": true}"
7,380,g,c,"{""agreement"": 0.4830671548843384, ""completed"": true}"
7,380,c,g,"{""agreement"": 0.4807720184326172, ""completed"": true}"
7,400,g,c,"{""agreement"": -0.11083859205245972, ""completed"": true}"
7,400,c,g,"{""agreement"": 0.13884933292865753, ""completed"": true}"
7,400,i,a,"{""agreement"": 0.07442770153284073, ""completed"": true}"
7,400,a,i,"{""agreement"": 0.005023313220590353, ""completed"": true}"
7,420,g,c,"{""agreement"": 0.1998271495103836, ""completed"": true}"
7,420,c,g,"{""agreement"": 0.49909210205078125, ""completed"": true}"
7,420,i,a,"{""agreement"": 0.3147525489330292, ""completed"": true}"
7,420,a,i,"{""agreement"": 0.08389098197221756, ""completed"": true}"
7,600,d,i,"{""agreement"": 0.11508117616176605, ""completed"": true}"
7,600,i,d,"{""agreement"": -0.280930757522583, ""completed"": true}"
7,620,d,i,"{""agreement"": 0.11226435005664825, ""completed"": true}"
7,620,i,d,"{""agreement"": 0.025146635249257088, ""completed"": true}"
7,640,d,i,"{""agreement"": 0.7900761961936951, ""completed"": true}"
7,640,i,d,"{""agreement"": 0.4852985441684723, ""completed"": true}"
7,660,d,i,"{""agreement"": 0.5452854037284851, ""completed"": true}"
7,660,i,d,"{""agreement"": 0.31774336099624634, ""completed"": true}"
7,700,h,f,"{""agreement"": 0.5459311604499817, ""completed"": true}"
7,700,f,h,"{""agreement"": 0.05796480551362038, ""completed"": true}"
7,700,b,e,"{""agreement"": 0.6709004640579224, ""completed"": true}"
7,700,e,b,"{""agreement"": -0.269400030374527, ""completed"": true}"
7,720,h,f,"{""agreement"": -0.2678314745426178, ""completed"": true}"
7,720,f,h,"{""agreement"": 0.07372548431158066, ""completed"": true}"
7,720,b,e,"{""agreement"": -0.055647701025009155, ""completed"": true}"
7,720,e,b,"{""agreement"": 0.005444654729217291, ""completed"": true}"
7,740,h,f,"{""agreement"": 0.47471383213996887, ""completed"": true}"
7,740,f,h,"{""agreement"": 0.21698114275932312, ""completed"": true}"
7,740,b,e,"{""agreement"": 0.5449563264846802, ""completed"": true}"
7,740,e,b,"{""agreement"": 0.3472044765949249, ""completed"": true}"
7,760,h,f,"{""agreement"": 0.6786345839500427, ""completed"": true}"
7,760,f,h,"{""agreement"": -0.371568500995636, ""completed"": true}"
7,760,g,d,"{""agreement"": 0.43483442068099976, ""completed"": true}"
7,760,d,a,"{""agreement"": 0.15256860852241516, ""completed"": true}"
7,760,a,e,"{""agreement"": -0.14579430222511292, ""completed"": true}"
7,760,e,a,"{""agreement"": -0.46852660179138184, ""completed"": true}"
7,780,h,f,"{""agreement"": 0.3391297459602356, ""completed"": true}"
7,780,f,h,"{""agreement"": 0.3632417917251587, ""completed"": true}"
7,780,g,d,"{""agreement"": 0.02873862348496914, ""completed"": true}"
7,780,d,g,"{""agreement"": 0.4211602807044983, ""completed"": true}"
7,780,a,d,"{""agreement"": 0.6332133412361145, ""completed"": true}"
7,780,e,a,"{""agreement"": -0.028489133343100548, ""completed"": true}"
7,800,h,f,"{""agreement"": 0.6803655028343201, ""completed"": true}"
7,800,f,h,"{""agreement"": 0.617527186870575, ""completed"": true}"
7,800,c,h,"{""agreement"": 0.07407542318105698, ""completed"": true}"
7,800,g,d,"{""agreement"": 0.47920215129852295, ""completed"": true}"
7,800,d,g,"{""agreement"": -0.047736216336488724, ""completed"": true}"
7,800,a,d,"{""agreement"": 0.23442339897155762, ""completed"": true}"
7,800,e,a,"{""agreement"": 0.3370324671268463, ""completed"": true}"
7,820,h,f,"{""agreement"": -0.05105642229318619, ""completed"": true}"
7,820,f,h,"{""agreement"": 0.05612386018037796, ""completed"": true}"
7,820,c,h,"{""agreement"": -0.14576326310634613, ""completed"": true}"
7,820,g,d,"{""agreement"": 0.4346589148044586, ""completed"": true}"
7,820,d,a,"{""agreement"": -0.14513342082500458, ""completed"": true}"
7,820,a,d,"{""agreement"": 0.4593896269798279, ""completed"": true}"
7,840,h,c,"{""agreement"": 0.6926108598709106, ""completed"": true}"
7,840,c,h,"{""agreement"": -0.16687560081481934, ""completed"": true}"
7,840,g,d,"{""agreement"": 0.16241131722927094, ""completed"": true}"
7,840,d,g,"{""agreement"": 0.28499481081962585, ""completed"": true}"
7,840,a,d,"{""agreement"": -0.18484123051166534, ""completed"": true}"
7,860,h,c,"{""agreement"": 0.649255633354187, ""completed"": true}"
7,860,c,h,"{""agreement"": 0.041030026972293854, ""completed"": true}"
7,860,a,h,"{""agreement"": -0.02853728085756302, ""completed"": true}"
7,860,g,d,"{""agreement"": 0.5396820306777954, ""completed"": true}"
7,860,d,g,"{""agreement"": 0.40314415097236633, ""completed"": true}"
7,880,h,c,"{""agreement"": 0.5114130973815918, ""completed"": true}"
7,880,c,h,"{""agreement"": 0.07215141505002975, ""completed"": true}"
7,880,a,d,"{""agreement"": -0.09940560907125473, ""completed"": true}"
7,880,g,d,"{""agreement"": 0.16793860495090485, ""completed"": true}"
7,880,d,g,"{""agreement"": -0.2673979103565216, ""completed"": true}"
7,900,h,c,"{""agreement"": -0.0075426786206662655, ""completed"": true}"
7,900,c,h,"{""agreement"": 0.3302021920681, ""completed"": true}"
7,900,a,h,"{""agreement"": 0.6575416922569275, ""completed"": true}"
7,900,d,a,"{""agreement"": 0.6864485740661621, ""completed"": true}"
7,920,h,a,"{""agreement"": -0.05423007160425186, ""completed"": true}"
7,920,c,h,"{""agreement"": 0.24964101612567902, ""completed"": true}"
7,920,a,h,"{""agreement"": 0.017025897279381752, ""completed"": true}"
7,920,f,e,"{""agreement"": 0.3558206856250763, ""completed"": true}"
7,920,e,f,"{""agreement"": -0.24513618648052216, ""completed"": true}"
7,920,d,a,"{""agreement"": 0.4839356243610382, ""completed"": true}"
7,940,h,c,"{""agreement"": -0.16615505516529083, ""completed"": true}"
7,940,c,h,"{""agreement"": 0.1435742974281311, ""completed"": true}"
7,940,a,h,"{""agreement"": 0.1912723034620285, ""completed"": true}"
7,940,f,e,"{""agreement"": 0.4797016680240631, ""completed"": true}"
7,940,e,f,"{""agreement"": 0.06778816878795624, ""completed"": true}"
7,940,d,a,"{""agreement"": 0.6318503022193909, ""completed"": true}"
7,960,h,c,"{""agreement"": -0.41187289357185364, ""completed"": true}"
7,960,c,h,"{""agreement"": 0.1250513195991516, ""completed"": true}"
7,960,a,h,"{""agreement"": 0.1902242749929428, ""completed"": true}"
7,960,f,e,"{""agreement"": -0.10376697778701782, ""completed"": true}"
7,960,e,f,"{""agreement"": 0.005022697616368532, ""completed"": true}"
7,960,d,a,"{""agreement"": 0.6997750401496887, ""completed"": true}"
7,980,h,a,"{""agreement"": 0.40642791986465454, ""completed"": true}"
7,980,c,h,"{""agreement"": 0.2753311097621918, ""completed"": true}"
7,980,a,h,"{""agreement"": 0.09144595265388489, ""completed"": true}"
7,980,f,e,"{""agreement"": 0.18167437613010406, ""completed"": true}"
7,980,e,f,"{""agreement"": 0.2288915514945984, ""completed"": true}"
7,980,d,a,"{""agreement"": 0.22417345643043518, ""completed"": true}"
7,1000,h,a,"{""agreement"": -0.34470033645629883, ""completed"": true}"
7,1000,c,h,"{""agreement"": 0.2686116397380829, ""completed"": true}"
7,1000,a,h,"{""agreement"": 0.15991219878196716, ""completed"": true}"
7,1000,d,a,"{""agreement"": 0.5223577618598938, ""completed"": true}"
7,1020,h,a,"{""agreement"": 0.6599247455596924, ""completed"": true}"
7,1020,c,h,"{""agreement"": -0.11424443125724792, ""completed"": true}"
7,1020,a,h,"{""agreement"": 0.5092872381210327, ""completed"": true}"
7,1020,d,a,"{""agreement"": 0.231485977768898, ""completed"": true}"
7,1040,h,a,"{""agreement"": 0.14389373362064362, ""completed"": true}"
7,1040,c,h,"{""agreement"": -0.04770438373088837, ""completed"": true}"
7,1040,a,h,"{""agreement"": 0.08347437530755997, ""completed"": true}"
7,1040,d,a,"{""agreement"": 0.41764459013938904, ""completed"": true}"
7,1060,h,b,"{""agreement"": -0.1965574324131012, ""completed"": true}"
7,1060,b,h,"{""agreement"": 0.29680806398391724, ""completed"": true}"
7,1060,i,h,"{""agreement"": -0.2625667154788971, ""completed"": true}"
7,1060,c,h,"{""agreement"": 0.4044440984725952, ""completed"": true}"
7,1080,h,i,"{""agreement"": 0.18554285168647766, ""completed"": true}"
7,1080,b,h,"{""agreement"": 0.09387360513210297, ""completed"": true}"
7,1080,i,h,"{""agreement"": 0.4968429207801819, ""completed"": true}"
7,1080,c,h,"{""agreement"": 0.09312814474105835, ""completed"": true}"
7,1100,h,i,"{""agreement"": 0.3774333894252777, ""completed"": true}"
7,1100,b,h,"{""agreement"": 0.14690905809402466, ""completed"": true}"
7,1100,i,h,"{""agreement"": 0.628125786781311, ""completed"": true}"
7,1100,c,e,"{""agreement"": 0.29053714871406555, ""completed"": true}"
