seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,a,1.8597581386566162,2,2,
7,0,b,1.821827471256256,2,2,
7,0,c,1.7688507437705994,2,2,
7,0,d,1.7856345176696777,2,2,
7,0,e,1.796581506729126,2,2,
7,0,f,1.8339264392852783,2,2,
7,0,g,1.7721988558769226,2,2,
7,0,h,1.8500813245773315,2,2,
7,0,i,1.8098152875900269,2,2,
7,300,a,1.7957260012626648,2,4,
7,300,b,1.7647529244422913,2,4,
7,300,c,1.7781866192817688,2,4,
7,300,d,1.8160828351974487,2,4,
7,300,e,1.7744262218475342,2,4,
7,300,f,1.7815245389938354,2,4,
7,300,g,1.8170142769813538,2,4,
7,300,h,1.7750362157821655,2,4,
7,300,i,1.7728880643844604,2,4,
7,600,a,1.8200961351394653,2,6,
7,600,b,1.7706084251403809,2,6,
7,600,c,1.8026483654975891,2,6,
7,600,d,1.8053666353225708,2,6,
7,600,e,1.7271745204925537,2,6,
7,600,f,1.7633678913116455,2,6,
7,600,g,1.792052149772644,2,6,
7,600,h,1.7611868977546692,2,6,
7,600,i,1.8236063718795776,2,6,
7,900,a,1.7978777885437012,2,8,
7,900,b,1.7602739334106445,2,8,
7,900,c,1.7923349738121033,2,8,
7,900,d,1.7902990579605103,2,8,
7,900,e,1.7560244798660278,2,8,
7,900,f,1.747569978237152,2,8,
7,900,g,1.7673372626304626,2,8,
7,900,h,1.7483952641487122,2,8,
7,900,i,1.7847886085510254,2,8,
7,1200,a,1.788474440574646,2,10,
7,1200,b,1.7803793549537659,2,10,
7,1200,c,1.7596232891082764,2,10,
7,1200,d,1.7545686960220337,2,10,
7,1200,e,1.770125925540924,2,10,
7,1200,f,1.7777793407440186,2,10,
7,1200,g,1.782828152179718,2,10,
7,1200,h,1.7220276594161987,2,10,
7,1200,i,1.7437384128570557,2,10,
7,1500,a,1.736373245716095,2,12,
7,1500,b,1.7673926949501038,2,12,
7,1500,c,1.813618004322052,2,12,
7,1500,d,1.8181305527687073,2,12,
7,1500,e,1.7856497168540955,2,12,
7,1500,f,1.8306089639663696,2,12,
7,1500,g,1.7629242539405823,2,12,
7,1500,h,1.735416054725647,2,12,
7,1500,i,1.748457431793213,2,12,
7,1800,a,1.7529134154319763,2,14,
7,1800,b,1.743167757987976,2,14,
7,1800,c,1.670168936252594,2,14,
7,1800,d,1.785006046295166,2,14,
7,1800,e,1.7364002466201782,2,14,
7,1800,f,1.7868800163269043,2,14,
7,1800,g,1.7663496136665344,2,14,
7,1800,h,1.790743350982666,2,14,
7,1800,i,1.7510161399841309,2,14,
7,2100,a,1.734131932258606,2,16,
7,2100,b,1.8173089623451233,2,16,
7,2100,c,1.819299578666687,2,16,
7,2100,d,1.7274727821350098,2,16,
7,2100,e,1.7685019373893738,2,16,
7,2100,f,1.7544986009597778,2,16,
7,2100,g,1.760008990764618,2,16,
7,2100,h,1.7487301230430603,2,16,
7,2100,i,1.7483919858932495,2,16,
7,2400,a,1.763215184211731,2,18,
7,2400,b,1.7982722520828247,2,18,
7,2400,c,1.7699114680290222,2,18,
7,2400,d,1.6982686519622803,2,18,
7,2400,e,1.7709797024726868,2,18,
7,2400,f,1.8034949898719788,2,18,
7,2400,g,1.7668664455413818,2,18,
7,2400,h,1.7647122144699097,2,18,
7,2400,i,1.7379454374313354,2,18,
7,2700,a,1.761647880077362,2,20,
7,2700,b,1.7725013494491577,2,20,
7,2700,c,1.7598852515220642,2,20,
7,2700,d,1.759106695652008,2,20,
7,2700,e,1.7084124088287354,2,20,
7,2700,f,1.7378665804862976,2,20,
7,2700,g,1.7655957341194153,2,20,
7,2700,h,1.7706745862960815,2,20,
7,2700,i,1.748164415359497,2,20,
7,3000,a,1.810482680797577,2,22,
7,3000,b,1.7772871255874634,2,22,
7,3000,c,1.731868028640747,2,22,
7,3000,d,1.7777305841445923,2,22,
7,3000,e,1.7089813947677612,2,22,
7,3000,f,1.76958829164505,2,22,
7,3000,g,1.779501736164093,2,22,
7,3000,h,1.7981934547424316,2,22,
7,3000,i,1.7813946604728699,2,22,
7,3300,a,1.7898681163787842,2,24,
7,3300,b,1.7782838344573975,2,24,
7,3300,c,1.7565927505493164,2,24,
7,3300,d,1.7572317719459534,2,24,
7,3300,e,1.7371934652328491,2,24,
7,3300,f,1.7200548648834229,2,24,
7,3300,g,1.7553820610046387,2,24,
7,3300,h,1.7198395729064941,2,24,
7,3300,i,1.7546277046203613,2,24,
7,3600,a,1.747452437877655,2,26,
7,3600,b,1.7533820271492004,2,26,
7,3600,c,1.7645740509033203,2,26,
7,3600,d,1.7284331321716309,2,26,
7,3600,e,1.7368593215942383,2,26,
7,3600,f,1.7496767044067383,2,26,
7,3600,g,1.7455384135246277,2,26,
7,3600,h,1.7838265895843506,2,26,
7,3600,i,1.7713395357131958,2,26,
7,3900,a,1.7215742468833923,2,28,
7,3900,b,1.7891178131103516,2,28,
7,3900,c,1.8063623309135437,2,28,
7,3900,d,1.6994826793670654,2,28,
7,3900,e,1.7388635277748108,2,28,
7,3900,f,1.7332926392555237,2,28,
7,3900,g,1.6854860186576843,2,28,
7,3900,h,1.7392797470092773,2,28,
7,3900,i,1.7549337148666382,2,28,
7,4200,a,1.6904404163360596,2,30,
7,4200,b,1.7640596628189087,2,30,
7,4200,c,1.781956136226654,2,30,
7,4200,d,1.7394267320632935,2,30,
7,4200,e,1.7076364755630493,2,30,
7,4200,f,1.7644345164299011,2,30,
7,4200,g,1.7602105736732483,2,30,
7,4200,h,1.728411078453064,2,30,
7,4200,i,1.710687518119812,2,30,
7,4500,a,1.7023119926452637,2,32,
7,4500,b,1.7388939261436462,2,32,
7,4500,c,1.7395190000534058,2,32,
7,4500,d,1.7344558238983154,2,32,
7,4500,e,1.7403761744499207,2,32,
7,4500,f,1.7500343918800354,2,32,
7,4500,g,1.708246111869812,2,32,
7,4500,h,1.716988444328308,2,32,
7,4500,i,1.7522532939910889,2,32,
7,4800,a,1.7407679557800293,2,34,
7,4800,b,1.7498494386672974,2,34,
7,4800,c,1.7128587365150452,2,34,
7,4800,d,1.7297906279563904,2,34,
7,4800,e,1.7278324365615845,2,34,
7,4800,f,1.6978926062583923,2,34,
7,4800,g,1.7644996047019958,2,34,
7,4800,h,1.770866572856903,2,34,
7,4800,i,1.6793973445892334,2,34,
7,5100,a,1.7304187417030334,2,36,
7,5100,b,1.7299456000328064,2,36,
7,5100,c,1.7876712679862976,2,36,
7,5100,d,1.689960777759552,2,36,
7,5100,e,1.7312630414962769,2,36,
7,5100,f,1.6786828637123108,2,36,
7,5100,g,1.7408632636070251,2,36,
7,5100,h,1.7117626070976257,2,36,
