seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.1153305172920227,0.060360025856097864
7,0,b,test,0.23131904006004333,0.1084364473240431
7,0,c,test,0.1515151560306549,0.08735319517221708
7,0,d,test,0.13665030896663666,0.07049781355920968
7,0,e,test,0.18639633059501648,0.08199335019978023
7,0,f,test,0.19649378955364227,0.08634834458751312
7,0,g,test,0.1508042961359024,0.07490302946772816
7,0,h,test,0.12842105329036713,0.05762356903949428
7,0,i,test,0.13154533505439758,0.055394207997164796
7,900,a,test,0.3579465448856354,0.3152837973540778
7,900,b,test,0.3196881115436554,0.26707676239043837
7,900,c,test,0.24819624423980713,0.2100257656196799
7,900,d,test,0.31814995408058167,0.29754647425344766
7,900,e,test,0.4512753486633301,0.4056330337225753
7,900,f,test,0.2593133747577667,0.15229550675065331
7,900,g,test,0.1508042961359024,0.07490302946772816
7,900,h,test,0.27157893776893616,0.20132394095385509
7,900,i,test,0.3563218414783478,0.3039826584663086
7,1800,a,test,0.4528832733631134,0.3821669123825892
7,1800,b,test,0.32423651218414307,0.2852442860490479
7,1800,c,test,0.29870128631591797,0.24194824297080153
7,1800,d,test,0.3153468668460846,0.2960292819577824
7,1800,e,test,0.4728580713272095,0.4189990955471168
7,1800,f,test,0.3754565417766571,0.335958497753357
7,1800,g,test,0.3317694365978241,0.3037234301354369
7,1800,h,test,0.41192981600761414,0.3822333685916219
7,1800,i,test,0.3684546649456024,0.31455461800735124
7,2700,a,test,0.4528832733631134,0.3821669123825892
7,2700,b,test,0.37296944856643677,0.3307131305259721
7,2700,c,test,0.32756131887435913,0.27136192018943256
7,2700,d,test,0.39313244819641113,0.3832769124320419
7,2700,e,test,0.4807063341140747,0.4328987618524038
7,2700,f,test,0.42147552967071533,0.39847664730614674
7,2700,g,test,0.3887399435043335,0.31343827656227696
7,2700,h,test,0.4385964870452881,0.38731346718105103
7,2700,i,test,0.3684546649456024,0.31455461800735124
7,3600,a,test,0.4388185739517212,0.4156117114746453
7,3600,b,test,0.3827160596847534,0.32807776978815667
7,3600,c,test,0.4025973975658417,0.3518635211233732
7,3600,d,test,0.45199719071388245,0.41842772913569454
7,3600,e,test,0.5049051642417908,0.46393348628718406
7,3600,f,test,0.396639883518219,0.3717774597562659
