seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.11040787398815155,0.05405026925291594
7,0,b,test,0.23456789553165436,0.10732214201311825
7,0,c,test,0.21789321303367615,0.13783978267355482
7,0,d,test,0.14996495842933655,0.07429599770282741
7,0,e,test,0.2177894115447998,0.1010250270949094
7,0,f,test,0.19284148514270782,0.07944344731934942
7,0,g,test,0.15214477479457855,0.0896970262718692
7,0,h,test,0.17192982137203217,0.10669397148301062
7,0,i,test,0.13601532578468323,0.08660943238429324
7,900,a,test,0.3706047832965851,0.28180428748584824
7,900,b,test,0.40805718302726746,0.28304202680414703
7,900,c,test,0.341269850730896,0.22849634529592255
7,900,d,test,0.3889278173446655,0.2523811721466523
7,900,e,test,0.3996075987815857,0.251642165447999
7,900,f,test,0.2578524351119995,0.15835642021984178
7,900,g,test,0.26474529504776,0.17604468898692804
7,900,h,test,0.3347368538379669,0.18757768085968474
7,900,i,test,0.39846742153167725,0.2524062233589088
7,1800,a,test,0.39381152391433716,0.30669083161650534
7,1800,b,test,0.38336580991744995,0.24320507450832707
7,1800,c,test,0.35137084126472473,0.24235739962774383
7,1800,d,test,0.38402241468429565,0.22924587669586483
7,1800,e,test,0.45585349202156067,0.29256604542407655
7,1800,f,test,0.36596056818962097,0.27936163918879925
7,1800,g,test,0.3411528170108795,0.17356969145399462
7,1800,h,test,0.4624561369419098,0.3693533301140876
7,1800,i,test,0.4367816150188446,0.2954712019547807
7,2700,a,test,0.400140643119812,0.25509360033499456
7,2700,b,test,0.44574397802352905,0.28562168549658423
7,2700,c,test,0.35137084126472473,0.20591804446926773
7,2700,d,test,0.3742116391658783,0.25706847930967924
7,2700,e,test,0.4460431635379791,0.28326978069959213
7,2700,f,test,0.3805697560310364,0.3014082025133143
7,2700,g,test,0.3545576333999634,0.17660491442816809
7,2700,h,test,0.5256140232086182,0.4194302660509741
7,2700,i,test,0.4469987154006958,0.30269249113130053
7,3600,a,test,0.4170182943344116,0.2692307220762525
7,3600,b,test,0.44899284839630127,0.28750856781611844
7,3600,c,test,0.39177489280700684,0.28185071080343654
7,3600,d,test,0.3826208710670471,0.23512298545524998
7,3600,e,test,0.45192936062812805,0.2953794970165887
7,3600,f,test,0.42147552967071533,0.34293667098601904
7,3600,g,test,0.35053619742393494,0.18758819659419132
7,3600,h,test,0.5199999809265137,0.40880592264026366
7,3600,i,test,0.43742018938064575,0.2966005322414826
7,4500,a,test,0.424753874540329,0.33255172812364375
7,4500,b,test,0.42690059542655945,0.2791234030937974
7,4500,c,test,0.4365079402923584,0.3484414949783054
7,4500,d,test,0.404344767332077,0.2532479572846407
7,4500,e,test,0.5029430985450745,0.4011378557355633
7,4500,f,test,0.40905770659446716,0.3365227940857887
7,4500,g,test,0.35053619742393494,0.18294472612359733
7,4500,h,test,0.46877193450927734,0.35566812648131263
7,4500,i,test,0.4380587339401245,0.29686993922698696
7,5400,a,test,0.45358648896217346,0.39209469110889783
7,5400,b,test,0.43534761667251587,0.31275862062267185
7,5400,c,test,0.42496392130851746,0.33647171838564444
7,5400,d,test,0.3784162700176239,0.19200965728464814
7,5400,e,test,0.5487246513366699,0.4476433002788534
7,5400,f,test,0.3893352746963501,0.31568306457775974
7,5400,g,test,0.3538874089717865,0.18702076777505383
7,5400,h,test,0.43578946590423584,0.33076262654935235
7,5400,i,test,0.46998724341392517,0.3533763848524638
7,6300,a,test,0.4669479727745056,0.4152282623882817
7,6300,b,test,0.4691357910633087,0.34807925298071646
7,6300,c,test,0.3874458968639374,0.2666852550266922
7,6300,d,test,0.398037850856781,0.23900446047109225
7,6300,e,test,0.48201438784599304,0.3731954846535475
7,6300,f,test,0.40175309777259827,0.34117040381960256
7,6300,g,test,0.41487935185432434,0.30305425441276074
7,6300,h,test,0.4568420946598053,0.3837201861098798
7,6300,i,test,0.46424010396003723,0.3380374197221139
7,7200,a,test,0.4810126721858978,0.43694268661061786
7,7200,b,test,0.4554905891418457,0.29693009527401076
7,7200,c,test,0.43073591589927673,0.3255042009635045
7,7200,d,test,0.428871750831604,0.3126640211958087
7,7200,e,test,0.48201438784599304,0.3766904260109583
7,7200,f,test,0.4426588714122772,0.388943518346418
7,7200,g,test,0.3766756057739258,0.2387129331737998
7,7200,h,test,0.4842105209827423,0.39487393057727166
7,7200,i,test,0.48403576016426086,0.3833109800180709
7,8100,a,test,0.4873417615890503,0.377263773715093
7,8100,b,test,0.47823262214660645,0.32321322273580666
7,8100,c,test,0.4062049090862274,0.28299075953540725
7,8100,d,test,0.47792571783065796,0.415944976068977
7,8100,e,test,0.5101373195648193,0.4213013818039393
