seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,a,1.8597581386566162,2,2,
7,0,b,1.821827471256256,2,2,
7,0,c,1.7688507437705994,2,2,
7,0,d,1.7856345176696777,2,2,
7,0,e,1.796581506729126,2,2,
7,0,f,1.8339264392852783,2,2,
7,0,g,1.7721988558769226,2,2,
7,0,h,1.8500813245773315,2,2,
7,0,i,1.8098152875900269,2,2,
7,300,a,1.797991693019867,2,13,
7,300,b,1.8020737767219543,2,14,
7,300,c,1.7781866192817688,2,4,
7,300,d,1.7896699905395508,2,14,
7,300,e,1.7326598167419434,2,13,
7,300,f,1.7815245389938354,2,4,
7,300,g,1.8170142769813538,2,4,
7,300,h,1.8115313649177551,2,13,
7,300,i,1.8032272458076477,2,13,
7,600,a,1.7609270811080933,2,16,
7,600,b,1.7936586737632751,2,18,
7,600,c,1.8235552310943604,2,9,
7,600,d,1.7359974384307861,2,21,
7,600,e,1.7313953638076782,2,20,
7,600,f,1.7633678913116455,2,6,
7,600,g,1.792052149772644,2,6,
7,600,h,1.7436482310295105,2,15,
7,600,i,1.6995853781700134,2,20,
7,900,a,1.6965283751487732,2,27,
7,900,b,1.7387269735336304,2,35,
7,900,c,1.8221347332000732,2,23,
7,900,d,1.7086806893348694,2,31,
7,900,e,1.6779791116714478,2,33,
7,900,f,1.780567228794098,2,9,
7,900,g,1.7673372626304626,2,8,
7,900,h,1.7336141467094421,2,27,
7,900,i,1.7219595909118652,2,34,
7,1200,a,1.6537851095199585,2,41,
7,1200,b,1.7332271337509155,2,52,
7,1200,c,1.7426007986068726,2,40,
7,1200,d,1.680387794971466,2,33,
7,1200,e,1.6493157148361206,2,50,
7,1200,f,1.7248116731643677,2,17,
7,1200,g,1.782828152179718,2,10,
7,1200,h,1.6978457570075989,2,44,
7,1200,i,1.6698758006095886,2,51,
7,1500,a,1.6243385076522827,2,58,
7,1500,b,1.7568347454071045,2,59,
7,1500,c,1.7375463843345642,2,57,
7,1500,d,1.6577287316322327,2,35,
7,1500,e,1.6043643355369568,2,60,
7,1500,f,1.7230113744735718,2,30,
7,1500,g,1.7634156942367554,2,18,
7,1500,h,1.6097528338432312,2,61,
7,1500,i,1.599252700805664,2,68,
7,1800,a,1.557340145111084,2,64,
7,1800,b,1.7020582556724548,2,67,
7,1800,c,1.697810709476471,2,63,
7,1800,d,1.6765849590301514,2,43,
7,1800,e,1.6278055906295776,2,67,
7,1800,f,1.7222857475280762,2,47,
7,1800,g,1.728419005870819,2,28,
7,1800,h,1.6467013359069824,2,78,
7,1800,i,1.6113631129264832,2,81,
7,2100,a,1.6098010540008545,2,66,
7,2100,b,1.6152014136314392,2,84,
7,2100,c,1.7118916511535645,2,65,
7,2100,d,1.633753478527069,2,60,
7,2100,e,1.5784938335418701,2,75,
7,2100,f,1.6774351000785828,2,61,
7,2100,g,1.6762304902076721,2,45,
7,2100,h,1.5753597617149353,2,95,
7,2100,i,1.6273835897445679,2,85,
7,2400,a,1.6190565824508667,2,68,
7,2400,b,1.6391521692276,2,97,
7,2400,c,1.7451659440994263,2,67,
7,2400,d,1.5650160908699036,2,77,
7,2400,e,1.5497917532920837,2,77,
7,2400,f,1.609566569328308,2,71,
7,2400,g,1.6730416417121887,2,62,
7,2400,h,1.604754626750946,2,108,
7,2400,i,1.598115861415863,2,87,
7,2700,a,1.5603686571121216,2,70,
7,2700,b,1.657231330871582,2,104,
7,2700,c,1.6883100271224976,2,73,
7,2700,d,1.6145159006118774,2,91,
7,2700,e,1.5954192876815796,2,89,
7,2700,f,1.6523718237876892,2,78,
7,2700,g,1.6447956562042236,2,77,
7,2700,h,1.474831759929657,2,122,
7,2700,i,1.5273418426513672,2,89,
7,3000,a,1.622096061706543,2,79,
7,3000,b,1.6117023825645447,2,108,
7,3000,c,1.7229489088058472,2,88,
7,3000,d,1.618910789489746,2,94,
7,3000,e,1.4479154348373413,2,106,
7,3000,f,1.6608017683029175,2,82,
7,3000,g,1.6260936260223389,2,88,
7,3000,h,1.6010483503341675,2,139,
7,3000,i,1.4921090602874756,2,104,
7,3300,a,1.6893253326416016,2,90,
7,3300,b,1.685208022594452,2,111,
7,3300,c,1.668272316455841,2,91,
7,3300,d,1.4471051692962646,2,106,
7,3300,e,1.376678228378296,2,123,
7,3300,f,1.600077211856842,2,84,
7,3300,g,1.6077308654785156,2,100,
7,3300,h,1.4828649163246155,2,149,
7,3300,i,1.4362865686416626,2,114,
7,3600,a,1.4708582758903503,2,103,
7,3600,b,1.629368782043457,2,114,
7,3600,c,1.7377794981002808,2,93,
7,3600,d,1.5671099424362183,2,115,
7,3600,e,1.4255414009094238,2,135,
7,3600,f,1.664946973323822,2,90,
7,3600,g,1.5982964038848877,2,104,
7,3600,h,1.4656378626823425,2,153,
7,3600,i,1.4771212935447693,2,117,
7,3900,a,1.4875041842460632,2,119,
7,3900,b,1.6787644028663635,2,116,
7,3900,c,1.6663645505905151,2,96,
7,3900,d,1.4583929777145386,2,124,
7,3900,e,1.5602521896362305,2,144,
7,3900,f,1.5539042949676514,2,101,
7,3900,g,1.6306734681129456,2,114,
7,3900,h,1.4040478467941284,2,167,
7,3900,i,1.5252410173416138,2,119,
7,4200,a,1.4782177209854126,2,136,
7,4200,b,1.594911277294159,2,124,
7,4200,c,1.675392985343933,2,113,
7,4200,d,1.4100885391235352,2,141,
7,4200,e,1.5178718566894531,2,146,
7,4200,f,1.5855863690376282,2,117,
7,4200,g,1.5168915390968323,2,121,
7,4200,h,1.5022810101509094,2,169,
7,4200,i,1.4585196375846863,2,121,
7,4500,a,1.4748194217681885,2,139,
7,4500,b,1.5779696106910706,2,141,
7,4500,c,1.593428373336792,2,124,
7,4500,d,1.406092882156372,2,147,
7,4500,e,1.549514651298523,2,156,
7,4500,f,1.494030237197876,2,123,
7,4500,g,1.6216293573379517,2,125,
7,4500,h,1.286762535572052,2,171,
7,4500,i,1.3928135633468628,2,128,
7,4800,a,1.3889054656028748,2,147,
7,4800,b,1.5637043714523315,2,158,
7,4800,c,1.6439095735549927,2,132,
7,4800,d,1.458527147769928,2,149,
7,4800,e,1.2836101055145264,2,173,
7,4800,f,1.5149556398391724,2,127,
7,4800,g,1.5005221366882324,2,136,
7,4800,h,1.46254563331604,2,173,
7,4800,i,1.4241774082183838,2,145,
7,5100,a,1.4875280857086182,2,151,
7,5100,b,1.4910157918930054,2,174,
7,5100,c,1.6104484796524048,2,134,
7,5100,d,1.363625407218933,2,151,
7,5100,e,1.3122546672821045,2,187,
7,5100,f,1.4684253931045532,2,137,
7,5100,g,1.4837784171104431,2,138,
7,5100,h,1.3986743688583374,2,181,
