seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,a,1.8597581386566162,2,2,
7,0,b,1.821827471256256,2,2,
7,0,c,1.7688507437705994,2,2,
7,0,d,1.7856345176696777,2,2,
7,0,e,1.796581506729126,2,2,
7,0,f,1.8339264392852783,2,2,
7,0,g,1.7721988558769226,2,2,
7,0,h,1.8500813245773315,2,2,
7,0,i,1.8098152875900269,2,2,
7,300,a,1.7955484986305237,2,4,
7,300,b,1.7587416172027588,2,18,
7,300,c,1.7781866192817688,2,4,
7,300,d,1.817520022392273,2,4,
7,300,e,1.7751379013061523,2,4,
7,300,f,1.7815245389938354,2,4,
7,300,g,1.7734915018081665,2,9,
7,300,h,1.796719253063202,2,9,
7,300,i,1.7799843549728394,2,18,
7,600,a,1.7450445890426636,2,17,
7,600,b,1.8025765419006348,2,20,
7,600,c,1.7996610403060913,2,6,
7,600,d,1.7991052865982056,2,6,
7,600,e,1.729371190071106,2,6,
7,600,f,1.7542446851730347,2,17,
7,600,g,1.7664350867271423,2,11,
7,600,h,1.7529035210609436,2,11,
7,600,i,1.7123324871063232,2,20,
7,900,a,1.6819353699684143,2,34,
7,900,b,1.7491483688354492,2,30,
7,900,c,1.7809412479400635,2,8,
7,900,d,1.7822237610816956,2,16,
7,900,e,1.7564494013786316,2,8,
7,900,f,1.7718297243118286,2,34,
7,900,g,1.778820812702179,2,13,
7,900,h,1.7677892446517944,2,13,
7,900,i,1.7182870507240295,2,22,
7,1200,a,1.6693705320358276,2,46,
7,1200,b,1.7726713418960571,2,32,
7,1200,c,1.7504437565803528,2,10,
7,1200,d,1.7326164245605469,2,18,
7,1200,e,1.6880901455879211,2,18,
7,1200,f,1.6849685907363892,2,51,
7,1200,g,1.7644554376602173,2,15,
7,1200,h,1.7725303173065186,2,15,
7,1200,i,1.6821791529655457,2,32,
7,1500,a,1.663242518901825,2,48,
7,1500,b,1.7086763978004456,2,34,
7,1500,c,1.6703813076019287,2,13,
7,1500,d,1.711168646812439,2,20,
7,1500,e,1.6944661140441895,2,32,
7,1500,f,1.6847784519195557,2,56,
7,1500,g,1.7717836499214172,2,18,
7,1500,h,1.801520586013794,2,17,
7,1500,i,1.648240089416504,2,46,
7,1800,a,1.67238187789917,2,50,
7,1800,b,1.7590562105178833,2,36,
7,1800,c,1.823952317237854,2,15,
7,1800,d,1.7515495419502258,2,22,
7,1800,e,1.7019015550613403,2,34,
7,1800,f,1.6710927486419678,2,58,
7,1800,g,1.751067876815796,2,20,
7,1800,h,1.7161937355995178,2,19,
7,1800,i,1.659001111984253,2,48,
7,2100,a,1.6531766653060913,2,52,
7,2100,b,1.7138559222221375,2,38,
7,2100,c,1.765836477279663,2,17,
7,2100,d,1.7422643899917603,2,24,
7,2100,e,1.7214521765708923,2,36,
7,2100,f,1.6429305672645569,2,60,
7,2100,g,1.6791788339614868,2,22,
7,2100,h,1.7837191820144653,2,21,
7,2100,i,1.6352107524871826,2,50,
7,2400,a,1.6316983699798584,2,54,
7,2400,b,1.7417967319488525,2,40,
7,2400,c,1.765095591545105,2,19,
7,2400,d,1.6720720529556274,2,38,
7,2400,e,1.7340900301933289,2,38,
7,2400,f,1.66476708650589,2,62,
7,2400,g,1.7663512229919434,2,24,
7,2400,h,1.7378820776939392,2,35,
7,2400,i,1.6139702796936035,2,52,
7,2700,a,1.740162968635559,2,56,
7,2700,b,1.7502331733703613,2,42,
7,2700,c,1.7373446822166443,2,21,
7,2700,d,1.7333989143371582,2,43,
7,2700,e,1.6947266459465027,2,40,
7,2700,f,1.666904330253601,2,70,
7,2700,g,1.718626618385315,2,32,
7,2700,h,1.6805952191352844,2,40,
7,2700,i,1.6480642557144165,2,54,
7,3000,a,1.7050501108169556,2,58,
7,3000,b,1.7302773594856262,2,49,
7,3000,c,1.780300498008728,2,24,
7,3000,d,1.6697553396224976,2,46,
7,3000,e,1.7226654291152954,2,42,
7,3000,f,1.607240915298462,2,78,
7,3000,g,1.66116064786911,2,40,
7,3000,h,1.6420490145683289,2,42,
7,3000,i,1.6416136026382446,2,61,
7,3300,a,1.6390718817710876,2,60,
7,3300,b,1.679162621498108,2,64,
7,3300,c,1.8100543022155762,2,26,
7,3300,d,1.639197826385498,2,50,
7,3300,e,1.6916412115097046,2,44,
7,3300,f,1.6494539976119995,2,80,
7,3300,g,1.7118288278579712,2,42,
7,3300,h,1.6800780296325684,2,44,
7,3300,i,1.5398104190826416,2,74,
7,3600,a,1.6444342136383057,2,62,
7,3600,b,1.7032513618469238,2,71,
7,3600,c,1.7696372270584106,2,28,
7,3600,d,1.6417092084884644,2,57,
7,3600,e,1.6150301098823547,2,46,
7,3600,f,1.576413631439209,2,82,
7,3600,g,1.7234504222869873,2,44,
7,3600,h,1.7193296551704407,2,46,
7,3600,i,1.5275253057479858,2,76,
7,3900,a,1.5747565627098083,2,64,
7,3900,b,1.6812900304794312,2,80,
7,3900,c,1.7444156408309937,2,30,
7,3900,d,1.6128128170967102,2,59,
7,3900,e,1.636501967906952,2,49,
7,3900,f,1.6760600805282593,2,84,
7,3900,g,1.6454572677612305,2,53,
7,3900,h,1.6052120923995972,2,49,
7,3900,i,1.570659577846527,2,78,
7,4200,a,1.5964280366897583,2,66,
7,4200,b,1.664872407913208,2,85,
7,4200,c,1.7210211157798767,2,32,
7,4200,d,1.5923247933387756,2,61,
7,4200,e,1.631117582321167,2,51,
7,4200,f,1.5663146376609802,2,86,
7,4200,g,1.6167104244232178,2,58,
7,4200,h,1.688400685787201,2,51,
7,4200,i,1.543915331363678,2,80,
7,4500,a,1.6213537454605103,2,68,
7,4500,b,1.7037641406059265,2,87,
7,4500,c,1.806518018245697,2,34,
7,4500,d,1.6133788228034973,2,67,
7,4500,e,1.6613664627075195,2,57,
7,4500,f,1.6399689316749573,2,88,
7,4500,g,1.63576340675354,2,60,
7,4500,h,1.6707510352134705,2,53,
7,4500,i,1.5745651721954346,2,82,
7,4800,a,1.55059015750885,2,70,
7,4800,b,1.6829729676246643,2,89,
7,4800,c,1.8041042685508728,2,36,
7,4800,d,1.5411128401756287,2,77,
7,4800,e,1.6395909786224365,2,62,
7,4800,f,1.5623111724853516,2,90,
7,4800,g,1.6491694450378418,2,62,
7,4800,h,1.5994107723236084,2,55,
7,4800,i,1.4422562718391418,2,89,
7,5100,a,1.5267193913459778,2,72,
7,5100,b,1.6869760751724243,2,91,
7,5100,c,1.7868558168411255,2,38,
7,5100,d,1.5564048290252686,2,79,
7,5100,e,1.6353775262832642,2,66,
7,5100,f,1.6224019527435303,2,92,
7,5100,g,1.62052583694458,2,64,
7,5100,h,1.5914281606674194,2,57,
