seed,time,node,split,accuracy,macro_f1
7,0,a,test,0.1153305172920227,0.060360025856097864
7,0,b,test,0.23131904006004333,0.1084364473240431
7,0,c,test,0.1515151560306549,0.08735319517221708
7,0,d,test,0.13665030896663666,0.07049781355920968
7,0,e,test,0.18639633059501648,0.08199335019978023
7,0,f,test,0.19649378955364227,0.08634834458751312
7,0,g,test,0.1508042961359024,0.07490302946772816
7,0,h,test,0.12842105329036713,0.05762356903949428
7,0,i,test,0.13154533505439758,0.055394207997164796
7,900,a,test,0.28691983222961426,0.20399714465768073
7,900,b,test,0.23456789553165436,0.12329923934859603
7,900,c,test,0.1515151560306549,0.08735319517221708
7,900,d,test,0.13665030896663666,0.07049781355920968
7,900,e,test,0.4532374143600464,0.4034094911839892
7,900,f,test,0.19649378955364227,0.08634834458751312
7,900,g,test,0.1508042961359024,0.07490302946772816
7,900,h,test,0.2849122881889343,0.2031984371295189
7,900,i,test,0.30268198251724243,0.2417257807730172
7,1800,a,test,0.42686358094215393,0.366441296931324
7,1800,b,test,0.2300194948911667,0.1258491340727446
7,1800,c,test,0.2611832618713379,0.23307394910221182
7,1800,d,test,0.13665030896663666,0.07049781355920968
7,1800,e,test,0.4532374143600464,0.4034094911839892
7,1800,f,test,0.18042366206645966,0.0880297672093419
7,1800,g,test,0.1508042961359024,0.07490302946772816
7,1800,h,test,0.3719298243522644,0.3133746900401962
7,1800,i,test,0.34163475036621094,0.2699253059817784
7,2700,a,test,0.42686358094215393,0.366441296931324
7,2700,b,test,0.2300194948911667,0.1258491340727446
7,2700,c,test,0.2611832618713379,0.23307394910221182
7,2700,d,test,0.13665030896663666,0.07049781355920968
7,2700,e,test,0.4532374143600464,0.4034094911839892
7,2700,f,test,0.18042366206645966,0.0880297672093419
7,2700,g,test,0.1508042961359024,0.07490302946772816
7,2700,h,test,0.3719298243522644,0.3133746900401962
7,2700,i,test,0.34163475036621094,0.2699253059817784
7,3600,a,test,0.4127988815307617,0.3717986180335073
7,3600,b,test,0.24171540141105652,0.13911275714756402
7,3600,c,test,0.3080808222293854,0.26441089666021295
7,3600,d,test,0.14576034247875214,0.07782363413484562
7,3600,e,test,0.4532374143600464,0.4034094911839892
7,3600,f,test,0.308254212141037,0.2572177336220783
