seed,time,requester_id,peer_id,details
7,0,h,a,"{""agreement"": 0.4155735373497009, ""completed"": true}"
7,0,a,h,"{""agreement"": 0.7184110879898071, ""completed"": true}"
7,0,d,a,"{""agreement"": 0.5290944576263428, ""completed"": true}"
7,0,i,e,"{""agreement"": 0.3786650598049164, ""completed"": true}"
7,0,e,i,"{""agreement"": 0.027829959988594055, ""completed"": true}"
7,20,h,a,"{""agreement"": -0.12352760881185532, ""completed"": true}"
7,20,a,h,"{""agreement"": 0.2443891018629074, ""completed"": true}"
7,20,i,e,"{""agreement"": 0.35974520444869995, ""completed"": true}"
7,20,e,i,"{""agreement"": 0.6823704838752747, ""completed"": true}"
7,40,h,a,"{""agreement"": 0.5905207395553589, ""completed"": true}"
7,40,a,h,"{""agreement"": 0.5664278864860535, ""completed"": true}"
7,40,i,e,"{""agreement"": 0.5667731165885925, ""completed"": true}"
7,40,e,i,"{""agreement"": 0.7535011768341064, ""completed"": true}"
7,60,h,a,"{""agreement"": -0.057470519095659256, ""completed"": true}"
7,60,a,h,"{""agreement"": 0.5145969390869141, ""completed"": true}"
7,60,i,e,"{""agreement"": 0.12784479558467865, ""completed"": true}"
7,60,e,i,"{""agreement"": 0.47059062123298645, ""completed"": true}"
7,80,h,a,"{""agreement"": 0.3593107759952545, ""completed"": true}"
7,80,a,h,"{""agreement"": -0.03928834944963455, ""completed"": true}"
7,80,i,e,"{""agreement"": 0.507159948348999, ""completed"": true}"
7,80,e,i,"{""agreement"": 0.7079452276229858, ""completed"": true}"
7,100,h,a,"{""agreement"": -0.08583884686231613, ""completed"": true}"
7,100,a,h,"{""agreement"": 0.3634876608848572, ""completed"": true}"
7,100,i,e,"{""agreement"": 0.04627949371933937, ""completed"": true}"
7,100,e,i,"{""agreement"": 0.39843258261680603, ""completed"": true}"
7,120,h,a,"{""agreement"": 0.41180482506752014, ""completed"": true}"
7,120,a,h,"{""agreement"": -0.204002246260643, ""completed"": true}"
7,120,i,e,"{""agreement"": 0.8208767175674438, ""completed"": true}"
7,120,e,i,"{""agreement"": 0.3452202379703522, ""completed"": true}"
7,140,h,a,"{""agreement"": 0.11785523593425751, ""completed"": true}"
7,140,a,h,"{""agreement"": 0.5017241835594177, ""completed"": true}"
7,160,h,a,"{""agreement"": 0.28979843854904175, ""completed"": true}"
7,160,a,h,"{""agreement"": 0.38496437668800354, ""completed"": true}"
7,260,i,e,"{""agreement"": -0.06431961804628372, ""completed"": true}"
7,260,e,i,"{""agreement"": 0.07885440438985825, ""completed"": true}"
7,280,i,e,"{""agreement"": 0.5857882499694824, ""completed"": true}"
7,280,e,i,"{""agreement"": -0.24222522974014282, ""completed"": true}"
7,300,i,e,"{""agreement"": 0.23579111695289612, ""completed"": true}"
7,300,e,i,"{""agreement"": 0.09705548733472824, ""completed"": true}"
7,320,i,e,"{""agreement"": 0.4016750752925873, ""completed"": true}"
7,320,e,i,"{""agreement"": -0.03790188580751419, ""completed"": true}"
7,340,i,e,"{""agreement"": 0.3016517460346222, ""completed"": true}"
7,340,e,i,"{""agreement"": -0.39709651470184326, ""completed"": true}"
7,360,i,e,"{""agreement"": 0.15303122997283936, ""completed"": true}"
7,360,e,i,"{""agreement"": 0.2749568819999695, ""completed"": true}"
7,380,i,e,"{""agreement"": 0.4706026315689087, ""completed"": true}"
7,380,e,i,"{""agreement"": 0.7122533917427063, ""completed"": true}"
7,720,h,b,"{""agreement"": 0.07650856673717499, ""completed"": true}"
7,720,b,h,"{""agreement"": 0.3625534772872925, ""completed"": true}"
7,740,h,b,"{""agreement"": -0.36962997913360596, ""completed"": true}"
7,740,b,h,"{""agreement"": -0.059921346604824066, ""completed"": true}"
7,940,h,i,"{""agreement"": 0.6503485441207886, ""completed"": true}"
7,940,i,h,"{""agreement"": -0.15154995024204254, ""completed"": true}"
7,960,h,i,"{""agreement"": 0.22982564568519592, ""completed"": true}"
