seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,480,SA09,0.7156527638435364,8,8,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,480,SA22,0.7125398317972819,12,12,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,480,SA02,0.6974595699991498,14,14,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,480,SA12,0.7103967914978663,12,12,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,480,SE11,0.7081839926540852,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,SE14,0.7206310246671949,14,14,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,480,SA14,0.7195068418979644,10,10,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,480,SA15,0.7054519057273865,12,12,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,480,SA13,0.7133115082979202,12,12,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,480,SA03,0.7197509258985519,8,8,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,600,SA09,0.6988681554794312,8,16,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,600,SA22,0.6721111834049225,10,22,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,SA02,0.6762254451002393,14,28,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,600,SE11,0.5659512281417847,10,26,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,SE14,0.6234095245599747,4,18,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,600,SA14,0.683786255121231,10,20,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,SA13,0.6833547651767731,6,18,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,600,SA03,0.6853777229785919,10,18,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,SA15,0.677038237452507,8,20,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,600,SA12,0.6715392669041952,6,18,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,720,SA09,0.6745235025882721,8,24,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,720,SA03,0.6507477462291718,10,28,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,SA02,0.6461016280310494,14,42,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,720,SA15,0.659452423453331,12,32,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,SE11,0.5083743512630463,10,36,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,SA14,0.6594924256205559,8,28,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,720,SA22,0.6410980746150017,8,30,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,720,SE14,0.5617584586143494,10,28,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,SA12,0.6625997200608253,8,26,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,720,SA13,0.6619268655776978,4,22,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,840,SA09,0.6603497624397278,10,34,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,840,SA22,0.6364828050136566,12,42,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,SA02,0.6316162347793579,10,52,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,840,SA15,0.6462680498758951,12,44,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,SA12,0.6192335337400436,12,38,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,SE11,0.4436136505433491,14,50,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,840,SE14,0.47914885977904004,12,40,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,840,SA14,0.6409643193085989,12,40,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
