seed,time,node,split,accuracy,macro_f1
7,0,SA02,test,0.4154411852359772,0.298639378557644
7,0,SA03,test,0.37867647409439087,0.27466666666666667
7,0,SA09,test,0.3897058963775635,0.2852077001013171
7,0,SA12,test,0.3345588147640228,0.2547719600986937
7,0,SA13,test,0.37132352590560913,0.2707774798927614
7,0,SA14,test,0.37867647409439087,0.27930639825658876
7,0,SA15,test,0.4285714328289032,0.3
7,0,SA22,test,0.4227941036224365,0.2971576227390181
7,0,SE11,test,0.0,0.0
7,0,SE14,test,0.0,0.0
7,900,SA02,test,0.45588234066963196,0.41728909733078573
7,900,SA03,test,0.3345588147640228,0.26980407279415036
7,900,SA09,test,0.3860294222831726,0.2922736550176838
7,900,SA12,test,0.3345588147640228,0.2547719600986937
7,900,SA13,test,0.37132352590560913,0.2707774798927614
7,900,SA14,test,0.37867647409439087,0.27930639825658876
7,900,SA15,test,0.4285714328289032,0.3
7,900,SA22,test,0.4227941036224365,0.2971576227390181
7,900,SE11,test,0.0,0.0
7,900,SE14,test,0.0,0.0
7,1800,SA02,test,0.5698529481887817,0.5697075406644222
7,1800,SA03,test,0.5183823704719543,0.5082731876957896
7,1800,SA09,test,0.35661765933036804,0.28329443649777913
7,1800,SA12,test,0.28308823704719543,0.2306688133675645
7,1800,SA13,test,0.37132352590560913,0.2707774798927614
7,1800,SA14,test,0.37867647409439087,0.27930639825658876
7,1800,SA15,test,0.4285714328289032,0.3
7,1800,SA22,test,0.4227941036224365,0.2971576227390181
7,1800,SE11,test,0.0,0.0
7,1800,SE14,test,0.0,0.0
7,2700,SA02,test,0.5992646813392639,0.5991292472856582
7,2700,SA03,test,0.5698529481887817,0.569847127042699
7,2700,SA09,test,0.5367646813392639,0.5039082855653987
7,2700,SA12,test,0.28308823704719543,0.2306688133675645
7,2700,SA13,test,0.37132352590560913,0.2707774798927614
7,2700,SA14,test,0.43382352590560913,0.3131763625631272
7,2700,SA15,test,0.4285714328289032,0.3
7,2700,SA22,test,0.4227941036224365,0.2971576227390181
7,2700,SE11,test,0.0,0.0
7,2700,SE14,test,0.0,0.0
7,3600,SA02,test,0.7022058963775635,0.699242372534298
7,3600,SA03,test,0.7683823704719543,0.755252445904449
7,3600,SA09,test,0.5808823704719543,0.5716180371352785
7,3600,SA12,test,0.2904411852359772,0.2502178104691852
7,3600,SA13,test,0.37132352590560913,0.2707774798927614
7,3600,SA14,test,0.43382352590560913,0.3131763625631272
7,3600,SA15,test,0.4285714328289032,0.3
7,3600,SA22,test,0.4227941036224365,0.2971576227390181
7,3600,SE11,test,0.0,0.0
7,3600,SE14,test,0.0,0.0
7,4500,SA02,test,0.716911792755127,0.7140946010511228
7,4500,SA03,test,0.7941176295280457,0.7828343313373254
7,4500,SA09,test,0.5808823704719543,0.5716180371352785
7,4500,SA12,test,0.2904411852359772,0.2502178104691852
7,4500,SA13,test,0.37132352590560913,0.2707774798927614
7,4500,SA14,test,0.43382352590560913,0.3131763625631272
7,4500,SA15,test,0.4285714328289032,0.3
7,4500,SA22,test,0.4227941036224365,0.2971576227390181
7,4500,SE11,test,0.0,0.0
7,4500,SE14,test,0.0,0.0
7,5400,SA02,test,0.7095588445663452,0.7057365487586102
7,5400,SA03,test,0.7941176295280457,0.782051282051282
7,5400,SA09,test,0.7352941036224365,0.7332170880557978
7,5400,SA12,test,0.2904411852359772,0.2502178104691852
7,5400,SA13,test,0.37132352590560913,0.2707774798927614
7,5400,SA14,test,0.43382352590560913,0.3131763625631272
7,5400,SA15,test,0.4285714328289032,0.3
7,5400,SA22,test,0.4227941036224365,0.2971576227390181
7,5400,SE11,test,0.0,0.0
7,5400,SE14,test,0.0,0.0
7,6300,SA02,test,0.7132353186607361,0.7055296469020653
7,6300,SA03,test,0.7867646813392639,0.7758581495794499
7,6300,SA09,test,0.783088207244873,0.778045171016417
7,6300,SA12,test,0.2904411852359772,0.2502178104691852
7,6300,SA13,test,0.37132352590560913,0.2707774798927614
7,6300,SA14,test,0.43382352590560913,0.3131763625631272
7,6300,SA15,test,0.4285714328289032,0.3
7,6300,SA22,test,0.4227941036224365,0.2971576227390181
7,6300,SE11,test,0.0,0.0
7,6300,SE14,test,0.0,0.0
7,7200,SA02,test,0.7316176295280457,0.7259842954335316
7,7200,SA03,test,0.8308823704719543,0.8196078431372549
7,7200,SA09,test,0.7977941036224365,0.787810447782364
7,7200,SA12,test,0.595588207244873,0.5802469135802469
7,7200,SA13,test,0.6838235259056091,0.6833955930918738
7,7200,SA14,test,0.43382352590560913,0.3131763625631272
7,7200,SA15,test,0.7142857313156128,0.7142814549791294
