seed,time,requester_id,peer_id,details
7,480,SA09,SA02,"{""agreement"": 0.944577693939209, ""completed"": true}"
7,480,SA22,SA02,"{""agreement"": 0.6055311560630798, ""completed"": true}"
7,480,SA02,SA09,"{""agreement"": 0.7570707201957703, ""completed"": true}"
7,480,SA12,SA13,"{""agreement"": 0.684839129447937, ""completed"": true}"
7,480,SE11,SA14,"{""agreement"": 0.8336749076843262, ""completed"": true}"
7,480,SE14,SA14,"{""agreement"": -0.06574494391679764, ""completed"": true}"
7,480,SA14,SA13,"{""agreement"": 0.32171860337257385, ""completed"": true}"
7,480,SA15,SE14,"{""agreement"": 0.9269225001335144, ""completed"": true}"
7,480,SA13,SA14,"{""agreement"": 0.5768926739692688, ""completed"": true}"
7,480,SA03,SE11,"{""agreement"": 0.20264659821987152, ""completed"": true}"
7,600,SA09,SA02,"{""agreement"": 0.6500332355499268, ""completed"": true}"
7,600,SA22,SA02,"{""agreement"": 0.8347593545913696, ""completed"": true}"
7,600,SA02,SA09,"{""agreement"": 0.8794682621955872, ""completed"": true}"
7,600,SE11,SA14,"{""agreement"": 0.732947826385498, ""completed"": true}"
7,600,SE14,SA15,"{""agreement"": 0.8625181317329407, ""completed"": true}"
7,600,SA14,SA02,"{""agreement"": 0.1102973148226738, ""completed"": true}"
7,600,SA13,SA12,"{""agreement"": 0.9514566659927368, ""completed"": true}"
7,600,SA03,SA02,"{""agreement"": 0.19829648733139038, ""completed"": true}"
7,600,SA15,SE14,"{""agreement"": 0.7753341197967529, ""completed"": true}"
7,600,SA12,SA13,"{""agreement"": 0.5858604907989502, ""completed"": true}"
7,720,SA09,SA02,"{""agreement"": 0.6528589725494385, ""completed"": true}"
7,720,SA03,SA09,"{""agreement"": 0.46463045477867126, ""completed"": true}"
7,720,SA02,SA09,"{""agreement"": 0.6744549870491028, ""completed"": true}"
7,720,SA15,SE14,"{""agreement"": 0.8747549653053284, ""completed"": true}"
7,720,SE11,SA14,"{""agreement"": 0.768356442451477, ""completed"": true}"
7,720,SA14,SA15,"{""agreement"": 0.9681306481361389, ""completed"": true}"
7,720,SA22,SA02,"{""agreement"": 0.590196430683136, ""completed"": true}"
7,720,SE14,SA15,"{""agreement"": -0.22414590418338776, ""completed"": true}"
7,720,SA12,SA13,"{""agreement"": 0.8244494199752808, ""completed"": true}"
7,720,SA13,SA12,"{""agreement"": 0.8882384896278381, ""completed"": true}"
7,840,SA09,SA02,"{""agreement"": 0.5898159742355347, ""completed"": true}"
7,840,SA22,SA02,"{""agreement"": 0.8230699896812439, ""completed"": true}"
7,840,SA02,SA09,"{""agreement"": 0.42111796140670776, ""completed"": true}"
7,840,SA15,SE14,"{""agreement"": 0.8634306788444519, ""completed"": true}"
7,840,SA12,SA13,"{""agreement"": 0.7594866752624512, ""completed"": true}"
7,840,SE11,SA14,"{""agreement"": 0.5936031341552734, ""completed"": true}"
7,840,SE14,SA22,"{""agreement"": 0.5134367346763611, ""completed"": true}"
7,840,SA14,SA15,"{""agreement"": 0.03340035304427147, ""completed"": true}"
7,840,SA03,SA14,"{""agreement"": 0.795294463634491, ""completed"": true}"
7,840,SA13,SA12,"{""agreement"": 0.7996445298194885, ""completed"": true}"
7,960,SA09,SA13,"{""agreement"": -0.05939211696386337, ""completed"": true}"
7,960,SA22,SA02,"{""agreement"": 0.7627217173576355, ""completed"": true}"
7,960,SA03,SA13,"{""agreement"": 0.19573992490768433, ""completed"": true}"
7,960,SA12,SA13,"{""agreement"": 0.808516263961792, ""completed"": true}"
7,960,SE14,SE11,"{""agreement"": 0.977647602558136, ""completed"": true}"
7,960,SA14,SA12,"{""agreement"": 0.7997973561286926, ""completed"": true}"
7,960,SA13,SA12,"{""agreement"": 0.9091224074363708, ""completed"": true}"
7,960,SA02,SA12,"{""agreement"": 0.9070675373077393, ""completed"": true}"
7,960,SA15,SA02,"{""agreement"": 0.6545112729072571, ""completed"": true}"
7,960,SE11,SE14,"{""agreement"": 0.9690059423446655, ""completed"": true}"
7,1080,SA09,SA22,"{""agreement"": 0.6052227020263672, ""completed"": true}"
7,1080,SA22,SA02,"{""agreement"": 0.5717830657958984, ""completed"": true}"
7,1080,SA03,SA14,"{""agreement"": 0.8467119932174683, ""completed"": true}"
7,1080,SA15,SA02,"{""agreement"": 0.8023295998573303, ""completed"": true}"
7,1080,SE14,SA09,"{""agreement"": 0.8041945695877075, ""completed"": true}"
7,1080,SA14,SA12,"{""agreement"": 0.15040670335292816, ""completed"": true}"
7,1080,SA13,SA12,"{""agreement"": 0.6451738476753235, ""completed"": true}"
7,1080,SA02,SA12,"{""agreement"": 0.9444682002067566, ""completed"": true}"
7,1080,SE11,SA13,"{""agreement"": 0.4139067828655243, ""completed"": true}"
7,1080,SA12,SA13,"{""agreement"": 0.623680830001831, ""completed"": true}"
7,1200,SA09,SA02,"{""agreement"": 0.8156098127365112, ""completed"": true}"
7,1200,SA03,SA14,"{""agreement"": 0.5664337277412415, ""completed"": true}"
7,1200,SA02,SA09,"{""agreement"": 0.7412397861480713, ""completed"": true}"
7,1200,SE11,SA14,"{""agreement"": 0.6161330938339233, ""completed"": true}"
7,1200,SE14,SA09,"{""agreement"": -0.841982901096344, ""completed"": true}"
7,1200,SA14,SA15,"{""agreement"": 0.11220728605985641, ""completed"": true}"
7,1200,SA13,SA12,"{""agreement"": 0.9185580015182495, ""completed"": true}"
7,1200,SA22,SA02,"{""agreement"": 0.9111019372940063, ""completed"": true}"
7,1200,SA15,SA02,"{""agreement"": -0.14437904953956604, ""completed"": true}"
7,1200,SA12,SA13,"{""agreement"": 0.8911969065666199, ""completed"": true}"
7,1320,SA09,SA02,"{""agreement"": 0.8567072749137878, ""completed"": true}"
7,1320,SA03,SA14,"{""agreement"": 0.8907752633094788, ""completed"": true}"
7,1320,SA02,SA09,"{""agreement"": 0.8085784316062927, ""completed"": true}"
7,1320,SA12,SA13,"{""agreement"": 0.9753195643424988, ""completed"": true}"
7,1320,SE11,SE14,"{""agreement"": 0.9826566576957703, ""completed"": true}"
7,1320,SE14,SE11,"{""agreement"": 0.9933179020881653, ""completed"": true}"
7,1320,SA14,SA09,"{""agreement"": 0.8754678964614868, ""completed"": true}"
7,1320,SA13,SA12,"{""agreement"": 0.717369019985199, ""completed"": true}"
7,1320,SA22,SA02,"{""agreement"": 0.506559431552887, ""completed"": true}"
7,1320,SA15,SE14,"{""agreement"": 0.7824780941009521, ""completed"": true}"
7,1440,SA09,SA02,"{""agreement"": 0.5231853127479553, ""completed"": true}"
7,1440,SA03,SA14,"{""agreement"": 0.6999368667602539, ""completed"": true}"
7,1440,SA02,SA09,"{""agreement"": 0.7691167593002319, ""completed"": true}"
7,1440,SA12,SA13,"{""agreement"": 0.7554797530174255, ""completed"": true}"
7,1440,SE11,SA14,"{""agreement"": -0.4541270434856415, ""completed"": true}"
7,1440,SE14,SA03,"{""agreement"": -0.9514784216880798, ""completed"": true}"
7,1440,SA14,SA09,"{""agreement"": 0.36611440777778625, ""completed"": true}"
7,1440,SA22,SA02,"{""agreement"": -0.12513697147369385, ""completed"": true}"
7,1440,SA15,SE11,"{""agreement"": 0.46174585819244385, ""completed"": true}"
7,1440,SA13,SA12,"{""agreement"": 0.523946225643158, ""completed"": true}"
7,1560,SA09,SA02,"{""agreement"": 0.6132647395133972, ""completed"": true}"
7,1560,SA22,SA02,"{""agreement"": 0.679699182510376, ""completed"": true}"
7,1560,SA03,SA14,"{""agreement"": 0.8072946667671204, ""completed"": true}"
7,1560,SA02,SA09,"{""agreement"": 0.6711159944534302, ""completed"": true}"
7,1560,SA12,SA13,"{""agreement"": 0.8876596093177795, ""completed"": true}"
7,1560,SE11,SA14,"{""agreement"": -0.04768968001008034, ""completed"": true}"
7,1560,SA14,SA09,"{""agreement"": 0.04902124032378197, ""completed"": true}"
7,1560,SE14,SA12,"{""agreement"": -0.2926901578903198, ""completed"": true}"
7,1560,SA13,SA12,"{""agreement"": 0.7788827419281006, ""completed"": true}"
7,1560,SA15,SA14,"{""agreement"": 0.3502456843852997, ""completed"": true}"
7,1680,SA09,SA14,"{""agreement"": 0.23488891124725342, ""completed"": true}"
7,1680,SA03,SA12,"{""agreement"": 0.5200769305229187, ""completed"": true}"
7,1680,SA15,SE14,"{""agreement"": 0.01280609518289566, ""completed"": true}"
7,1680,SA12,SA13,"{""agreement"": 0.8363295793533325, ""completed"": true}"
7,1680,SE11,SA15,"{""agreement"": -0.837792694568634, ""completed"": true}"
7,1680,SA14,SE14,"{""agreement"": 0.7985199689865112, ""completed"": true}"
7,1680,SA13,SA12,"{""agreement"": 0.6453953385353088, ""completed"": true}"
7,1680,SA22,SA13,"{""agreement"": 0.7615659236907959, ""completed"": true}"
7,1680,SE14,SA13,"{""agreement"": -0.4748118221759796, ""completed"": true}"
7,1680,SA02,SA13,"{""agreement"": 0.762772798538208, ""completed"": true}"
7,1800,SA09,SA02,"{""agreement"": -0.47793182730674744, ""completed"": true}"
7,1800,SA22,SA03,"{""agreement"": 0.8867373466491699, ""completed"": true}"
7,1800,SA02,SA09,"{""agreement"": 0.468850314617157, ""completed"": true}"
7,1800,SA15,SE14,"{""agreement"": 0.7481692433357239, ""completed"": true}"
7,1800,SA12,SA13,"{""agreement"": 0.6237125396728516, ""completed"": true}"
7,1800,SE11,SE14,"{""agreement"": 0.9832800030708313, ""completed"": true}"
7,1800,SA14,SE14,"{""agreement"": 0.685942530632019, ""completed"": true}"
7,1800,SA13,SA12,"{""agreement"": 0.8405262231826782, ""completed"": true}"
7,1800,SA03,SE14,"{""agreement"": 0.8203417658805847, ""completed"": true}"
7,1800,SE14,SE11,"{""agreement"": 0.9857999682426453, ""completed"": true}"
7,1920,SA09,SA22,"{""agreement"": 0.7519848942756653, ""completed"": true}"
7,1920,SA22,SA02,"{""agreement"": 0.9068949222564697, ""completed"": true}"
7,1920,SA15,SE14,"{""agreement"": 0.12673169374465942, ""completed"": true}"
7,1920,SA12,SA13,"{""agreement"": 0.7241865396499634, ""completed"": true}"
7,1920,SE11,SE14,"{""agreement"": 0.9452399015426636, ""completed"": true}"
7,1920,SE14,SE11,"{""agreement"": 0.9805062413215637, ""completed"": true}"
7,1920,SA14,SE14,"{""agreement"": 0.6568097472190857, ""completed"": true}"
7,1920,SA13,SA12,"{""agreement"": 0.8653812408447266, ""completed"": true}"
7,1920,SA03,SE14,"{""agreement"": 0.8016995191574097, ""completed"": true}"
7,1920,SA02,SA12,"{""agreement"": 0.7970991134643555, ""completed"": true}"
7,2040,SA09,SA02,"{""agreement"": 0.7220923900604248, ""completed"": true}"
7,2040,SA22,SA02,"{""agreement"": 0.16675333678722382, ""completed"": true}"
7,2040,SA03,SA14,"{""agreement"": 0.8483265042304993, ""completed"": true}"
7,2040,SA02,SA09,"{""agreement"": 0.6325896382331848, ""completed"": true}"
7,2040,SA15,SE14,"{""agreement"": 0.2554648518562317, ""completed"": true}"
7,2040,SA12,SA13,"{""agreement"": 0.5591842532157898, ""completed"": true}"
7,2040,SE11,SE14,"{""agreement"": 0.9630054831504822, ""completed"": true}"
7,2040,SE14,SE11,"{""agreement"": 0.9330679178237915, ""completed"": true}"
7,2040,SA14,SE14,"{""agreement"": 0.025163812562823296, ""completed"": true}"
7,2040,SA13,SA12,"{""agreement"": 0.3410176932811737, ""completed"": true}"
7,2160,SA09,SA02,"{""agreement"": -0.267338365316391, ""completed"": true}"
7,2160,SA22,SA02,"{""agreement"": -0.23869283497333527, ""completed"": true}"
7,2160,SA03,SA14,"{""agreement"": 0.5187969207763672, ""completed"": true}"
7,2160,SA02,SA09,"{""agreement"": 0.04897651448845863, ""completed"": true}"
7,2160,SA15,SE14,"{""agreement"": -0.12959840893745422, ""completed"": true}"
7,2160,SA12,SA13,"{""agreement"": 0.6851977705955505, ""completed"": true}"
7,2160,SE11,SE14,"{""agreement"": 0.9603527784347534, ""completed"": true}"
7,2160,SA13,SA12,"{""agreement"": -0.00899829063564539, ""completed"": true}"
7,2160,SE14,SE11,"{""agreement"": 0.9909629821777344, ""completed"": true}"
7,2160,SA14,SE14,"{""agreement"": -0.0341159850358963, ""completed"": true}"
7,2280,SA09,SA22,"{""agreement"": 0.7504788637161255, ""completed"": true}"
7,2280,SA22,SA03,"{""agreement"": 0.7760818004608154, ""completed"": true}"
7,2280,SA03,SA14,"{""agreement"": 0.8728063702583313, ""completed"": true}"
7,2280,SA02,SA12,"{""agreement"": 0.39740481972694397, ""completed"": true}"
7,2280,SA15,SA22,"{""agreement"": 0.6001653075218201, ""completed"": true}"
7,2280,SA12,SA13,"{""agreement"": 0.5021557211875916, ""completed"": true}"
7,2280,SE11,SE14,"{""agreement"": 0.9818390607833862, ""completed"": true}"
7,2280,SE14,SE11,"{""agreement"": 0.9901368021965027, ""completed"": true}"
7,2280,SA14,SA03,"{""agreement"": 0.5326429009437561, ""completed"": true}"
7,2280,SA13,SA12,"{""agreement"": 0.6887344121932983, ""completed"": true}"
7,2400,SA09,SA22,"{""agreement"": 0.24699681997299194, ""completed"": true}"
7,2400,SA22,SA03,"{""agreement"": 0.7541249394416809, ""completed"": true}"
7,2400,SA15,SA12,"{""agreement"": 0.4013642370700836, ""completed"": true}"
7,2400,SA12,SA13,"{""agreement"": 0.3390355706214905, ""completed"": true}"
7,2400,SE14,SE11,"{""agreement"": 0.9909799098968506, ""completed"": true}"
7,2400,SA13,SA12,"{""agreement"": 0.9328582286834717, ""completed"": true}"
7,2400,SA03,SA14,"{""agreement"": 0.9185450673103333, ""completed"": true}"
7,2400,SA02,SA12,"{""agreement"": 0.4371384084224701, ""completed"": true}"
7,2400,SE11,SE14,"{""agreement"": 0.989722728729248, ""completed"": true}"
7,2400,SA14,SE11,"{""agreement"": 0.7209493517875671, ""completed"": true}"
7,2520,SA09,SA22,"{""agreement"": 0.7828742265701294, ""completed"": true}"
7,2520,SA22,SA02,"{""agreement"": -0.4109518826007843, ""completed"": true}"
7,2520,SA02,SA12,"{""agreement"": 0.5477580428123474, ""completed"": true}"
7,2520,SA15,SA13,"{""agreement"": 0.5520928502082825, ""completed"": true}"
7,2520,SA12,SA13,"{""agreement"": 0.7968895435333252, ""completed"": true}"
7,2520,SE11,SE14,"{""agreement"": 0.9907991886138916, ""completed"": true}"
7,2520,SA13,SA12,"{""agreement"": 0.7462411522865295, ""completed"": true}"
7,2520,SE14,SE11,"{""agreement"": 0.9934616088867188, ""completed"": true}"
7,2520,SA14,SE11,"{""agreement"": 0.8939840793609619, ""completed"": true}"
7,2520,SA03,SA14,"{""agreement"": 0.36637789011001587, ""completed"": true}"
7,2640,SA09,SA22,"{""agreement"": 0.3336431384086609, ""completed"": true}"
7,2640,SA22,SA13,"{""agreement"": 0.755912184715271, ""completed"": true}"
7,2640,SA02,SA12,"{""agreement"": 0.6784741282463074, ""completed"": true}"
7,2640,SA15,SA09,"{""agreement"": 0.8893415331840515, ""completed"": true}"
7,2640,SA12,SA13,"{""agreement"": 0.1384466290473938, ""completed"": true}"
7,2640,SE11,SA22,"{""agreement"": -0.08860385417938232, ""completed"": true}"
7,2640,SE14,SA02,"{""agreement"": -0.004314601421356201, ""completed"": true}"
7,2640,SA13,SA12,"{""agreement"": 0.5857529640197754, ""completed"": true}"
7,2640,SA03,SA14,"{""agreement"": 0.8425898551940918, ""completed"": true}"
7,2640,SA14,SA03,"{""agreement"": 0.6735056638717651, ""completed"": true}"
7,2760,SA09,SA22,"{""agreement"": 0.25353917479515076, ""completed"": true}"
7,2760,SA22,SA03,"{""agreement"": 0.4902307987213135, ""completed"": true}"
7,2760,SA02,SA09,"{""agreement"": 0.7179566621780396, ""completed"": true}"
7,2760,SA15,SA09,"{""agreement"": 0.4565003216266632, ""completed"": true}"
7,2760,SA12,SA13,"{""agreement"": 0.7765350341796875, ""completed"": true}"
7,2760,SE14,SE11,"{""agreement"": 0.9850907325744629, ""completed"": true}"
7,2760,SA14,SE11,"{""agreement"": 0.21455885469913483, ""completed"": true}"
7,2760,SA13,SA12,"{""agreement"": 0.7548465728759766, ""completed"": true}"
7,2760,SA03,SA14,"{""agreement"": 0.3557349741458893, ""completed"": true}"
7,2760,SE11,SE14,"{""agreement"": 0.9650372862815857, ""completed"": true}"
7,2880,SA09,SA22,"{""agreement"": 0.9243220090866089, ""completed"": true}"
7,2880,SA22,SA03,"{""agreement"": 0.5224880576133728, ""completed"": true}"
7,2880,SA03,SE14,"{""agreement"": 0.7552502751350403, ""completed"": true}"
7,2880,SA02,SA12,"{""agreement"": 0.04711821675300598, ""completed"": true}"
7,2880,SA12,SA13,"{""agreement"": 0.186776265501976, ""completed"": true}"
7,2880,SE11,SA09,"{""agreement"": -0.32802391052246094, ""completed"": true}"
7,2880,SE14,SA22,"{""agreement"": -0.81606125831604, ""completed"": true}"
7,2880,SA13,SA12,"{""agreement"": 0.7800114154815674, ""completed"": true}"
7,2880,SA15,SA03,"{""agreement"": -0.27828943729400635, ""completed"": true}"
7,2880,SA14,SE11,"{""agreement"": 0.07681670784950256, ""completed"": true}"
7,3000,SA09,SA22,"{""agreement"": 0.9490562677383423, ""completed"": true}"
7,3000,SA22,SA03,"{""agreement"": 0.5892318487167358, ""completed"": true}"
7,3000,SA03,SE14,"{""agreement"": 0.5877891778945923, ""completed"": true}"
7,3000,SA02,SA09,"{""agreement"": 0.4437427520751953, ""completed"": true}"
7,3000,SA12,SA15,"{""agreement"": -0.3550022840499878, ""completed"": true}"
7,3000,SE11,SA02,"{""agreement"": -0.7674475908279419, ""completed"": true}"
7,3000,SA14,SA22,"{""agreement"": 0.9177703261375427, ""completed"": true}"
7,3000,SA15,SE14,"{""agreement"": 0.13204507529735565, ""completed"": true}"
7,3000,SE14,SA15,"{""agreement"": 0.09231971204280853, ""completed"": true}"
7,3000,SA13,SA03,"{""agreement"": 0.8903313875198364, ""completed"": true}"
7,3120,SA09,SA22,"{""agreement"": 0.910614013671875, ""completed"": true}"
7,3120,SA22,SA03,"{""agreement"": 0.4838581681251526, ""completed"": true}"
7,3120,SA02,SA09,"{""agreement"": 0.6135953068733215, ""completed"": true}"
7,3120,SA15,SA09,"{""agreement"": 0.26197361946105957, ""completed"": true}"
7,3120,SE14,SA15,"{""agreement"": -0.6479851007461548, ""completed"": true}"
7,3120,SA03,SA14,"{""agreement"": 0.39648762345314026, ""completed"": true}"
7,3120,SA14,SA22,"{""agreement"": 0.8310147523880005, ""completed"": true}"
7,3120,SA12,SE14,"{""agreement"": 0.3054658770561218, ""completed"": true}"
7,3120,SE11,SA12,"{""agreement"": -0.39480695128440857, ""completed"": true}"
7,3120,SA13,SA03,"{""agreement"": 0.2937121093273163, ""completed"": true}"
7,3240,SA09,SA15,"{""agreement"": -0.16028714179992676, ""completed"": true}"
7,3240,SA02,SA09,"{""agreement"": 0.5828636288642883, ""completed"": true}"
7,3240,SA15,SA09,"{""agreement"": 0.5099542737007141, ""completed"": true}"
7,3240,SE11,SE14,"{""agreement"": 0.9688152074813843, ""completed"": true}"
7,3240,SE14,SE11,"{""agreement"": 0.9827878475189209, ""completed"": true}"
7,3240,SA14,SA22,"{""agreement"": 0.6803602576255798, ""completed"": true}"
