seed,time,requester_id,peer_id,details
7,0,SE14,SA12,"{""agreement"": 0.6151863932609558, ""completed"": true}"
7,0,SA12,SE14,"{""agreement"": 0.7281413078308105, ""completed"": true}"
7,0,SA22,SA13,"{""agreement"": 0.9211701154708862, ""completed"": true}"
7,0,SA13,SA09,"{""agreement"": 0.3452152609825134, ""completed"": true}"
7,0,SA09,SA13,"{""agreement"": 0.5825774073600769, ""completed"": true}"
7,0,SA02,SA15,"{""agreement"": 0.2796574831008911, ""completed"": true}"
7,0,SA15,SE11,"{""agreement"": 0.767480731010437, ""completed"": true}"
7,0,SE11,SA15,"{""agreement"": 0.9115068912506104, ""completed"": true}"
7,20,SA14,SA22,"{""agreement"": 0.8594011068344116, ""completed"": true}"
7,20,SE14,SA14,"{""agreement"": 0.49162763357162476, ""completed"": true}"
7,20,SA22,SE11,"{""agreement"": 0.3495100140571594, ""completed"": true}"
7,20,SE11,SA03,"{""agreement"": 0.6416532397270203, ""completed"": true}"
7,20,SA03,SE11,"{""agreement"": 0.9182003140449524, ""completed"": true}"
7,20,SA13,SA09,"{""agreement"": 0.9252218008041382, ""completed"": true}"
7,20,SA09,SA13,"{""agreement"": 0.9195650219917297, ""completed"": true}"
7,40,SA14,SA12,"{""agreement"": 0.9495711922645569, ""completed"": true}"
7,40,SE14,SA12,"{""agreement"": 0.6436508297920227, ""completed"": true}"
7,40,SA12,SE14,"{""agreement"": 0.9313910007476807, ""completed"": true}"
7,40,SA22,SE11,"{""agreement"": 0.7369726300239563, ""completed"": true}"
7,40,SE11,SA22,"{""agreement"": 0.8381354212760925, ""completed"": true}"
7,40,SA13,SA09,"{""agreement"": 0.15840508043766022, ""completed"": true}"
7,40,SA09,SA13,"{""agreement"": 0.7789807319641113, ""completed"": true}"
7,40,SA02,SA15,"{""agreement"": 0.9045209884643555, ""completed"": true}"
7,40,SA15,SA02,"{""agreement"": 0.8859568238258362, ""completed"": true}"
7,60,SA14,SA12,"{""agreement"": 0.29591891169548035, ""completed"": true}"
7,60,SE14,SA14,"{""agreement"": -0.008754322305321693, ""completed"": true}"
7,60,SA12,SA14,"{""agreement"": 0.8460005521774292, ""completed"": true}"
