seed,time,node,split,accuracy,macro_f1
7,0,SA02,test,0.40441176295280457,0.30243161094224924
7,0,SA03,test,0.3970588147640228,0.28909287945432527
7,0,SA09,test,0.3970588147640228,0.2983957219251337
7,0,SA12,test,0.35661765933036804,0.2672300989855139
7,0,SA13,test,0.3492647111415863,0.2672480708643441
7,0,SA14,test,0.4154411852359772,0.2935064935064935
7,0,SA15,test,0.4324324429035187,0.3018867924528302
7,0,SA22,test,0.43014705181121826,0.30611102881877583
7,0,SE11,test,0.140625,0.1232876712328767
7,0,SE14,test,0.09375,0.08571428571428572
7,900,SA02,test,0.7095588445663452,0.6672396438250097
7,900,SA03,test,0.8198529481887817,0.7923437670411169
7,900,SA09,test,0.7867646813392639,0.7578436790077976
7,900,SA12,test,0.845588207244873,0.8214553638409603
7,900,SA13,test,0.8198529481887817,0.7896962524654831
7,900,SA14,test,0.7904411554336548,0.774175223945816
7,900,SA15,test,0.7027027010917664,0.6553529767562429
7,900,SA22,test,0.8088235259056091,0.7886684197944059
7,900,SE11,test,1.0,0.5
7,900,SE14,test,1.0,0.5
7,1800,SA02,test,0.7132353186607361,0.6663101604278074
7,1800,SA03,test,0.8161764740943909,0.7847011144883485
7,1800,SA09,test,0.8051470518112183,0.7851404724644161
7,1800,SA12,test,0.8345588445663452,0.8042696090189494
7,1800,SA13,test,0.8272058963775635,0.8008195316516835
7,1800,SA14,test,0.7941176295280457,0.784310393656188
7,1800,SA15,test,0.7297297120094299,0.6856360105423775
7,1800,SA22,test,0.8051470518112183,0.7851404724644161
7,1800,SE11,test,1.0,0.5
7,1800,SE14,test,1.0,0.5
7,2700,SA02,test,0.7279411554336548,0.6927960927960928
7,2700,SA03,test,0.8345588445663452,0.8157042836708575
7,2700,SA09,test,0.8161764740943909,0.803921568627451
7,2700,SA12,test,0.8566176295280457,0.8376367949797199
7,2700,SA13,test,0.8382353186607361,0.8152173913043479
7,2700,SA14,test,0.8125,0.8025703428547031
7,2700,SA15,test,0.6949806809425354,0.6737983260263053
7,2700,SA22,test,0.8529411554336548,0.8443223443223443
7,2700,SE11,test,1.0,0.5
7,2700,SE14,test,1.0,0.5
7,3600,SA02,test,0.7463235259056091,0.7266331658291458
7,3600,SA03,test,0.8198529481887817,0.7982531825681547
7,3600,SA09,test,0.8235294222831726,0.8131868131868132
7,3600,SA12,test,0.8676470518112183,0.8521739130434782
7,3600,SA13,test,0.8676470518112183,0.8576744186046512
7,3600,SA14,test,0.8088235259056091,0.7983461648132306
7,3600,SA15,test,0.7335907220840454,0.7232777442281786
7,3600,SA22,test,0.8492646813392639,0.8375646347680431
7,3600,SE11,test,1.0,0.5
7,3600,SE14,test,1.0,0.5
7,4500,SA02,test,0.75,0.7250074338388344
7,4500,SA03,test,0.8382353186607361,0.8253050738599872
7,4500,SA09,test,0.841911792755127,0.8361514646344368
7,4500,SA12,test,0.8860294222831726,0.8761002130629638
7,4500,SA13,test,0.8933823704719543,0.8840937477040629
7,4500,SA14,test,0.8198529481887817,0.8138105416090413
7,4500,SA15,test,0.7451737523078918,0.7398648648648649
7,4500,SA22,test,0.8897058963775635,0.8844519966015293
7,4500,SE11,test,1.0,0.5
7,4500,SE14,test,1.0,0.5
7,5400,SA02,test,0.779411792755127,0.7729170145266322
7,5400,SA03,test,0.8345588445663452,0.8231801568842726
7,5400,SA09,test,0.8272058963775635,0.818055021846491
7,5400,SA12,test,0.904411792755127,0.8967711800081742
7,5400,SA13,test,0.8970588445663452,0.8901960784313725
7,5400,SA14,test,0.8161764740943909,0.8132586367880486
7,5400,SA15,test,0.7837837934494019,0.7797619047619048
7,5400,SA22,test,0.8823529481887817,0.8759053321927573
7,5400,SE11,test,1.0,0.5
7,5400,SE14,test,1.0,0.5
7,6300,SA02,test,0.783088207244873,0.7815261044176707
7,6300,SA03,test,0.8272058963775635,0.8160443197352327
7,6300,SA09,test,0.8235294222831726,0.8102325581395349
7,6300,SA12,test,0.8860294222831726,0.880794514738107
7,6300,SA13,test,0.8933823704719543,0.8873384274798257
7,6300,SA14,test,0.7867646813392639,0.7825199889716019
7,6300,SA15,test,0.8146718144416809,0.8059198201573623
