seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,SA02,0.7173122465610504,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA15,0.7277923822402954,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SE11,0.804000735282898,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA14,0.714827299118042,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA22,0.7202055752277374,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA14,0.7515395879745483,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA12,0.7450109422206879,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA02,0.7008880078792572,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA15,0.7019467055797577,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SE14,0.7988505065441132,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA14,0.6922461688518524,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA02,0.6995321810245514,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA03,0.7128060758113861,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA09,0.7327171862125397,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SE14,0.7739467024803162,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA03,0.7208390533924103,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA13,0.7087813913822174,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA02,0.6869128942489624,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA15,0.7133494019508362,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SE14,0.7569794952869415,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA03,0.7122299671173096,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA09,0.7248270809650421,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SE11,0.772157222032547,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,280,SA03,0.7011831700801849,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
