seed,time,requester_id,peer_id,details
7,0,SA02,SE11,"{""agreement"": 0.7518441081047058, ""completed"": true}"
7,0,SA15,SA02,"{""agreement"": 0.43110549449920654, ""completed"": true}"
7,0,SE11,SA02,"{""agreement"": 0.5804301500320435, ""completed"": true}"
7,20,SA14,SA22,"{""agreement"": 0.6430290937423706, ""completed"": true}"
7,20,SA22,SA14,"{""agreement"": 0.930300772190094, ""completed"": true}"
7,40,SA14,SA12,"{""agreement"": 0.8044863939285278, ""completed"": true}"
7,40,SA12,SA14,"{""agreement"": 0.6128060817718506, ""completed"": true}"
7,40,SA02,SA15,"{""agreement"": 0.7269269824028015, ""completed"": true}"
7,40,SA15,SA02,"{""agreement"": 0.9213416576385498, ""completed"": true}"
7,100,SE14,SA12,"{""agreement"": 0.9292502403259277, ""completed"": true}"
7,100,SA12,SE14,"{""agreement"": 0.719027042388916, ""completed"": true}"
7,140,SA14,SA02,"{""agreement"": 0.4962949752807617, ""completed"": true}"
7,140,SA02,SA14,"{""agreement"": 0.32183364033699036, ""completed"": true}"
7,140,SA03,SA09,"{""agreement"": 0.6081088781356812, ""completed"": true}"
7,140,SA09,SA03,"{""agreement"": 0.8871302008628845, ""completed"": true}"
7,160,SE14,SA12,"{""agreement"": 0.9359983205795288, ""completed"": true}"
7,160,SA12,SE14,"{""agreement"": 0.9557898640632629, ""completed"": true}"
7,180,SA03,SA13,"{""agreement"": 0.37827029824256897, ""completed"": true}"
7,180,SA13,SA03,"{""agreement"": 0.3923165500164032, ""completed"": true}"
7,180,SA02,SA15,"{""agreement"": 0.9124678373336792, ""completed"": true}"
7,180,SA15,SA02,"{""agreement"": 0.8728291988372803, ""completed"": true}"
7,220,SA14,SE14,"{""agreement"": 0.9543814063072205, ""completed"": true}"
7,220,SE14,SA14,"{""agreement"": 0.543600857257843, ""completed"": true}"
7,260,SA03,SA09,"{""agreement"": 0.8677684664726257, ""completed"": true}"
7,260,SA09,SA03,"{""agreement"": 0.836929976940155, ""completed"": true}"
7,260,SA02,SE11,"{""agreement"": 0.5414260029792786, ""completed"": true}"
7,260,SE11,SA02,"{""agreement"": -0.0798490047454834, ""completed"": true}"
7,280,SA03,SA09,"{""agreement"": 0.04893087223172188, ""completed"": true}"
7,280,SA09,SA03,"{""agreement"": 0.8461530804634094, ""completed"": true}"
7,300,SA15,SE11,"{""agreement"": 0.8876832127571106, ""completed"": true}"
7,300,SE11,SA15,"{""agreement"": 0.8335320353507996, ""completed"": true}"
7,340,SE14,SA13,"{""agreement"": 0.6776115894317627, ""completed"": true}"
7,340,SA13,SE14,"{""agreement"": -0.24801793694496155, ""completed"": true}"
7,340,SA22,SA15,"{""agreement"": 0.6243733167648315, ""completed"": true}"
7,340,SA15,SA22,"{""agreement"": 0.45588305592536926, ""completed"": true}"
7,360,SA03,SA13,"{""agreement"": 0.8556006550788879, ""completed"": true}"
7,360,SA13,SA03,"{""agreement"": 0.9196782112121582, ""completed"": true}"
7,420,SE14,SA15,"{""agreement"": -0.5798912048339844, ""completed"": true}"
7,420,SA15,SE14,"{""agreement"": -0.33286505937576294, ""completed"": true}"
7,420,SA02,SE11,"{""agreement"": 0.5642698407173157, ""completed"": true}"
7,420,SE11,SA02,"{""agreement"": -0.07232660055160522, ""completed"": true}"
7,480,SA03,SA13,"{""agreement"": 0.5270786881446838, ""completed"": true}"
7,480,SA13,SA03,"{""agreement"": 0.764625072479248, ""completed"": true}"
7,500,SA14,SE11,"{""agreement"": 0.827720582485199, ""completed"": true}"
7,500,SE11,SA14,"{""agreement"": 0.760512113571167, ""completed"": true}"
7,500,SA22,SA15,"{""agreement"": 0.7986706495285034, ""completed"": true}"
7,500,SA15,SA22,"{""agreement"": 0.7277491688728333, ""completed"": true}"
7,540,SA14,SE14,"{""agreement"": 0.6743232011795044, ""completed"": true}"
7,540,SE14,SA14,"{""agreement"": 0.7287446856498718, ""completed"": true}"
7,560,SA03,SA09,"{""agreement"": 0.2219829261302948, ""completed"": true}"
7,560,SA09,SA03,"{""agreement"": 0.7578268051147461, ""completed"": true}"
7,580,SE14,SA12,"{""agreement"": 0.5688953995704651, ""completed"": true}"
7,580,SA12,SE14,"{""agreement"": 0.33452558517456055, ""completed"": true}"
7,580,SA03,SA09,"{""agreement"": 0.8544924855232239, ""completed"": true}"
7,580,SA09,SA03,"{""agreement"": -0.07038796693086624, ""completed"": true}"
7,600,SA13,SA09,"{""agreement"": 0.776654839515686, ""completed"": true}"
7,600,SA09,SA13,"{""agreement"": 0.5870783925056458, ""completed"": true}"
7,660,SA13,SA09,"{""agreement"": 0.7315991520881653, ""completed"": true}"
7,660,SA09,SA13,"{""agreement"": -0.11734720319509506, ""completed"": true}"
7,680,SA22,SA15,"{""agreement"": 0.711613118648529, ""completed"": true}"
7,680,SA15,SA22,"{""agreement"": 0.47787556052207947, ""completed"": true}"
7,700,SA02,SE11,"{""agreement"": 0.7113147377967834, ""completed"": true}"
7,700,SE11,SA02,"{""agreement"": -0.24620169401168823, ""completed"": true}"
7,760,SA14,SE11,"{""agreement"": 0.9100915789604187, ""completed"": true}"
7,760,SE11,SA14,"{""agreement"": 0.40391862392425537, ""completed"": true}"
7,760,SA02,SE11,"{""agreement"": 0.8879181146621704, ""completed"": true}"
7,800,SA14,SA12,"{""agreement"": 0.8292837142944336, ""completed"": true}"
7,800,SA12,SA14,"{""agreement"": -0.012874237261712551, ""completed"": true}"
7,800,SA22,SA02,"{""agreement"": 0.9639041423797607, ""completed"": true}"
7,800,SA02,SA22,"{""agreement"": 0.5851233005523682, ""completed"": true}"
7,820,SE14,SA09,"{""agreement"": 0.2959030568599701, ""completed"": true}"
7,820,SA09,SE14,"{""agreement"": 0.8107014894485474, ""completed"": true}"
7,860,SA03,SA09,"{""agreement"": 0.7982346415519714, ""completed"": true}"
7,860,SA09,SA03,"{""agreement"": 0.8013051152229309, ""completed"": true}"
7,860,SA02,SE11,"{""agreement"": 0.35577860474586487, ""completed"": true}"
7,860,SE11,SA02,"{""agreement"": 0.3628414273262024, ""completed"": true}"
7,880,SA02,SA15,"{""agreement"": -0.08301804959774017, ""completed"": true}"
7,880,SA15,SA02,"{""agreement"": 0.5503867268562317, ""completed"": true}"
7,940,SA02,SE11,"{""agreement"": 0.8068544268608093, ""completed"": true}"
7,940,SE11,SA02,"{""agreement"": -0.19621402025222778, ""completed"": true}"
7,960,SA22,SA02,"{""agreement"": 0.9302158951759338, ""completed"": true}"
7,960,SA02,SA22,"{""agreement"": 0.8086106181144714, ""completed"": true}"
7,960,SA03,SA13,"{""agreement"": 0.6463057398796082, ""completed"": true}"
7,960,SA13,SA03,"{""agreement"": 0.9163904786109924, ""completed"": true}"
7,960,SA09,SA13,"{""agreement"": 0.8541968464851379, ""completed"": true}"
7,980,SA02,SE11,"{""agreement"": 0.41268450021743774, ""completed"": true}"
7,980,SE11,SA02,"{""agreement"": 0.9096996784210205, ""completed"": true}"
7,1040,SA02,SE11,"{""agreement"": 0.6246059536933899, ""completed"": true}"
7,1040,SE11,SA02,"{""agreement"": 0.609390139579773, ""completed"": true}"
7,1060,SA03,SA12,"{""agreement"": 0.914864718914032, ""completed"": true}"
7,1060,SA12,SA09,"{""agreement"": 0.5020004510879517, ""completed"": true}"
7,1060,SA09,SA12,"{""agreement"": 0.6996428966522217, ""completed"": true}"
7,1080,SA22,SE11,"{""agreement"": 0.6890178918838501, ""completed"": true}"
7,1080,SE11,SA22,"{""agreement"": 0.15897908806800842, ""completed"": true}"
7,1080,SA13,SA09,"{""agreement"": 0.5207399129867554, ""completed"": true}"
7,1080,SA09,SA13,"{""agreement"": 0.5553527474403381, ""completed"": true}"
7,1120,SE14,SA12,"{""agreement"": -0.10608386248350143, ""completed"": true}"
7,1120,SA12,SE14,"{""agreement"": 0.7603780627250671, ""completed"": true}"
7,1120,SA03,SA13,"{""agreement"": 0.5925887227058411, ""completed"": true}"
7,1120,SA13,SA03,"{""agreement"": -0.1474526822566986, ""completed"": true}"
7,1200,SA13,SA09,"{""agreement"": 0.8332110643386841, ""completed"": true}"
7,1200,SA09,SA13,"{""agreement"": 0.7407287359237671, ""completed"": true}"
7,1200,SA02,SE11,"{""agreement"": 0.6145223379135132, ""completed"": true}"
7,1200,SE11,SA02,"{""agreement"": -0.8188037872314453, ""completed"": true}"
7,1220,SE14,SA12,"{""agreement"": -0.6437925100326538, ""completed"": true}"
7,1220,SA12,SE14,"{""agreement"": 0.5746863484382629, ""completed"": true}"
7,1220,SA13,SA02,"{""agreement"": 0.2260042279958725, ""completed"": true}"
7,1220,SA02,SA13,"{""agreement"": 0.8015868067741394, ""completed"": true}"
7,1240,SE14,SA12,"{""agreement"": 0.9086510539054871, ""completed"": true}"
7,1240,SA12,SE14,"{""agreement"": 0.7236858010292053, ""completed"": true}"
7,1240,SA03,SA09,"{""agreement"": 0.5705512762069702, ""completed"": true}"
7,1240,SA09,SA03,"{""agreement"": 0.8376817107200623, ""completed"": true}"
7,1240,SA02,SA09,"{""agreement"": 0.6599843502044678, ""completed"": true}"
7,1280,SE14,SE11,"{""agreement"": 0.9470906853675842, ""completed"": true}"
7,1280,SE11,SE14,"{""agreement"": 0.9931581616401672, ""completed"": true}"
7,1320,SA22,SA15,"{""agreement"": 0.49694177508354187, ""completed"": true}"
7,1320,SA15,SA22,"{""agreement"": -0.23451444506645203, ""completed"": true}"
7,1320,SA13,SA09,"{""agreement"": 0.720963180065155, ""completed"": true}"
7,1320,SA09,SA13,"{""agreement"": 0.7893410325050354, ""completed"": true}"
7,1340,SA15,SE11,"{""agreement"": 0.35972851514816284, ""completed"": true}"
7,1340,SE11,SA15,"{""agreement"": -0.1734527051448822, ""completed"": true}"
7,1360,SA22,SA12,"{""agreement"": 0.5470576286315918, ""completed"": true}"
7,1360,SA12,SA22,"{""agreement"": 0.7772851586341858, ""completed"": true}"
7,1360,SA13,SA09,"{""agreement"": -0.4247985780239105, ""completed"": true}"
7,1360,SA09,SA13,"{""agreement"": 0.624760091304779, ""completed"": true}"
7,1380,SA22,SA02,"{""agreement"": 0.6147263050079346, ""completed"": true}"
7,1380,SA02,SA22,"{""agreement"": 0.9192829132080078, ""completed"": true}"
7,1400,SA13,SA09,"{""agreement"": 0.6208164095878601, ""completed"": true}"
7,1400,SA09,SA13,"{""agreement"": 0.49088358879089355, ""completed"": true}"
7,1400,SA02,SA15,"{""agreement"": 0.6847118735313416, ""completed"": true}"
7,1400,SA15,SA02,"{""agreement"": 0.38079190254211426, ""completed"": true}"
7,1420,SA13,SA09,"{""agreement"": 0.8536242246627808, ""completed"": true}"
7,1420,SA09,SA13,"{""agreement"": 0.4004378616809845, ""completed"": true}"
7,1440,SA22,SE11,"{""agreement"": 0.20853252708911896, ""completed"": true}"
7,1440,SE11,SA22,"{""agreement"": -0.03957083821296692, ""completed"": true}"
7,1460,SA14,SE14,"{""agreement"": -0.2307421714067459, ""completed"": true}"
7,1460,SE14,SA14,"{""agreement"": -0.01401642058044672, ""completed"": true}"
7,1560,SA22,SE11,"{""agreement"": 0.5529965758323669, ""completed"": true}"
7,1560,SE11,SA22,"{""agreement"": -0.386322945356369, ""completed"": true}"
7,1620,SE14,SA12,"{""agreement"": 0.29627400636672974, ""completed"": true}"
7,1620,SA12,SE14,"{""agreement"": 0.21804508566856384, ""completed"": true}"
7,1640,SE14,SA12,"{""agreement"": -0.8752903938293457, ""completed"": true}"
7,1640,SA12,SE14,"{""agreement"": -0.41643765568733215, ""completed"": true}"
7,1640,SA13,SA09,"{""agreement"": 0.734819769859314, ""completed"": true}"
7,1640,SA09,SA13,"{""agreement"": 0.7346592545509338, ""completed"": true}"
7,1660,SA14,SE14,"{""agreement"": -0.10747101157903671, ""completed"": true}"
7,1660,SE14,SA14,"{""agreement"": -0.5654736161231995, ""completed"": true}"
7,1660,SA12,SE14,"{""agreement"": -0.23346896469593048, ""completed"": true}"
7,1660,SA22,SA02,"{""agreement"": 0.31963464617729187, ""completed"": true}"
7,1660,SA02,SA22,"{""agreement"": 0.7328028678894043, ""completed"": true}"
7,1680,SA14,SE14,"{""agreement"": 0.5962343215942383, ""completed"": true}"
7,1680,SE14,SA14,"{""agreement"": 0.18389664590358734, ""completed"": true}"
7,1680,SA22,SA02,"{""agreement"": 0.6714162826538086, ""completed"": true}"
