seed,time,node,split,accuracy,macro_f1
7,0,SA02,test,0.4154411852359772,0.30841928520028783
7,0,SA03,test,0.3970588147640228,0.28909287945432527
7,0,SA09,test,0.39338234066963196,0.29183431952662725
7,0,SA12,test,0.34558823704719543,0.2568306010928962
7,0,SA13,test,0.3345588147640228,0.2547719600986937
7,0,SA14,test,0.4154411852359772,0.2935064935064935
7,0,SA15,test,0.4324324429035187,0.3018867924528302
7,0,SA22,test,0.4264705777168274,0.29896907216494845
7,0,SE11,test,0.140625,0.1232876712328767
7,0,SE14,test,0.015625,0.015384615384615385
7,900,SA02,test,0.6691176295280457,0.6304347826086957
7,900,SA03,test,0.7757353186607361,0.773503515118422
7,900,SA09,test,0.7095588445663452,0.7066684867927104
7,900,SA12,test,0.654411792755127,0.6534937930286768
7,900,SA13,test,0.7720588445663452,0.7692518198237643
7,900,SA14,test,0.7536764740943909,0.74317563663524
7,900,SA15,test,0.6370656490325928,0.6370169370229007
7,900,SA22,test,0.7022058963775635,0.7021052204599846
7,900,SE11,test,1.0,0.5
7,900,SE14,test,1.0,0.5
7,1800,SA02,test,0.6727941036224365,0.6045413705791065
7,1800,SA03,test,0.8014705777168274,0.7805402820941907
7,1800,SA09,test,0.7941176295280457,0.770048309178744
7,1800,SA12,test,0.8713235259056091,0.8588018925292555
7,1800,SA13,test,0.8235294222831726,0.7984189723320159
7,1800,SA14,test,0.7389705777168274,0.7027047830169799
7,1800,SA15,test,0.6640926599502563,0.6620776533045396
7,1800,SA22,test,0.7867646813392639,0.7799107142857142
7,1800,SE11,test,1.0,0.5
7,1800,SE14,test,1.0,0.5
7,2700,SA02,test,0.6654411554336548,0.589485031926362
7,2700,SA03,test,0.783088207244873,0.7415905833856657
7,2700,SA09,test,0.7977941036224365,0.7697008882525901
7,2700,SA12,test,0.8639705777168274,0.8468258679207951
7,2700,SA13,test,0.8272058963775635,0.8008195316516835
7,2700,SA14,test,0.7904411554336548,0.7689246590655041
7,2700,SA15,test,0.7335907220840454,0.6911604596906593
7,2700,SA22,test,0.783088207244873,0.7557493569547814
7,2700,SE11,test,1.0,0.5
7,2700,SE14,test,1.0,0.5
7,3600,SA02,test,0.6911764740943909,0.6333761232349165
7,3600,SA03,test,0.8272058963775635,0.8075133629451179
7,3600,SA09,test,0.8125,0.7922077922077921
7,3600,SA12,test,0.8602941036224365,0.8394532463497981
7,3600,SA13,test,0.8125,0.7811124260355029
7,3600,SA14,test,0.7941176295280457,0.7803921568627451
7,3600,SA15,test,0.7181467413902283,0.6794391414184229
7,3600,SA22,test,0.7610294222831726,0.7245376501565836
7,3600,SE11,test,1.0,0.5
7,3600,SE14,test,1.0,0.5
7,4500,SA02,test,0.7095588445663452,0.6609388560157792
7,4500,SA03,test,0.8382353186607361,0.8202679161410464
7,4500,SA09,test,0.7977941036224365,0.7735494906377246
7,4500,SA12,test,0.8639705777168274,0.8459631131858881
7,4500,SA13,test,0.8308823704719543,0.8056539297918608
7,4500,SA14,test,0.7720588445663452,0.7516347569955817
7,4500,SA15,test,0.7142857313156128,0.69107027724049
7,4500,SA22,test,0.7683823704719543,0.7346341463414634
7,4500,SE11,test,1.0,0.5
7,4500,SE14,test,1.0,0.5
7,5400,SA02,test,0.7132353186607361,0.6704566635601119
7,5400,SA03,test,0.8161764740943909,0.7912445508687911
7,5400,SA09,test,0.8014705777168274,0.7805402820941907
7,5400,SA12,test,0.8639705777168274,0.8468258679207951
7,5400,SA13,test,0.8492646813392639,0.8320861251223368
7,5400,SA14,test,0.7720588445663452,0.7538389677118
7,5400,SA15,test,0.7104247212409973,0.6928222401442193
7,5400,SA22,test,0.8345588445663452,0.820945303471379
7,5400,SE11,test,1.0,0.5
7,5400,SE14,test,1.0,0.5
7,6300,SA02,test,0.716911792755127,0.6862745098039216
7,6300,SA03,test,0.8161764740943909,0.7946859903381642
7,6300,SA09,test,0.8051470518112183,0.7861857229728728
7,6300,SA12,test,0.8897058963775635,0.8786797502230151
7,6300,SA13,test,0.8786764740943909,0.868693222545678
7,6300,SA14,test,0.8051470518112183,0.7955264314993689
7,6300,SA15,test,0.7142857313156128,0.6975063131313132
7,6300,SA22,test,0.8272058963775635,0.8160443197352327
7,6300,SE11,test,1.0,0.5
7,6300,SE14,test,1.0,0.5
7,7200,SA02,test,0.7463235259056091,0.7277751185762151
7,7200,SA03,test,0.8382353186607361,0.8281151260986959
7,7200,SA09,test,0.8235294222831726,0.8102325581395349
7,7200,SA12,test,0.8933823704719543,0.8830072823813833
7,7200,SA13,test,0.8786764740943909,0.868693222545678
7,7200,SA14,test,0.8345588445663452,0.8269597794585424
7,7200,SA15,test,0.7027027010917664,0.6881226053639846
7,7200,SA22,test,0.8897058963775635,0.8858485815007555
7,7200,SE11,test,1.0,0.5
7,7200,SE14,test,1.0,0.5
7,8100,SA02,test,0.7683823704719543,0.7585084344480616
7,8100,SA03,test,0.8345588445663452,0.82014547057527
7,8100,SA09,test,0.8088235259056091,0.7935423600163485
7,8100,SA12,test,0.8933823704719543,0.8846091955704443
7,8100,SA13,test,0.875,0.8661339818192345
7,8100,SA14,test,0.8198529481887817,0.8103126823505971
7,8100,SA15,test,0.7258687019348145,0.7092050540031943
7,8100,SA22,test,0.845588207244873,0.8365384615384616
7,8100,SE11,test,1.0,0.5
7,8100,SE14,test,1.0,0.5
7,9000,SA02,test,0.7536764740943909,0.740631626887551
7,9000,SA03,test,0.8345588445663452,0.820945303471379
7,9000,SA09,test,0.8308823704719543,0.8222323255285293
7,9000,SA12,test,0.8566176295280457,0.8426649659611705
7,9000,SA13,test,0.875,0.8644147314098053
7,9000,SA14,test,0.8088235259056091,0.7990452375539896
7,9000,SA15,test,0.7374517321586609,0.7292793900639449
7,9000,SA22,test,0.8713235259056091,0.8673632880529432
7,9000,SE11,test,1.0,0.5
7,9000,SE14,test,1.0,0.5
7,9900,SA02,test,0.7977941036224365,0.7885063971159962
7,9900,SA03,test,0.8235294222831726,0.8173577304012087
7,9900,SA09,test,0.845588207244873,0.8359280749123916
7,9900,SA12,test,0.8933823704719543,0.8864954313259947
7,9900,SA13,test,0.8860294222831726,0.8799937378136431
7,9900,SA14,test,0.8345588445663452,0.8303181534622582
7,9900,SA15,test,0.7567567825317383,0.7501875468867216
7,9900,SA22,test,0.8786764740943909,0.8731038382695978
7,9900,SE11,test,1.0,0.5
7,9900,SE14,test,1.0,0.5
7,10800,SA02,test,0.7867646813392639,0.7793072575681271
7,10800,SA03,test,0.8161764740943909,0.8054029304029304
7,10800,SA09,test,0.845588207244873,0.838232795242141
7,10800,SA12,test,0.904411792755127,0.8984316654219566
7,10800,SA13,test,0.8897058963775635,0.8832417582417582
7,10800,SA14,test,0.8345588445663452,0.8299031392876499
7,10800,SA15,test,0.8108108043670654,0.8094358604741956
7,10800,SA22,test,0.8970588445663452,0.8934586760673717
7,10800,SE11,test,1.0,0.5
7,10800,SE14,test,1.0,0.5
7,11700,SA02,test,0.7757353186607361,0.76302220952653
7,11700,SA03,test,0.8161764740943909,0.8054029304029304
7,11700,SA09,test,0.841911792755127,0.8323370461159134
7,11700,SA12,test,0.908088207244873,0.9025215384394845
7,11700,SA13,test,0.8676470518112183,0.8536935213961272
7,11700,SA14,test,0.8235294222831726,0.8178571428571428
7,11700,SA15,test,0.80694979429245,0.8029279279279279
7,11700,SA22,test,0.8786764740943909,0.8761298869768019
7,11700,SE11,test,1.0,0.5
7,11700,SE14,test,1.0,0.5
