seed,time,requester_id,peer_id,details
7,0,SE14,SA12,"{""completed"": true}"
7,0,SA12,SE14,"{""completed"": true}"
7,0,SA22,SA09,"{""completed"": true}"
7,0,SA09,SA22,"{""completed"": true}"
7,40,SA03,SA15,"{""completed"": true}"
7,40,SA15,SA03,"{""completed"": true}"
7,60,SA14,SE11,"{""completed"": true}"
7,60,SE11,SA14,"{""completed"": true}"
7,80,SA22,SA12,"{""completed"": true}"
7,80,SA12,SA22,"{""completed"": true}"
7,80,SA02,SA15,"{""completed"": true}"
7,80,SA15,SA02,"{""completed"": true}"
7,100,SA13,SE11,"{""completed"": true}"
7,100,SE11,SA13,"{""completed"": true}"
7,120,SA14,SA13,"{""completed"": true}"
7,120,SA13,SA14,"{""completed"": true}"
7,160,SA03,SA15,"{""completed"": true}"
7,160,SA15,SA03,"{""completed"": true}"
7,180,SE14,SA12,"{""completed"": true}"
7,180,SA12,SE14,"{""completed"": true}"
7,200,SA03,SA15,"{""completed"": true}"
7,200,SA15,SA03,"{""completed"": true}"
7,220,SE14,SA12,"{""completed"": true}"
7,220,SA12,SE14,"{""completed"": true}"
7,240,SA14,SE11,"{""completed"": true}"
7,240,SE11,SA14,"{""completed"": true}"
7,240,SA22,SA09,"{""completed"": true}"
7,240,SA09,SA22,"{""completed"": true}"
7,260,SA03,SA15,"{""completed"": true}"
7,260,SA15,SA03,"{""completed"": true}"
7,320,SA14,SE11,"{""completed"": true}"
7,320,SE11,SA14,"{""completed"": true}"
7,320,SA09,SA12,"{""completed"": true}"
7,320,SA22,SA03,"{""completed"": true}"
7,320,SA03,SA22,"{""completed"": true}"
7,320,SA12,SA09,"{""completed"": true}"
7,340,SA02,SA15,"{""completed"": true}"
7,340,SA15,SA02,"{""completed"": true}"
7,360,SA14,SA13,"{""completed"": true}"
7,360,SA13,SA14,"{""completed"": true}"
7,360,SE14,SA22,"{""completed"": true}"
7,360,SA22,SE14,"{""completed"": true}"
7,440,SA14,SA13,"{""completed"": true}"
7,440,SA13,SA14,"{""completed"": true}"
7,480,SE14,SA09,"{""completed"": true}"
7,480,SA09,SE14,"{""completed"": true}"
7,500,SA03,SA02,"{""completed"": true}"
7,500,SA02,SA03,"{""completed"": true}"
7,520,SA03,SA15,"{""completed"": true}"
7,520,SA15,SA03,"{""completed"": true}"
7,540,SA14,SE11,"{""completed"": true}"
7,540,SE11,SA14,"{""completed"": true}"
7,580,SE14,SA12,"{""completed"": true}"
7,580,SA12,SE14,"{""completed"": true}"
7,620,SA02,SA15,"{""completed"": true}"
7,620,SA15,SA02,"{""completed"": true}"
7,700,SA13,SE11,"{""completed"": true}"
7,700,SE11,SA13,"{""completed"": true}"
7,760,SA14,SA13,"{""completed"": true}"
7,760,SA13,SA14,"{""completed"": true}"
7,760,SE14,SA22,"{""completed"": true}"
7,760,SA22,SE14,"{""completed"": true}"
7,760,SA03,SA02,"{""completed"": true}"
7,760,SA02,SA03,"{""completed"": true}"
7,800,SA12,SA13,"{""completed"": true}"
7,800,SA13,SA12,"{""completed"": true}"
7,840,SA09,SA12,"{""completed"": true}"
7,840,SA12,SA09,"{""completed"": true}"
7,900,SE14,SA09,"{""completed"": true}"
7,900,SA09,SE14,"{""completed"": true}"
7,900,SA03,SA15,"{""completed"": true}"
7,900,SA15,SA03,"{""completed"": true}"
7,920,SA13,SE11,"{""completed"": true}"
7,920,SE11,SA13,"{""completed"": true}"
7,940,SE11,SA13,"{""completed"": true}"
7,940,SA13,SE11,"{""completed"": true}"
7,1020,SA13,SE11,"{""completed"": true}"
7,1020,SE11,SA13,"{""completed"": true}"
7,1020,SA02,SA15,"{""completed"": true}"
7,1020,SA15,SA02,"{""completed"": true}"
7,1040,SA14,SA13,"{""completed"": true}"
7,1040,SA13,SA14,"{""completed"": true}"
7,1100,SE14,SA12,"{""completed"": true}"
