seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,SA14,0.7032530903816223,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA22,0.7426276206970215,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA03,0.7186125218868256,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA13,0.7112320363521576,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA02,0.7127148807048798,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,SA15,0.7284897863864899,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA14,0.7306373715400696,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA22,0.7281407713890076,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA03,0.7221850156784058,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA13,0.732268899679184,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA02,0.7359820008277893,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,SA15,0.7341058552265167,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA14,0.7056498229503632,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA22,0.6965168118476868,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA03,0.695324718952179,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA13,0.704524040222168,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA02,0.7081533968448639,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,SA15,0.6915000677108765,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA14,0.707334965467453,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA22,0.7076275050640106,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SE14,0.7977493405342102,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA13,0.6927266418933868,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA03,0.6847675442695618,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA02,0.7176795899868011,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,SA15,0.7133242785930634,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SE14,0.7749030590057373,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SA13,0.7091650366783142,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SA22,0.7000560760498047,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SA03,0.6843443959951401,4,12,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,SA02,0.7118400931358337,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,SA15,0.6876224279403687,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SA14,0.6890590786933899,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SA22,0.6912526488304138,4,14,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,100,SE14,0.752543568611145,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SA13,0.7051958441734314,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SA03,0.6742333918809891,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,100,SA02,0.6905647218227386,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,SA15,0.6855286359786987,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA14,0.6946324706077576,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA22,0.6852009743452072,4,18,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,120,SE14,0.7224684655666351,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA13,0.6924125552177429,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA03,0.6640467941761017,4,20,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,120,SA02,0.692307323217392,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,SA15,0.6877040863037109,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA14,0.6791234314441681,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA22,0.6760210692882538,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SE14,0.6938981413841248,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA13,0.6714512705802917,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,140,SA03,0.646667093038559,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SA14,0.678527295589447,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SA22,0.6530619114637375,4,24,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,160,SE14,0.6634827852249146,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SA13,0.675126314163208,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SA09,0.7323406636714935,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,SA03,0.6521056294441223,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA14,0.665076732635498,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA22,0.6517458856105804,4,28,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,180,SA09,0.722466379404068,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA03,0.6401484310626984,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SA13,0.6699040234088898,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,SE11,0.8040129542350769,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA22,0.6562816202640533,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA09,0.6964525878429413,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA03,0.6496614515781403,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SA13,0.6747564971446991,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,SE11,0.7714163064956665,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SA22,0.622158020734787,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SA09,0.7020117342472076,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SA03,0.6073263585567474,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SA13,0.6607618629932404,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,SE11,0.7353425323963165,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,SA22,0.6497195959091187,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,SA09,0.7211629748344421,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,SA03,0.6161683797836304,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,SA13,0.6499978303909302,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,SE11,0.7220632433891296,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA22,0.6064679622650146,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA09,0.7021078169345856,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA03,0.62665656208992,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SA13,0.6408591866493225,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,SE11,0.7021737098693848,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
