seed,time,requester_id,peer_id,details
7,0,SA14,SA13,"{""agreement"": 0.8021657466888428, ""completed"": true}"
7,0,SA13,SA14,"{""agreement"": 0.6770318150520325, ""completed"": true}"
7,0,SA22,SA03,"{""agreement"": 0.8997423648834229, ""completed"": true}"
7,0,SA03,SA09,"{""agreement"": 0.28879278898239136, ""completed"": true}"
7,0,SA09,SA03,"{""agreement"": 0.5021722912788391, ""completed"": true}"
7,20,SA14,SA13,"{""agreement"": 0.34649255871772766, ""completed"": true}"
7,20,SA13,SA14,"{""agreement"": 0.5482832193374634, ""completed"": true}"
7,20,SA22,SA03,"{""agreement"": 0.5501396656036377, ""completed"": true}"
7,20,SA03,SA22,"{""agreement"": 0.7832747101783752, ""completed"": true}"
7,20,SA09,SA03,"{""agreement"": 0.952093243598938, ""completed"": true}"
7,40,SA14,SA13,"{""agreement"": 0.24895858764648438, ""completed"": true}"
7,40,SA13,SA14,"{""agreement"": 0.8940891027450562, ""completed"": true}"
7,40,SA22,SA03,"{""agreement"": 0.6176977157592773, ""completed"": true}"
7,40,SA03,SA22,"{""agreement"": 0.8667727708816528, ""completed"": true}"
7,40,SA09,SA03,"{""agreement"": 0.887235164642334, ""completed"": true}"
7,60,SA14,SA13,"{""agreement"": 0.6236574053764343, ""completed"": true}"
7,60,SA13,SA14,"{""agreement"": 0.7154572010040283, ""completed"": true}"
7,60,SA22,SA03,"{""agreement"": 0.9097012877464294, ""completed"": true}"
7,60,SA03,SA22,"{""agreement"": 0.554241418838501, ""completed"": true}"
7,60,SA09,SA03,"{""agreement"": -0.28915852308273315, ""completed"": true}"
7,80,SA22,SA03,"{""agreement"": 0.6984303593635559, ""completed"": true}"
7,80,SA03,SA22,"{""agreement"": 0.88392573595047, ""completed"": true}"
7,80,SA09,SA03,"{""agreement"": 0.9142199754714966, ""completed"": true}"
7,100,SA22,SA03,"{""agreement"": 0.8632819652557373, ""completed"": true}"
7,100,SA03,SA22,"{""agreement"": 0.9065036177635193, ""completed"": true}"
7,100,SA09,SA03,"{""agreement"": -0.28076931834220886, ""completed"": true}"
7,120,SA22,SA03,"{""agreement"": 0.6936612129211426, ""completed"": true}"
7,120,SA03,SA22,"{""agreement"": 0.3267030119895935, ""completed"": true}"
7,120,SA09,SA03,"{""agreement"": 0.807746410369873, ""completed"": true}"
7,140,SE14,SE11,"{""agreement"": 0.9838019609451294, ""completed"": true}"
7,140,SE11,SE14,"{""agreement"": 0.9876499176025391, ""completed"": true}"
7,160,SE14,SE11,"{""agreement"": 0.8933570384979248, ""completed"": true}"
7,160,SE11,SE14,"{""agreement"": 0.9631485342979431, ""completed"": true}"
7,160,SA22,SA02,"{""agreement"": 0.6207730174064636, ""completed"": true}"
7,160,SA02,SA22,"{""agreement"": 0.8722702264785767, ""completed"": true}"
7,180,SA14,SE14,"{""agreement"": 0.9068686366081238, ""completed"": true}"
7,180,SE14,SA14,"{""agreement"": 0.9034340977668762, ""completed"": true}"
7,180,SA22,SA02,"{""agreement"": 0.9249799251556396, ""completed"": true}"
7,180,SA02,SA22,"{""agreement"": 0.7956646084785461, ""completed"": true}"
7,180,SE11,SA22,"{""agreement"": 0.8210110664367676, ""completed"": true}"
7,200,SA14,SE14,"{""agreement"": 0.8747608661651611, ""completed"": true}"
7,200,SE14,SA14,"{""agreement"": 0.8247485160827637, ""completed"": true}"
7,200,SA22,SA02,"{""agreement"": 0.8929018974304199, ""completed"": true}"
7,200,SA02,SA22,"{""agreement"": 0.6805225610733032, ""completed"": true}"
7,200,SE11,SA22,"{""agreement"": 0.9044052958488464, ""completed"": true}"
7,220,SA14,SE14,"{""agreement"": 0.8339535593986511, ""completed"": true}"
7,220,SE14,SA14,"{""agreement"": 0.6875852942466736, ""completed"": true}"
7,220,SA15,SA14,"{""agreement"": 0.3433768153190613, ""completed"": true}"
7,220,SA22,SA02,"{""agreement"": 0.3129977881908417, ""completed"": true}"
7,220,SA02,SA22,"{""agreement"": 0.352877676486969, ""completed"": true}"
7,220,SE11,SA22,"{""agreement"": 0.9494936466217041, ""completed"": true}"
7,240,SA14,SE14,"{""agreement"": 0.372197687625885, ""completed"": true}"
7,240,SE14,SA14,"{""agreement"": 0.8983287811279297, ""completed"": true}"
7,240,SA15,SA14,"{""agreement"": 0.8815369606018066, ""completed"": true}"
7,240,SA22,SA02,"{""agreement"": 0.7588985562324524, ""completed"": true}"
7,240,SA02,SA22,"{""agreement"": 0.9279496669769287, ""completed"": true}"
7,240,SE11,SA22,"{""agreement"": -0.022212881594896317, ""completed"": true}"
7,260,SA14,SE14,"{""agreement"": 0.7061119079589844, ""completed"": true}"
7,260,SE14,SA14,"{""agreement"": -0.5914778113365173, ""completed"": true}"
7,260,SA15,SA14,"{""agreement"": 0.33811458945274353, ""completed"": true}"
7,260,SA22,SA02,"{""agreement"": 0.07066412270069122, ""completed"": true}"
7,260,SA02,SA22,"{""agreement"": 0.5397931933403015, ""completed"": true}"
7,260,SE11,SA22,"{""agreement"": 0.6107202172279358, ""completed"": true}"
7,280,SA14,SE14,"{""agreement"": 0.5710679292678833, ""completed"": true}"
7,280,SE14,SA14,"{""agreement"": 0.25245150923728943, ""completed"": true}"
7,280,SA15,SA14,"{""agreement"": 0.93050616979599, ""completed"": true}"
7,280,SA22,SA02,"{""agreement"": 0.7399417161941528, ""completed"": true}"
7,280,SA02,SA22,"{""agreement"": 0.8592299222946167, ""completed"": true}"
7,280,SE11,SA22,"{""agreement"": 0.6086851954460144, ""completed"": true}"
7,300,SA14,SA15,"{""agreement"": 0.7461861968040466, ""completed"": true}"
7,300,SA15,SA14,"{""agreement"": 0.8990064263343811, ""completed"": true}"
7,300,SA22,SA02,"{""agreement"": 0.7848096489906311, ""completed"": true}"
7,300,SA02,SA22,"{""agreement"": 0.5581352114677429, ""completed"": true}"
7,300,SE11,SA22,"{""agreement"": -0.7320867776870728, ""completed"": true}"
7,320,SA22,SA02,"{""agreement"": 0.7121676206588745, ""completed"": true}"
7,320,SA02,SA22,"{""agreement"": 0.7194436192512512, ""completed"": true}"
7,320,SE11,SA22,"{""agreement"": -0.5268958210945129, ""completed"": true}"
7,340,SA22,SA02,"{""agreement"": 0.6235259175300598, ""completed"": true}"
7,340,SA02,SA22,"{""agreement"": 0.8633801937103271, ""completed"": true}"
7,340,SE11,SA22,"{""agreement"": 0.6147950887680054, ""completed"": true}"
7,360,SA22,SA02,"{""agreement"": 0.5993717908859253, ""completed"": true}"
7,360,SA02,SA22,"{""agreement"": 0.4783060550689697, ""completed"": true}"
7,360,SE11,SA22,"{""agreement"": 0.28511980175971985, ""completed"": true}"
7,380,SA22,SA02,"{""agreement"": 0.4171455204486847, ""completed"": true}"
7,380,SA02,SA22,"{""agreement"": 0.5743960738182068, ""completed"": true}"
7,380,SE11,SA22,"{""agreement"": 0.31520599126815796, ""completed"": true}"
7,400,SA22,SA02,"{""agreement"": 0.16264508664608002, ""completed"": true}"
7,400,SA02,SA22,"{""agreement"": 0.3293088674545288, ""completed"": true}"
7,400,SE11,SA22,"{""agreement"": 0.03331005945801735, ""completed"": true}"
7,400,SA13,SA09,"{""agreement"": 0.7022601962089539, ""completed"": true}"
7,400,SA09,SA13,"{""agreement"": 0.611926257610321, ""completed"": true}"
7,420,SA22,SA02,"{""agreement"": 0.9414684772491455, ""completed"": true}"
7,420,SA02,SA22,"{""agreement"": 0.7818361520767212, ""completed"": true}"
7,420,SE11,SA22,"{""agreement"": -0.05775522068142891, ""completed"": true}"
7,420,SA13,SA09,"{""agreement"": 0.43510308861732483, ""completed"": true}"
7,420,SA09,SA13,"{""agreement"": 0.4699532687664032, ""completed"": true}"
7,440,SA22,SE11,"{""agreement"": 0.7398895621299744, ""completed"": true}"
7,440,SE11,SA22,"{""agreement"": -0.09933697432279587, ""completed"": true}"
7,460,SA22,SE11,"{""agreement"": 0.6933057308197021, ""completed"": true}"
7,460,SE11,SA22,"{""agreement"": 0.25787898898124695, ""completed"": true}"
7,480,SA22,SE11,"{""agreement"": 0.4689267575740814, ""completed"": true}"
7,480,SE11,SA22,"{""agreement"": 0.2213146984577179, ""completed"": true}"
7,500,SA22,SE11,"{""agreement"": 0.4526819884777069, ""completed"": true}"
7,500,SE11,SA22,"{""agreement"": -0.1596669703722, ""completed"": true}"
7,520,SA22,SE11,"{""agreement"": 0.7035234570503235, ""completed"": true}"
7,520,SE11,SA09,"{""agreement"": -0.603209376335144, ""completed"": true}"
7,520,SA09,SE11,"{""agreement"": 0.8896306753158569, ""completed"": true}"
7,540,SA22,SE11,"{""agreement"": 0.17618104815483093, ""completed"": true}"
7,540,SE11,SA09,"{""agreement"": -0.5849025845527649, ""completed"": true}"
7,540,SA09,SE11,"{""agreement"": 0.8965703845024109, ""completed"": true}"
7,560,SA22,SE11,"{""agreement"": 0.4884098768234253, ""completed"": true}"
7,560,SE11,SA22,"{""agreement"": -0.7209492921829224, ""completed"": true}"
7,560,SA09,SE11,"{""agreement"": 0.5771294832229614, ""completed"": true}"
7,580,SA22,SE11,"{""agreement"": -0.462898313999176, ""completed"": true}"
7,580,SE11,SA09,"{""agreement"": -0.01295641902834177, ""completed"": true}"
7,580,SA09,SE11,"{""agreement"": 0.9598453044891357, ""completed"": true}"
7,600,SA22,SE11,"{""agreement"": 0.005787001457065344, ""completed"": true}"
7,600,SE11,SA09,"{""agreement"": -0.5400577187538147, ""completed"": true}"
7,600,SA12,SA13,"{""agreement"": 0.16634905338287354, ""completed"": true}"
7,600,SA13,SA12,"{""agreement"": 0.8665309548377991, ""completed"": true}"
7,600,SA09,SE11,"{""agreement"": 0.7397357225418091, ""completed"": true}"
7,620,SA22,SE11,"{""agreement"": 0.5072283744812012, ""completed"": true}"
7,620,SE11,SA22,"{""agreement"": -0.5729290843009949, ""completed"": true}"
7,620,SA12,SA13,"{""agreement"": 0.6041247844696045, ""completed"": true}"
7,620,SA13,SA12,"{""agreement"": 0.6663479804992676, ""completed"": true}"
7,640,SA22,SE11,"{""agreement"": 0.17949949204921722, ""completed"": true}"
7,640,SE11,SA02,"{""agreement"": -0.5985435247421265, ""completed"": true}"
7,640,SA12,SA13,"{""agreement"": 0.6847040057182312, ""completed"": true}"
7,640,SA13,SA12,"{""agreement"": 0.8031997084617615, ""completed"": true}"
7,640,SA02,SE11,"{""agreement"": 0.93248051404953, ""completed"": true}"
7,660,SA12,SA13,"{""agreement"": 0.9016789197921753, ""completed"": true}"
7,660,SA13,SA12,"{""agreement"": 0.7757071256637573, ""completed"": true}"
7,660,SA02,SE11,"{""agreement"": 0.5748819708824158, ""completed"": true}"
7,660,SE11,SA02,"{""agreement"": -0.2082061469554901, ""completed"": true}"
7,680,SA02,SE11,"{""agreement"": 0.740269660949707, ""completed"": true}"
7,680,SE11,SA02,"{""agreement"": -0.9456444382667542, ""completed"": true}"
7,700,SA14,SE14,"{""agreement"": 0.6853569149971008, ""completed"": true}"
7,700,SE14,SA14,"{""agreement"": 0.6126517653465271, ""completed"": true}"
7,700,SA03,SA15,"{""agreement"": 0.5674211382865906, ""completed"": true}"
7,700,SA15,SA03,"{""agreement"": 0.021181510761380196, ""completed"": true}"
7,700,SA02,SE11,"{""agreement"": 0.6471264958381653, ""completed"": true}"
7,720,SA14,SE14,"{""agreement"": 0.5066326260566711, ""completed"": true}"
7,720,SE14,SA14,"{""agreement"": 0.17321497201919556, ""completed"": true}"
7,720,SA03,SA15,"{""agreement"": 0.6070536375045776, ""completed"": true}"
7,720,SA15,SA03,"{""agreement"": -0.14298675954341888, ""completed"": true}"
7,740,SA14,SE14,"{""agreement"": -0.12501443922519684, ""completed"": true}"
7,740,SE14,SA14,"{""agreement"": -0.10869696736335754, ""completed"": true}"
7,740,SA03,SA15,"{""agreement"": 0.7896256446838379, ""completed"": true}"
7,740,SA15,SA03,"{""agreement"": 0.6923354268074036, ""completed"": true}"
7,760,SA14,SE14,"{""agreement"": -0.19236169755458832, ""completed"": true}"
7,760,SE14,SA14,"{""agreement"": 0.5238452553749084, ""completed"": true}"
7,760,SA22,SA12,"{""agreement"": 0.29054856300354004, ""completed"": true}"
7,760,SA12,SA09,"{""agreement"": 0.8879668712615967, ""completed"": true}"
7,760,SA09,SA12,"{""agreement"": 0.2844744920730591, ""completed"": true}"
7,760,SA15,SA09,"{""agreement"": 0.5930567383766174, ""completed"": true}"
7,780,SA14,SE14,"{""agreement"": 0.19714942574501038, ""completed"": true}"
7,780,SE14,SA14,"{""agreement"": 0.009955797344446182, ""completed"": true}"
7,780,SA22,SA12,"{""agreement"": 0.5967046022415161, ""completed"": true}"
7,780,SA12,SA09,"{""agreement"": 0.15826202929019928, ""completed"": true}"
7,780,SA09,SA15,"{""agreement"": 0.8673780560493469, ""completed"": true}"
7,780,SA15,SA09,"{""agreement"": 0.4763128459453583, ""completed"": true}"
7,800,SA14,SA02,"{""agreement"": 0.011881278827786446, ""completed"": true}"
7,800,SE14,SA14,"{""agreement"": 0.3574088215827942, ""completed"": true}"
7,800,SA02,SA14,"{""agreement"": 0.40646111965179443, ""completed"": true}"
7,800,SA22,SA12,"{""agreement"": -0.23393288254737854, ""completed"": true}"
7,800,SA12,SA09,"{""agreement"": 0.8565273880958557, ""completed"": true}"
7,800,SA09,SA15,"{""agreement"": 0.10138718038797379, ""completed"": true}"
7,800,SA15,SA09,"{""agreement"": 0.8321684002876282, ""completed"": true}"
7,820,SA14,SE14,"{""agreement"": -0.002877793973311782, ""completed"": true}"
7,820,SE14,SA14,"{""agreement"": 0.24728748202323914, ""completed"": true}"
7,820,SA02,SA14,"{""agreement"": 0.6325945854187012, ""completed"": true}"
7,820,SA22,SA12,"{""agreement"": 0.8111217617988586, ""completed"": true}"
7,820,SA12,SA09,"{""agreement"": 0.9385446310043335, ""completed"": true}"
7,820,SA09,SA12,"{""agreement"": 0.5236756801605225, ""completed"": true}"
7,840,SA14,SA02,"{""agreement"": 0.5261057615280151, ""completed"": true}"
7,840,SA02,SA14,"{""agreement"": 0.4589417278766632, ""completed"": true}"
7,840,SA22,SA12,"{""agreement"": 0.6165991425514221, ""completed"": true}"
7,840,SA12,SA09,"{""agreement"": 0.640865683555603, ""completed"": true}"
7,840,SA09,SA12,"{""agreement"": 0.8160393238067627, ""completed"": true}"
7,860,SA14,SA09,"{""agreement"": 0.5699940919876099, ""completed"": true}"
