seed,time,requester_id,peer_id,details
7,0,SA03,SA13,"{""agreement"": 0.8798646330833435, ""completed"": true}"
7,0,SA13,SA03,"{""agreement"": 0.9033021330833435, ""completed"": true}"
7,20,SA03,SA13,"{""agreement"": 0.594556987285614, ""completed"": true}"
7,20,SA13,SA03,"{""agreement"": 0.36726173758506775, ""completed"": true}"
7,40,SA03,SA13,"{""agreement"": 0.8425370454788208, ""completed"": true}"
7,40,SA13,SA03,"{""agreement"": 0.27869266271591187, ""completed"": true}"
7,60,SA03,SA13,"{""agreement"": 0.7700029611587524, ""completed"": true}"
7,60,SA13,SA03,"{""agreement"": 0.8614016771316528, ""completed"": true}"
7,80,SA03,SA13,"{""agreement"": 0.49622100591659546, ""completed"": true}"
7,80,SA13,SA03,"{""agreement"": 0.8398700952529907, ""completed"": true}"
7,100,SA14,SA22,"{""agreement"": 0.6430290937423706, ""completed"": true}"
7,100,SA22,SA14,"{""agreement"": 0.930300772190094, ""completed"": true}"
7,100,SA03,SA13,"{""agreement"": 0.8978878855705261, ""completed"": true}"
7,100,SA13,SA03,"{""agreement"": 0.8486573100090027, ""completed"": true}"
7,120,SA14,SA22,"{""agreement"": 0.7503260374069214, ""completed"": true}"
7,120,SA22,SA14,"{""agreement"": 0.5574159622192383, ""completed"": true}"
7,120,SA03,SA13,"{""agreement"": 0.632278323173523, ""completed"": true}"
7,120,SA13,SA03,"{""agreement"": 0.7064204812049866, ""completed"": true}"
7,140,SA14,SA22,"{""agreement"": 0.3730841875076294, ""completed"": true}"
7,140,SA22,SA14,"{""agreement"": 0.6417680978775024, ""completed"": true}"
7,140,SA03,SA13,"{""agreement"": 0.8343968987464905, ""completed"": true}"
7,140,SA13,SA03,"{""agreement"": 0.16868956387043, ""completed"": true}"
7,160,SA14,SA22,"{""agreement"": 0.15686839818954468, ""completed"": true}"
7,160,SA22,SA14,"{""agreement"": 0.8390777111053467, ""completed"": true}"
7,160,SA03,SA13,"{""agreement"": 0.2802789807319641, ""completed"": true}"
7,160,SA13,SA03,"{""agreement"": -0.1999441236257553, ""completed"": true}"
7,180,SA14,SA22,"{""agreement"": 0.8815589547157288, ""completed"": true}"
7,180,SA22,SA14,"{""agreement"": 0.925969660282135, ""completed"": true}"
7,180,SA03,SA13,"{""agreement"": 0.5909801125526428, ""completed"": true}"
7,180,SA13,SA03,"{""agreement"": 0.2931478023529053, ""completed"": true}"
7,200,SA03,SA13,"{""agreement"": 0.7887488603591919, ""completed"": true}"
7,200,SA13,SA03,"{""agreement"": 0.6407516598701477, ""completed"": true}"
7,220,SA03,SA13,"{""agreement"": 0.8610853552818298, ""completed"": true}"
7,220,SA13,SA03,"{""agreement"": 0.8428481221199036, ""completed"": true}"
7,240,SA03,SA13,"{""agreement"": 0.4722950756549835, ""completed"": true}"
7,240,SA13,SA03,"{""agreement"": 0.738120973110199, ""completed"": true}"
