seed,time,node,split,accuracy,macro_f1
7,0,SA02,test,0.4117647111415863,0.30166880616174585
7,0,SA03,test,0.3970588147640228,0.28909287945432527
7,0,SA09,test,0.3970588147640228,0.2983957219251337
7,0,SA12,test,0.3529411852359772,0.2608695652173913
7,0,SA13,test,0.3345588147640228,0.25872167432056015
7,0,SA14,test,0.4264705777168274,0.304256575063947
7,0,SA15,test,0.4324324429035187,0.3018867924528302
7,0,SA22,test,0.4264705777168274,0.29896907216494845
7,0,SE11,test,0.03125,0.030303030303030304
7,0,SE14,test,0.015625,0.015384615384615385
7,900,SA02,test,0.5588235259056091,0.5433943260030216
7,900,SA03,test,0.5772058963775635,0.5630247405110151
7,900,SA09,test,0.7022058963775635,0.7020085209981741
7,900,SA12,test,0.6066176295280457,0.6027028871749369
7,900,SA13,test,0.8492646813392639,0.841282040334173
7,900,SA14,test,0.7536764740943909,0.742362338304941
7,900,SA15,test,0.6177605986595154,0.6177378236951563
7,900,SA22,test,0.6323529481887817,0.6205357142857143
7,900,SE11,test,1.0,0.5
7,900,SE14,test,1.0,0.5
7,1800,SA02,test,0.6764705777168274,0.6045466560930479
7,1800,SA03,test,0.7610294222831726,0.759596426580368
7,1800,SA09,test,0.7867646813392639,0.7564229249011858
7,1800,SA12,test,0.7904411554336548,0.7880316640006562
7,1800,SA13,test,0.8345588445663452,0.8104529616724738
7,1800,SA14,test,0.7904411554336548,0.7769048132959205
7,1800,SA15,test,0.6563706398010254,0.6547028776008508
7,1800,SA22,test,0.7352941036224365,0.7335510204081632
7,1800,SE11,test,1.0,0.5
7,1800,SE14,test,1.0,0.5
7,2700,SA02,test,0.7242646813392639,0.6959534987704001
7,2700,SA03,test,0.783088207244873,0.7631046750217735
7,2700,SA09,test,0.8014705777168274,0.7782608695652173
7,2700,SA12,test,0.8308823704719543,0.8079449867992878
7,2700,SA13,test,0.8235294222831726,0.7959489872468117
7,2700,SA14,test,0.8088235259056091,0.7960784313725491
7,2700,SA15,test,0.6833977103233337,0.6793780193236715
7,2700,SA22,test,0.7683823704719543,0.7504041948874809
7,2700,SE11,test,1.0,0.5
7,2700,SE14,test,1.0,0.5
7,3600,SA02,test,0.75,0.7263257575757576
7,3600,SA03,test,0.8051470518112183,0.7725285996055227
7,3600,SA09,test,0.7977941036224365,0.7723087225849656
7,3600,SA12,test,0.8235294222831726,0.7919296232549244
7,3600,SA13,test,0.841911792755127,0.8209841585673835
7,3600,SA14,test,0.8014705777168274,0.7856016815554387
7,3600,SA15,test,0.6988416910171509,0.6911009174311926
7,3600,SA22,test,0.8125,0.7961648666519727
7,3600,SE11,test,1.0,0.5
7,3600,SE14,test,1.0,0.5
7,4500,SA02,test,0.6875,0.6277152472505354
7,4500,SA03,test,0.8088235259056091,0.7803044423734079
7,4500,SA09,test,0.8051470518112183,0.7840590781767252
7,4500,SA12,test,0.8272058963775635,0.7895949571256933
7,4500,SA13,test,0.8639705777168274,0.8476605664290147
7,4500,SA14,test,0.7904411554336548,0.7777491076420247
7,4500,SA15,test,0.6872586607933044,0.662613981762918
7,4500,SA22,test,0.7867646813392639,0.7618357487922706
7,4500,SE11,test,1.0,0.5
7,4500,SE14,test,1.0,0.5
7,5400,SA02,test,0.6875,0.6250587872792437
7,5400,SA03,test,0.8272058963775635,0.8054274538453343
7,5400,SA09,test,0.7977941036224365,0.7770325657649602
7,5400,SA12,test,0.8088235259056091,0.7586677586677587
7,5400,SA13,test,0.8823529481887817,0.8699497967965575
7,5400,SA14,test,0.8161764740943909,0.8054029304029304
7,5400,SA15,test,0.7027027010917664,0.6820565962534875
7,5400,SA22,test,0.783088207244873,0.7543736129180378
7,5400,SE11,test,1.0,0.5
7,5400,SE14,test,1.0,0.5
7,6300,SA02,test,0.6838235259056091,0.6192708333333333
7,6300,SA03,test,0.8235294222831726,0.8018335255904316
7,6300,SA09,test,0.7941176295280457,0.7735355337496284
7,6300,SA12,test,0.8308823704719543,0.7978152672742551
7,6300,SA13,test,0.904411792755127,0.8958468335787924
7,6300,SA14,test,0.8125,0.805100105374078
7,6300,SA15,test,0.7142857313156128,0.6975063131313132
7,6300,SA22,test,0.7867646813392639,0.7605488434217715
7,6300,SE11,test,1.0,0.5
7,6300,SE14,test,1.0,0.5
7,7200,SA02,test,0.720588207244873,0.6826917173205624
7,7200,SA03,test,0.8235294222831726,0.8102325581395349
7,7200,SA09,test,0.8161764740943909,0.7997054491899853
7,7200,SA12,test,0.8345588445663452,0.8068639053254438
