seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,480,S15,1.0428083290656407,12,12,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,480,S7,1.0100838504731655,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,S11,1.0389122068881989,18,18,"{""accepted_peers"": 9, ""training_mode"": ""contact""}"
7,480,S16,0.9841155186295509,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,S8,1.063506652911504,18,18,"{""accepted_peers"": 9, ""training_mode"": ""contact""}"
7,480,S9,1.0111140981316566,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,S5,1.0182608919484275,14,14,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,480,S6,1.0223857797682285,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,S3,1.0426496975123882,16,16,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,480,S13,1.0324792325496674,10,10,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,S15,0.9207567026217779,12,24,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,600,S7,0.9068258821964263,10,26,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,S11,0.9569877854415348,14,32,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,600,S8,0.9854131817817688,10,28,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,600,S9,0.8851304799318314,4,20,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,600,S5,0.8622813125451406,12,26,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,600,S3,0.959313283363978,6,22,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,600,S13,0.8848701864480972,12,22,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,600,S6,0.9077191054821014,12,28,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,600,S16,0.8285526931285858,8,24,"{""accepted_peers"": 4, ""training_mode"": ""contact""}"
7,720,S15,0.8854959964752197,10,34,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
7,720,S13,0.842775896191597,12,34,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,S11,0.8212277311831713,16,48,"{""accepted_peers"": 8, ""training_mode"": ""contact""}"
7,720,S6,0.864537992647716,14,42,"{""accepted_peers"": 7, ""training_mode"": ""contact""}"
7,720,S8,0.9781194478273392,12,40,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,S5,0.7938015212615331,12,38,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,S7,0.8391139904657999,12,38,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,S9,0.8197207152843475,12,32,"{""accepted_peers"": 6, ""training_mode"": ""contact""}"
7,720,S16,0.7613793313503265,10,34,"{""accepted_peers"": 5, ""training_mode"": ""contact""}"
