seed,time,requester_id,peer_id,details
7,480,S15,S7,"{""agreement"": 0.7440858483314514, ""completed"": true}"
7,480,S7,S5,"{""agreement"": 0.3962084650993347, ""completed"": true}"
7,480,S11,S9,"{""agreement"": 0.38388901948928833, ""completed"": true}"
7,480,S16,S13,"{""agreement"": 0.7257533669471741, ""completed"": true}"
7,480,S8,S5,"{""agreement"": 0.859846830368042, ""completed"": true}"
7,480,S9,S3,"{""agreement"": 0.6990190744400024, ""completed"": true}"
7,480,S5,S3,"{""agreement"": 0.7954680919647217, ""completed"": true}"
7,480,S6,S13,"{""agreement"": 0.7305305004119873, ""completed"": true}"
7,480,S3,S7,"{""agreement"": 0.817807674407959, ""completed"": true}"
7,480,S13,S11,"{""agreement"": 0.8869951963424683, ""completed"": true}"
7,600,S15,S7,"{""agreement"": 0.27557745575904846, ""completed"": true}"
7,600,S7,S5,"{""agreement"": 0.8572607040405273, ""completed"": true}"
7,600,S11,S7,"{""agreement"": 0.46873965859413147, ""completed"": true}"
7,600,S8,S5,"{""agreement"": 0.6667759418487549, ""completed"": true}"
7,600,S9,S6,"{""agreement"": 0.6756788492202759, ""completed"": true}"
7,600,S5,S7,"{""agreement"": 0.7052130699157715, ""completed"": true}"
7,600,S3,S16,"{""agreement"": 0.7137634754180908, ""completed"": true}"
7,600,S13,S11,"{""agreement"": 0.04304947704076767, ""completed"": true}"
7,600,S6,S13,"{""agreement"": 0.4828248918056488, ""completed"": true}"
7,600,S16,S13,"{""agreement"": 0.5766316652297974, ""completed"": true}"
7,720,S15,S8,"{""agreement"": 0.6430877447128296, ""completed"": true}"
7,720,S13,S11,"{""agreement"": 0.3191002607345581, ""completed"": true}"
7,720,S11,S7,"{""agreement"": 0.6722105741500854, ""completed"": true}"
7,720,S6,S13,"{""agreement"": 0.7592200040817261, ""completed"": true}"
7,720,S8,S5,"{""agreement"": 0.5951350927352905, ""completed"": true}"
7,720,S5,S7,"{""agreement"": 0.808029294013977, ""completed"": true}"
