seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,S9,1.1220502853393555,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,0,S7,1.1066328287124634,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,0,S16,1.1167965531349182,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,0,S15,1.1401254534721375,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,0,S13,1.1612720489501953,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S11,1.017857551574707,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S5,1.1152369976043701,4,4,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,20,S9,1.0435420274734497,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S8,1.169567883014679,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S16,1.0173053741455078,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S15,1.059145450592041,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S9,0.9884749054908752,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S16,0.9123754501342773,6,12,"{""accepted_peers"": 3, ""training_mode"": ""contact""}"
7,40,S7,1.0341164469718933,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S13,1.066922515630722,4,6,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,40,S11,1.1436834335327148,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S6,1.1646443605422974,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S15,1.0489946007728577,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S5,1.005889043211937,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,S3,1.1123587489128113,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S8,1.135780930519104,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S9,0.9353923797607422,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S16,0.8263139128684998,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S7,1.006501853466034,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S15,0.9375506341457367,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S5,0.9642996788024902,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
