seed,time,requester_id,peer_id,details
7,0,S5,S11,"{""agreement"": 0.8112998008728027, ""completed"": true}"
7,0,S9,S5,"{""agreement"": 0.6879751086235046, ""completed"": true}"
7,0,S11,S6,"{""agreement"": 0.9484787583351135, ""completed"": true}"
7,0,S7,S13,"{""agreement"": 0.31775858998298645, ""completed"": true}"
7,0,S13,S15,"{""agreement"": 0.14237554371356964, ""completed"": true}"
7,0,S15,S13,"{""agreement"": 0.9509237408638, ""completed"": true}"
7,0,S16,S11,"{""agreement"": 0.8082015514373779, ""completed"": true}"
7,0,S8,S16,"{""agreement"": 0.7025251984596252, ""completed"": true}"
7,0,S6,S11,"{""agreement"": 0.7545695900917053, ""completed"": true}"
7,20,S9,S3,"{""agreement"": 0.8413934707641602, ""completed"": true}"
7,20,S3,S9,"{""agreement"": 0.38534238934516907, ""completed"": true}"
7,20,S8,S9,"{""agreement"": 0.9349464178085327, ""completed"": true}"
7,40,S9,S8,"{""agreement"": 0.7070261240005493, ""completed"": true}"
7,40,S8,S9,"{""agreement"": 0.49312883615493774, ""completed"": true}"
7,40,S7,S15,"{""agreement"": 0.7855188250541687, ""completed"": true}"
7,40,S16,S3,"{""agreement"": 0.777716338634491, ""completed"": true}"
7,40,S15,S7,"{""agreement"": 0.8717408180236816, ""completed"": true}"
7,40,S13,S16,"{""agreement"": 0.8285796642303467, ""completed"": true}"
7,40,S3,S16,"{""agreement"": 0.8782238960266113, ""completed"": true}"
7,60,S5,S11,"{""agreement"": 0.6923526525497437, ""completed"": true}"
7,60,S11,S5,"{""agreement"": 0.7079647779464722, ""completed"": true}"
7,60,S7,S13,"{""agreement"": 0.6413633227348328, ""completed"": true}"
7,60,S13,S7,"{""agreement"": 0.36864495277404785, ""completed"": true}"
7,60,S15,S13,"{""agreement"": 0.7209029197692871, ""completed"": true}"
7,60,S3,S8,"{""agreement"": 0.8080373406410217, ""completed"": true}"
7,60,S8,S3,"{""agreement"": 0.6699861288070679, ""completed"": true}"
7,80,S9,S16,"{""agreement"": 0.6971858143806458, ""completed"": true}"
7,80,S16,S9,"{""agreement"": 0.5401815176010132, ""completed"": true}"
7,80,S7,S13,"{""agreement"": 0.44967320561408997, ""completed"": true}"
7,80,S13,S7,"{""agreement"": 0.7681441307067871, ""completed"": true}"
7,100,S7,S15,"{""agreement"": 0.7225582599639893, ""completed"": true}"
7,100,S15,S7,"{""agreement"": 0.6805111169815063, ""completed"": true}"
7,100,S16,S8,"{""agreement"": 0.26159611344337463, ""completed"": true}"
7,100,S8,S16,"{""agreement"": 0.7681264877319336, ""completed"": true}"
7,100,S11,S6,"{""agreement"": 0.7311304211616516, ""completed"": true}"
7,100,S6,S11,"{""agreement"": 0.8007116317749023, ""completed"": true}"
7,140,S5,S11,"{""agreement"": 0.688335657119751, ""completed"": true}"
7,140,S11,S5,"{""agreement"": -0.09845678508281708, ""completed"": true}"
7,140,S6,S5,"{""agreement"": 0.81135094165802, ""completed"": true}"
7,140,S9,S3,"{""agreement"": 0.4920167028903961, ""completed"": true}"
7,140,S3,S16,"{""agreement"": 0.558331310749054, ""completed"": true}"
7,140,S8,S16,"{""agreement"": 0.3771149516105652, ""completed"": true}"
7,140,S13,S15,"{""agreement"": 0.9434353113174438, ""completed"": true}"
7,140,S15,S13,"{""agreement"": 0.8195420503616333, ""completed"": true}"
7,140,S16,S3,"{""agreement"": 0.9051318764686584, ""completed"": true}"
7,160,S5,S11,"{""agreement"": 0.12199664115905762, ""completed"": true}"
7,160,S11,S5,"{""agreement"": 0.7983890175819397, ""completed"": true}"
7,160,S7,S13,"{""agreement"": 0.13497516512870789, ""completed"": true}"
7,160,S13,S7,"{""agreement"": 0.49603766202926636, ""completed"": true}"
7,160,S16,S8,"{""agreement"": 0.7254573106765747, ""completed"": true}"
7,160,S8,S16,"{""agreement"": 0.029316101223230362, ""completed"": true}"
7,160,S3,S8,"{""agreement"": 0.807112991809845, ""completed"": true}"
7,180,S9,S16,"{""agreement"": 0.8921421766281128, ""completed"": true}"
7,180,S16,S3,"{""agreement"": 0.8243144750595093, ""completed"": true}"
7,180,S11,S9,"{""agreement"": 0.21218663454055786, ""completed"": true}"
7,180,S3,S16,"{""agreement"": 0.888056218624115, ""completed"": true}"
7,200,S5,S6,"{""agreement"": 0.8621377944946289, ""completed"": true}"
7,200,S6,S5,"{""agreement"": 0.12300442904233932, ""completed"": true}"
7,220,S5,S6,"{""agreement"": 0.7713909149169922, ""completed"": true}"
7,220,S6,S5,"{""agreement"": 0.5327341556549072, ""completed"": true}"
7,220,S9,S16,"{""agreement"": 0.6352872848510742, ""completed"": true}"
7,220,S16,S3,"{""agreement"": 0.8338006734848022, ""completed"": true}"
7,220,S7,S15,"{""agreement"": 0.715382993221283, ""completed"": true}"
7,220,S13,S7,"{""agreement"": -0.5320768356323242, ""completed"": true}"
7,220,S15,S13,"{""agreement"": 0.9153507947921753, ""completed"": true}"
7,220,S3,S16,"{""agreement"": 0.5045649409294128, ""completed"": true}"
7,220,S8,S16,"{""agreement"": 0.6706074476242065, ""completed"": true}"
7,240,S5,S6,"{""agreement"": 0.7640684843063354, ""completed"": true}"
7,240,S6,S5,"{""agreement"": 0.7492581009864807, ""completed"": true}"
7,240,S9,S16,"{""agreement"": 0.9057251811027527, ""completed"": true}"
7,240,S16,S9,"{""agreement"": 0.5189628005027771, ""completed"": true}"
7,240,S3,S8,"{""agreement"": 0.893133282661438, ""completed"": true}"
7,240,S7,S13,"{""agreement"": 0.9392836689949036, ""completed"": true}"
7,240,S13,S7,"{""agreement"": -0.27156147360801697, ""completed"": true}"
7,240,S8,S3,"{""agreement"": 0.6152641177177429, ""completed"": true}"
7,260,S5,S11,"{""agreement"": 0.7716058492660522, ""completed"": true}"
7,260,S11,S5,"{""agreement"": 0.8679260611534119, ""completed"": true}"
7,260,S9,S16,"{""agreement"": 0.39100584387779236, ""completed"": true}"
7,260,S16,S3,"{""agreement"": 0.7160784602165222, ""completed"": true}"
7,260,S3,S8,"{""agreement"": 0.09450832009315491, ""completed"": true}"
7,260,S7,S8,"{""agreement"": 0.6148191094398499, ""completed"": true}"
7,260,S8,S16,"{""agreement"": 0.5526028871536255, ""completed"": true}"
7,280,S9,S3,"{""agreement"": 0.7903972864151001, ""completed"": true}"
7,280,S3,S9,"{""agreement"": 0.9379743933677673, ""completed"": true}"
7,280,S7,S15,"{""agreement"": 0.7234050631523132, ""completed"": true}"
7,280,S13,S15,"{""agreement"": 0.8934001922607422, ""completed"": true}"
7,280,S15,S13,"{""agreement"": 0.9606159329414368, ""completed"": true}"
7,280,S11,S6,"{""agreement"": 0.24656353890895844, ""completed"": true}"
7,280,S6,S11,"{""agreement"": 0.0051969909109175205, ""completed"": true}"
7,280,S8,S6,"{""agreement"": 0.5868064761161804, ""completed"": true}"
