seed,time,requester_id,peer_id,details
7,0,S11,S8,"{""agreement"": 0.8875216841697693, ""completed"": true}"
7,0,S6,S11,"{""agreement"": 0.9377541542053223, ""completed"": true}"
7,0,S8,S11,"{""agreement"": 0.9281636476516724, ""completed"": true}"
7,20,S5,S7,"{""agreement"": 0.6031622290611267, ""completed"": true}"
7,20,S7,S5,"{""agreement"": 0.857045590877533, ""completed"": true}"
7,40,S5,S16,"{""agreement"": 0.9000375270843506, ""completed"": true}"
7,40,S16,S5,"{""agreement"": 0.5449396371841431, ""completed"": true}"
7,40,S11,S6,"{""agreement"": -0.11588260531425476, ""completed"": true}"
7,40,S6,S11,"{""agreement"": 0.4136315882205963, ""completed"": true}"
7,100,S9,S16,"{""agreement"": 0.6714463233947754, ""completed"": true}"
7,100,S16,S9,"{""agreement"": 0.932512104511261, ""completed"": true}"
7,140,S5,S11,"{""agreement"": 0.8109476566314697, ""completed"": true}"
7,140,S11,S5,"{""agreement"": 0.8646988868713379, ""completed"": true}"
7,140,S13,S15,"{""agreement"": 0.41446468234062195, ""completed"": true}"
7,140,S15,S13,"{""agreement"": 0.8305956125259399, ""completed"": true}"
7,160,S9,S16,"{""agreement"": 0.9615834951400757, ""completed"": true}"
7,160,S16,S9,"{""agreement"": 0.8004141449928284, ""completed"": true}"
7,180,S13,S3,"{""agreement"": 0.8066496253013611, ""completed"": true}"
7,180,S3,S13,"{""agreement"": 0.9224424958229065, ""completed"": true}"
7,180,S11,S6,"{""agreement"": 0.5572286248207092, ""completed"": true}"
7,180,S6,S11,"{""agreement"": 0.6607557535171509, ""completed"": true}"
7,220,S5,S9,"{""agreement"": 0.8232001662254333, ""completed"": true}"
7,220,S9,S5,"{""agreement"": 0.7693535685539246, ""completed"": true}"
7,260,S13,S15,"{""agreement"": 0.9797956347465515, ""completed"": true}"
7,260,S15,S13,"{""agreement"": 0.6462305784225464, ""completed"": true}"
7,260,S11,S8,"{""agreement"": -0.43810364603996277, ""completed"": true}"
7,260,S8,S11,"{""agreement"": 0.8397083878517151, ""completed"": true}"
7,280,S13,S15,"{""agreement"": 0.8503797650337219, ""completed"": true}"
7,280,S15,S13,"{""agreement"": 0.7978000640869141, ""completed"": true}"
7,300,S6,S8,"{""agreement"": 0.9324693083763123, ""completed"": true}"
7,300,S8,S6,"{""agreement"": 0.4283439815044403, ""completed"": true}"
7,340,S9,S3,"{""agreement"": 0.5439106822013855, ""completed"": true}"
7,340,S3,S9,"{""agreement"": 0.8206761479377747, ""completed"": true}"
7,340,S7,S6,"{""agreement"": 0.28826382756233215, ""completed"": true}"
